Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID44818584 AA-42-XZ05 BAID32 10UM	19/74	2.738554274169412E-13	1.0743348417566603E-9	0	0	11.773431498079386	340.56035240191386	TOP2A;RRM2;CKAP2L;UBE2C;TROAP;HJURP;CDCA8;ESCO2;PIMREG;TYMS;AURKB;AURKA;CDC20;TUBA1C;TPX2;PCLAF;BIRC5;CENPM;PRR11
CID44819306 CA-90-RU33 BAID12 10UM	36/300	7.862090308424724E-13	1.5421490139975096E-9	0	0	4.7390694604850685	132.08522893361982	TOP2A;TROAP;HJURP;CDCA8;SKA3;TYMS;CENPA;SKA1;AURKB;AURKA;CDC20;TUBA1C;CCNB2;CDC45;PCLAF;PBK;BUB1;DLGAP5;CDKN2C;RRM2;UBE2C;CKAP2L;ESCO2;PIMREG;CDC25C;NDC80;CCNA2;TPX2;RAD51;CKS2;CDK1;CENPM;BIRC5;SPC24;ASF1B;APOBEC3B
CID71678945 NA-16-OJ70 BAID30 0.1UM	40/396	1.0696226617824662E-11	1.2050840270417194E-8	0	0	3.914508144526837	98.88489947411347	TOP2A;TROAP;HJURP;CDCA8;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC20;TUBA1C;CCNB2;CSRP2;CDC45;NUF2;PBK;PCLAF;NUSAP1;OIP5;BUB1;DLGAP5;CDKN2C;RRM2;CKAP2L;UBE2C;CDC25C;PIMREG;CCNA2;TPX2;RAD51;TMSB15A;CDK1;CENPM;BIRC5;SPC24;ASF1B;EZH2;APOBEC3B
CID5330286 PALBOCICLIB AE-04-SN76 BAID6 0.1UM	14/44	1.5419514674524657E-11	1.2050840270417194E-8	0	0	15.786038394415359	392.9995385311963	TOP2A;RRM2;UBE2C;TROAP;HJURP;PIMREG;AURKB;CDC20;CCNB2;PBK;PCLAF;BIRC5;CENPM;DLGAP5
CID151345176 AC-45-YY00 BAID36 10UM	19/92	1.7886144301605473E-11	1.2050840270417194E-8	0	0	8.862145475593286	219.31146768395146	TOP2A;RRM2;CDKN2C;UBE2C;HJURP;CDCA8;PIMREG;CDC25C;CENPA;AURKB;AURKA;CDC20;CCNA2;TUBA1C;TPX2;BIRC5;CENPM;PRR11;DLGAP5
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	48/551	1.843105827746703E-11	1.2050840270417194E-8	0	0	3.347927278628784	82.7506647260537	TOP2A;TROAP;CDCA7;HJURP;CDCA8;HMMR;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC20;TUBA1C;CCNB2;CDC45;NUF2;PBK;PCLAF;OIP5;BUB1;DLGAP5;CENPU;GAS2L3;CDKN2C;RRM2;CKAP2L;UBE2C;ESCO2;CDC25C;PIMREG;NDC80;SGO1;CCNA2;TPX2;RAD51;TMSB15A;CDK2;CKS2;CDK1;DEPDC1;CENPM;BIRC5;MTFR2;PRR11;ASF1B;APOBEC3B
CID53378674 BB-86-UL91 BAID24 10UM	36/360	1.5700489462168167E-10	8.799002880012245E-8	0	0	3.8493647912885662	86.89842524612487	TOP2A;TROAP;HJURP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC20;TUBA1C;CCNB2;CDC45;PCLAF;PBK;NUSAP1;DLGAP5;CDKN2C;RRM2;UBE2C;CKAP2L;ESCO2;PIMREG;CDC25C;CCNA2;TPX2;TMSB15A;CDK1;CENPM;BIRC5;MTFR2;PRR11;SPC24;ASF1B;EZH2
CID53358942 IDASANUTLIN GD-82-CS38 BAID18 0.1UM	26/218	1.423780091332588E-9	6.981861622872178E-7	0	0	4.639650178253119	94.50944431116952	TOP2A;TROAP;HJURP;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC20;CDC45;MDK;PCLAF;CDKN2C;RRM2;UBE2C;CKAP2L;PIMREG;CDC25C;TPX2;TMSB15A;CENPM;BIRC5;PRR11;ASF1B;APOBEC3B
CID9907182 GB-94-XG34 BAID16 10UM	43/550	5.9097098632315776E-9	2.57597686593972E-6	0	0	2.9475504698920987	55.84626340638234	TOP2A;TROAP;RPLP0;CDCA7;HJURP;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC20;TUBA1C;CCNB2;CDC45;NUF2;PBK;EIF4EBP1;PCLAF;OIP5;DLGAP5;EIF5AL1;CENPU;CDKN2C;RRM2;ANXA2;CKAP2L;UBE2C;ESCO2;PIMREG;CCNA2;TPX2;RAD51;CKS2;CDK1;CENPM;BIRC5;TAGLN2;MTFR2;PRR11;ASF1B;APOBEC3B
EA-73-UC67 BAID36 10UM	22/177	1.2255214702148165E-8	4.807720727652725E-6	0	0	4.837864687410791	88.13290155416541	TOP2A;RRM2;CDKN2C;UBE2C;CKAP2L;HJURP;CDCA8;PIMREG;CENPA;AURKB;AURKA;CDC20;TPX2;TUBA1C;PCLAF;PBK;DEPDC1;BIRC5;CENPM;BUB1;DLGAP5;APOBEC3B
PF-84-RH50 BAID36 10UM	25/237	3.587623420489407E-8	1.2794769707799948E-5	0	0	4.028948163566777	69.06902693233047	TOP2A;SPARC;CDCA8;TYMS;CENPA;AURKA;CDC20;TUBA1C;PCLAF;PBK;HOXC6;S100A10;RRM2;ANXA2;UBE2C;TPX2;CCDC80;TMSB15A;ID3;CENPM;BIRC5;TAGLN2;S100A4;PRR11;APOBEC3B
CID53378674 BB-86-UL91 BAID23 1UM	16/107	9.063149776422178E-8	2.8509161719615978E-5	0	0	5.949693039010027	96.48298313805222	RRM2;UBE2C;TROAP;CDCA8;PIMREG;TYMS;AURKB;AURKA;CDC20;CCNB2;TPX2;CDC45;PCLAF;BIRC5;CENPM;DLGAP5
CID71481097 SELINEXOR OB-17-DQ74 BAID6 0.1UM	22/198	9.447338831379243E-8	2.8509161719615978E-5	0	0	4.255973451327433	68.84014776330689	TOP2A;CDKN2C;RRM2;UBE2C;TROAP;HJURP;CDCA8;ESCO2;NCAPH;AURKB;AURKA;CDC20;TUBA1C;CCNB2;CDC45;PCLAF;PBK;EIF4EBP1;ID3;CENPM;BIRC5;DLGAP5
CID71678945 NA-16-OJ70 BAID32 10UM	29/328	1.4547101673186248E-7	4.0763057045649755E-5	0	0	3.3223408973759603	52.304572797250394	TOP2A;TROAP;HJURP;CDCA8;TYMS;CENPA;AURKB;AURKA;CDC20;TUBA1C;CCNB2;CDC45;PCLAF;OIP5;DLGAP5;CDKN2C;RRM2;UBE2C;ESCO2;PIMREG;NDC80;TPX2;TMSB15A;CKS2;CENPM;BIRC5;TAGLN2;PRR11;ASF1B
BE-04-AN21 BAID11 1UM	24/240	1.8431178974174688E-7	4.820367674379154E-5	0	0	3.7886323268206037	58.74894623337233	TOP2A;CDKN2C;RRM2;UBE2C;TROAP;HJURP;CDCA8;PIMREG;CENPA;NCAPH;AURKB;AURKA;CDC20;TPX2;TUBA1C;CCNB2;PCLAF;CDK1;CENPM;BIRC5;PRR11;DLGAP5;ASF1B;APOBEC3B
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	41/579	2.0437211676112583E-7	5.010948837836854E-5	0	0	2.6344860220324904	40.579840198010515	TOP2A;TROAP;CDCA7;HJURP;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC20;TUBA1C;CCNB2;CSRP2;CDC45;MDK;PBK;PCLAF;OIP5;BUB1;DLGAP5;CDKN2C;RRM2;CKAP2L;UBE2C;ACTL6A;GPX8;ESCO2;CDC25C;PIMREG;CCNA2;TPX2;NEIL3;RAD51;TMSB15A;CKS2;CENPM;BIRC5;PRR11;ASF1B;APOBEC3B
JD-02-GA59 BAID32 10UM	15/101	2.5049003734950336E-7	5.780425979541774E-5	0	0	5.893336314847943	89.57780846811609	RRM2;ANXA2;UBE2C;TYMS;CDC20;CCNA2;TPX2;TUBA1C;CDC45;PCLAF;DEPDC1;BIRC5;CENPM;TAGLN2;S100A10
CB-25-VR83 BAID36 10UM	31/378	2.9005021115241024E-7	6.321483213060586E-5	0	0	3.063493873489105	46.115422085956624	TOP2A;SPARC;HJURP;CDCA8;NCAPG;TYMS;AURKB;AURKA;CDC20;TUBA1C;CSRP2;CDC45;EXO1;NUF2;PCLAF;PBK;NUSAP1;OIP5;BUB1;DLGAP5;RRM2;ANXA2;UBE2C;ESCO2;CDC25C;CCNA2;TPX2;TMSB15A;CENPM;BIRC5;TAGLN2
CID6419417 ZYGOSPORINA BE-42-IC00 BAID40 10UM	43/645	5.322406808629437E-7	1.0989369426449095E-4	0	0	2.4699317226890756	35.681053658771	TOP2A;SPARC;TROAP;CDCA7L;CDCA7;HJURP;CDCA8;SKA3;TYMS;CENPA;SKA1;AURKB;AURKA;CDC20;CCNB2;CDC45;PCLAF;NUSAP1;OIP5;CYTL1;BUB1;DLGAP5;S100A10;CDKN2C;RRM2;ANXA2;CKAP2L;UBE2C;ACTL6A;F2R;GPX8;ESCO2;PIMREG;NDC80;CCNA2;TPX2;CCDC80;CDK1;CENPM;BIRC5;AJUBA;ASF1B;TMEM45A
CID104758 IB-06-YD91 BAID23 1UM	14/100	1.3082784805593023E-6	2.5661882396170715E-4	0	0	5.490847842850765	74.38340889277559	ANXA2;UBE2C;TROAP;CDCA8;CDC25C;PIMREG;AURKA;CDC20;CCNB2;TPX2;CKS2;BIRC5;OIP5;DLGAP5
CID378811 MR16728 ND-68-CU31 BAID27 1UM	16/131	1.510826246422203E-6	2.8223673165306203E-4	0	0	4.70217010584025	63.02249881798167	TOP2A;RRM2;CDKN2C;UBE2C;CKAP2L;HJURP;CDCA8;NCAPG;CDC25C;PIMREG;NCAPH;AURKA;CCNA2;TPX2;PCLAF;BIRC5
BB-84-DG64 BAID52 10UM	30/390	1.7148523841975649E-6	3.0578935923668396E-4	0	0	2.8505385996409336	37.84427367774986	TOP2A;TROAP;HJURP;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC20;TUBA1C;CCNB2;CDC45;MDK;NUF2;PCLAF;OIP5;CDKN2C;RRM2;CKAP2L;UBE2C;CDC25C;PIMREG;TPX2;CENPM;BIRC5;PRR11;ASF1B;EZH2;APOBEC3B
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	21/217	1.825300669187495E-6	3.113328054444584E-4	0	0	3.637746087834427	48.06832496913926	TOP2A;EIF5AL1;CDKN2C;RRM2;UBE2C;TROAP;HJURP;CDCA8;CENPA;NCAPH;AURKB;CDC20;TPX2;TUBA1C;CDC45;PCLAF;CENPM;BIRC5;TAGLN2;DLGAP5;ASF1B
CID101476432 RC-52-AC88 BAID28 10UM	49/834	3.2928355004030793E-6	5.3824140283672E-4	0	0	2.161276726730282	27.28344195566825	TOP2A;CDCA7L;RPLP0;HJURP;CDC20;TUBA1C;PBK;PCLAF;OIP5;DLGAP5;EIF5AL1;ANXA2;CKAP2L;ESCO2;CDC25C;PIMREG;SGO1;CCNA2;NEIL3;TMSB15A;CKS2;DEPDC1;BIRC5;TAGLN2;MTFR2;PRR11;TROAP;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;EIF4EBP1;BUB1;CDKN2C;RRM2;UBE2C;NDC80;TPX2;RAD51;CDK1;CENPM;ID3;EZH2;APOBEC3B
PB-63-WH18 BAID36 10UM	21/226	3.493365516196474E-6	5.481789168015507E-4	0	0	3.4764112729466516	43.679873362587124	TOP2A;SPARC;RRM2;ANXA2;UBE2C;HJURP;CDCA8;SKA1;AURKA;CDC20;TPX2;TUBA1C;CCDC80;PCLAF;PBK;ID3;CENPM;BIRC5;TAGLN2;DLGAP5;APOBEC3B
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	43/703	4.955504359676782E-6	7.477093693466161E-4	0	0	2.2459308155080215	27.434070980701325	TOP2A;TROAP;HJURP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC20;TUBA1C;CCNB2;CDC45;NUF2;PBK;PCLAF;OIP5;BUB1;DLGAP5;CENPU;CDKN2C;RRM2;CKAP2L;UBE2C;F2R;ESCO2;CDC25C;PIMREG;NDC80;SGO1;CCNA2;TPX2;WEE1;RAD51;TMSB15A;CDK2;CDK1;CENPM;BIRC5;PRR11;ASF1B;APOBEC3B
CID3071 3,3'-DIINDOLYLMETHANE BC-51-ME52 BAID7 1UM	23/272	5.969042364536856E-6	8.672797480028921E-4	0	0	3.1385969409553107	37.75394423063489	TOP2A;CDKN2C;RRM2;UBE2C;CKAP2L;TROAP;HJURP;CDCA8;TYMS;CDC25C;CENPA;NCAPH;AURKB;AURKA;CCNA2;TPX2;TMSB15A;PCLAF;CENPM;BIRC5;OIP5;ASF1B;PPIC
CID6474906 FD-20-OG99 BAID2 0.1UM	17/163	6.405558148536376E-6	8.974644505967217E-4	0	0	3.9358207161739966	47.06589995042071	TOP2A;EIF5AL1;RRM2;CDKN2C;UBE2C;TROAP;CDCA8;CDC25C;SKA1;AURKB;CDC20;CCNB2;EIF4EBP1;ID3;BIRC5;CENPM;PRR11
XA-12-UL84 BAID35 1UM	11/73	8.66794674954403E-6	0.0011725639689124563	0	0	5.960489471326165	69.47474177954241	TOP2A;TUBA1C;SPARC;RRM2;UBE2C;HJURP;PCLAF;CDK1;BIRC5;CDCA8;CENPM
TF-29-QU48 BAID52 10UM	41/674	9.411502363524577E-6	0.001230710792403564	0	0	2.227835355797441	25.784026174706717	TOP2A;TROAP;CDCA7L;HJURP;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC20;TUBA1C;CCNB2;CDC45;MDK;NUF2;PBK;PCLAF;PITX1;DLGAP5;EIF5AL1;CDKN2C;RRM2;CKAP2L;UBE2C;CDC25C;PIMREG;CCNA2;TPX2;RAD51;TMSB15A;CDK2;CDK1;CENPM;BIRC5;TAGLN2;MTFR2;PRR11;SPC24;ASF1B;APOBEC3B
CID91757965 AE-67-DS75 BAID28 10UM	19/204	9.778411442769547E-6	0.001237442196451127	0	0	3.4767034640274077	40.104933994745664	TOP2A;RRM2;ANXA2;UBE2C;CDCA8;TYMS;CDC25C;NCAPH;AURKB;CDC20;TPX2;TUBA1C;PCLAF;PBK;EIF4EBP1;CENPM;BIRC5;S100A10;EZH2
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID25 10UM	30/427	1.043773989835137E-5	0.0012796016756635132	0	0	2.5798515798470576	29.591110416751377	TOP2A;SPARC;TROAP;HJURP;CDCA8;HOXD11;TYMS;HOXC11;CENPA;AURKB;CDC20;CCNB2;C6ORF15;MDK;PCLAF;DLGAP5;S100A10;CDKN2C;RRM2;ANXA2;CMTM3;UBE2C;F2R;PIMREG;SFRP4;CCDC80;TMSB15A;CENPM;BIRC5;S100A4
UB-62-DF90 BAID36 10UM	13/104	1.1145404424364434E-5	0.0013249521683873235	0	0	4.808860129417621	54.84256505850784	SPARC;RRM2;UBE2C;CDCA8;TYMS;AURKA;TPX2;TUBA1C;PCLAF;BIRC5;CENPM;APOBEC3B;TMEM45A
CID72710839 BLU-9931 HF-79-EC41 BAID4 10UM	34/520	1.2594803155613969E-5	0.0014193002567354043	0	0	2.394414305806711	27.014323999126592	TOP2A;TROAP;HJURP;CDCA8;CENPA;SKA1;AURKB;AURKA;CDC20;TUBA1C;CCNB2;CDC45;PBK;PCLAF;DLGAP5;EIF5AL1;CDKN2C;RRM2;ANXA2;CMTM3;CKAP2L;UBE2C;ACTL6A;CDC25C;PIMREG;CCNA2;TPX2;TMSB15A;CDK1;CENPM;BIRC5;PRR11;ASF1B;APOBEC3B
CID448013 EPOTHILONEB AD-58-PW17 BAID21 0.01UM	22/265	1.2662632930343907E-5	0.0014193002567354043	0	0	3.071779744346116	34.64001535407297	TOP2A;SPARC;CDKN2C;RRM2;UBE2C;CKAP2L;HJURP;CDCA8;NCAPG;PIMREG;CDC25C;NCAPH;AURKB;AURKA;TPX2;MDK;CENPM;BIRC5;TAGLN2;DLGAP5;ASF1B;EZH2
CID6519698 YB-54-ET23 BAID32 10UM	15/138	1.3520381830128292E-5	0.00145719702657549	0	0	4.112655637045881	46.108266506678746	TOP2A;EIF5AL1;UBE2C;TROAP;CDCA8;HMMR;AURKA;CDC20;CCNB2;TPX2;TUBA1C;DEPDC1;CKS2;ID3;BIRC5
CID9862831 SB-28-EJ14 BAID19 1UM	13/106	1.3743637518045662E-5	0.00145719702657549	0	0	4.704956726986625	52.67168269872398	TOP2A;RRM2;ACTL6A;HJURP;GPX8;CDCA8;NCAPG;SKA1;TUBA1C;CDC45;PCLAF;BIRC5;APOBEC3B
CID60148924 BB-11-JI42 BAID32 10UM	35/546	1.4327639526320788E-5	0.0014791402595199067	0	0	2.345394083780028	26.158930864958904	TOP2A;SPARC;TROAP;HJURP;CDCA8;TYMS;NCAPH;AURKB;AURKA;RAD51AP1;CDC20;CCNB2;CDC45;PBK;EIF4EBP1;DLGAP5;S100A10;EIF5AL1;CDKN2C;RRM2;UBE2C;PIMREG;CCNA2;TPX2;TMSB15A;CKS2;CDK1;CENPM;BIRC5;S100A4;TAGLN2;MTFR2;PRR11;SPC24;ASF1B
CID91623361 LLY-507 AE-52-NW93 BAID20 10UM	37/593	1.4832500143795302E-5	0.0014919973862592044	0	0	2.2815860039241334	25.36824709609153	TOP2A;SPARC;TROAP;HJURP;CDCA8;TYMS;SKA1;AURKB;AURKA;CDC20;TUBA1C;CCNB2;CDC45;PBK;PCLAF;OIP5;CYTL1;S100A10;CENPU;CDKN2C;RRM2;ANXA2;UBE2C;ESCO2;PIMREG;CCNA2;TPX2;CCDC80;TMSB15A;CDK1;HOXB3;CENPM;BIRC5;TAGLN2;AJUBA;EZH2;APOBEC3B
CID51039247 MOMIPP UC-80-UO92 BAID20 10UM	20/235	2.1766205439226077E-5	0.0021347205984520974	0	0	3.149665723309134	33.81214028953266	TOP2A;SPARC;RRM2;ANXA2;UBE2C;HJURP;CDCA8;KNL1;TYMS;CDC25C;HOXC11;TUBA1C;CDC45;TMSB15A;PCLAF;CDK1;CENPM;OIP5;S100A10;APOBEC3B
BE-04-AN21 BAID12 10UM	48/874	2.4348458624052534E-5	0.002285851379361489	0	0	2.0039262017816153	21.28779222906999	TOP2A;TROAP;HJURP;NCAPG;CDCA8;SKA3;HOXC11;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC20;CCNB2;C6ORF15;CDC45;MDK;PBK;PCLAF;OIP5;DLGAP5;EIF5AL1;CENPU;CDKN2C;RRM2;CKAP2L;UBE2C;ESCO2;CDC25C;PIMREG;CCNA2;TPX2;WEE1;RAD51;TMSB15A;CDK2;CKS2;CDK1;DEPDC1;CENPM;BIRC5;TAGLN2;MTFR2;PRR11;SPC24;ASF1B;EZH2;APOBEC3B
QE-00-EB96 BAID19 1UM	15/145	2.44725357973955E-5	0.002285851379361489	0	0	3.889792899408284	41.30166174632812	TOP2A;RRM2;UBE2C;CKAP2L;TROAP;HJURP;CDCA8;AURKB;AURKA;CCNB2;TUBA1C;NEIL3;PCLAF;BIRC5;CENPM
CID44632017 AA-30-BE85 BAID19 1UM	15/147	2.8784011669539593E-5	0.0026260390181303216	0	0	3.8304593134138587	40.05009695943331	TOP2A;RRM2;CDKN2C;UBE2C;CDC25C;TYMS;HOXC11;AURKB;CCNB2;TUBA1C;CCDC80;PCLAF;BIRC5;CENPM;APOBEC3B
CID71678945 NA-16-OJ70 BAID31 1UM	38/636	2.9614630497985403E-5	0.002640413532809017	0	0	2.1777814329489313	22.70825412282831	TOP2A;TROAP;HJURP;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC20;TUBA1C;CCNB2;CDC45;MDK;PBK;PCLAF;OIP5;BUB1;DLGAP5;CENPU;CDKN2C;RRM2;CKAP2L;UBE2C;ACTL6A;ESCO2;CDC25C;PIMREG;CCNA2;TPX2;RAD51;CDK1;CENPM;BIRC5;MTFR2;ASF1B;APOBEC3B
CID134149230 FB-98-HM88 BAID4 10UM	26/366	3.33439170154217E-5	0.002869679437006515	0	0	2.5998636887910243	26.801046338974217	TOP2A;CDCA7L;HJURP;CDCA8;HOXC11;SKA1;AURKB;CDC20;CCNB2;CDC45;PCLAF;EIF4EBP1;DLGAP5;EIF5AL1;ANXA1;CDKN2C;RRM2;UBE2C;PIMREG;CDC25C;CCNA2;TPX2;RAD51;CDK1;CENPM;BIRC5
CID16016585 CDN1163 BD-58-PT20 BAID27 1UM	17/185	3.3802817287576326E-5	0.002869679437006515	0	0	3.4165100250626566	35.17285593803726	TOP2A;RRM2;CDKN2C;UBE2C;TROAP;HJURP;CDCA8;PIMREG;TYMS;AURKA;TPX2;NUF2;PCLAF;CDK1;PBK;BIRC5;CENPM
BD-11-DV28 BAID46 10UM	33/523	3.4380559148433907E-5	0.002869679437006515	0	0	2.3003720621822734	23.643268439341885	TOP2A;SPARC;HJURP;CDCA8;TYMS;HOXC11;CENPA;AURKB;AURKA;CDC20;CCNB2;C6ORF15;MDK;PDPN;PCLAF;S100A10;CDKN2C;RRM2;ANXA2;CMTM3;CKAP2L;F2R;PIMREG;TPX2;CCDC80;TMSB15A;CKS2;CENPM;BIRC5;S100A4;TAGLN2;PRR11;ASF1B
CID3035817 K252A DC-93-NP78 BAID15 1UM	13/117	3.985392917541281E-5	0.003257228419898843	0	0	4.204921602787456	42.597073406846185	TOP2A;RRM2;UBE2C;TROAP;HJURP;CDC25C;SKA1;AURKB;CDC45;EIF4EBP1;PBK;BIRC5;CENPM
CID5081913 IMD-0354 LB-65-SM65 BAID32 10UM	25/351	4.505934243036376E-5	0.0036075061296799394	0	0	2.6044964303648235	26.064576725037178	TOP2A;SPARC;CDCA8;TYMS;AURKA;CDC20;CDC45;PCLAF;DLGAP5;S100A10;CDKN2C;RRM2;ANXA2;UBE2C;ESCO2;PIMREG;CDC25C;TPX2;CCDC80;CENPM;BIRC5;TAGLN2;S100A4;AJUBA;ASF1B
CID5327655 AB-80-CK34 BAID11 1UM	18/209	4.746937651207092E-5	0.003724447281137084	0	0	3.1836509353232914	31.694600531870062	CDKN2C;RRM2;UBE2C;CKAP2L;TROAP;HJURP;CDCA8;PIMREG;CDC25C;AURKB;CDC20;TPX2;CCDC80;MDK;CENPM;BIRC5;MTFR2;PRR11
JA-63-WB39 BAID36 10UM	23/313	5.603135674413136E-5	0.004310019853082889	0	0	2.689098801662998	26.325199160378705	TOP2A;EIF5AL1;SPARC;CDKN2C;RRM2;ANXA2;CDCA8;TYMS;AURKB;AURKA;TPX2;CCDC80;CDC45;PCLAF;PBK;CENPM;BIRC5;S100A4;DLGAP5;ASF1B;S100A10;APOBEC3B;TMEM45A
CID56237 LONAPALENE AC-49-NG46 BAID44 10UM	33/538	5.9655805692535736E-5	0.0045005716486888015	0	0	2.230274868642099	21.693703184278565	TOP2A;TROAP;HJURP;CDCA8;NCAPG;HMMR;TYMS;CENPA;AURKB;AURKA;CDC20;TUBA1C;CCNB2;PDPN;PCLAF;DLGAP5;S100A10;EIF5AL1;CDKN2C;RRM2;ANXA2;CKAP2L;UBE2C;ESCO2;PIMREG;TPX2;TMSB15A;CDK1;CENPM;BIRC5;TAGLN2;ASF1B;APOBEC3B
CID5327654 YB-83-AS93 BAID47 1UM	14/139	6.0914257760773974E-5	0.004508804399915402	0	0	3.7700802792321118	36.59256240856565	TOP2A;RRM2;ANXA2;UBE2C;CDCA8;SKA1;AURKB;TPX2;TUBA1C;CDC45;PCLAF;BIRC5;CENPM;ASF1B
TD-17-NF32 BAID36 10UM	27/408	7.980580511400754E-5	0.005797743953004659	0	0	2.4084364454443197	22.725799921172165	TOP2A;SPARC;HJURP;CDCA8;TYMS;CENPA;AURKB;AURKA;CDC20;PBK;PCLAF;CHST14;DLGAP5;S100A10;CDKN2C;RRM2;UBE2C;TPX2;CCDC80;TMSB15A;CENPM;BIRC5;ID3;S100A4;TAGLN2;PRR11;APOBEC3B
FF-96-HL81 BAID36 10UM	28/431	8.133994634888322E-5	0.005801756536848526	0	0	2.3627800441234568	22.250000351626372	TOP2A;SPARC;HJURP;CDCA8;TYMS;SKA1;AURKB;AURKA;TUBA1C;CSRP2;CDC45;PCLAF;DLGAP5;EIF5AL1;RRM2;ANXA2;UBE2C;ESCO2;CDC25C;TPX2;CCDC80;DEPDC1;CENPM;BIRC5;TAGLN2;MTFR2;PRR11;ASF1B
CID5497124 GA-79-DW49 BAID44 10UM	9/63	8.757095946724662E-5	0.006124123717564694	0	0	5.5821799307958475	52.15464832044851	TOP2A;TUBA1C;RRM2;CKAP2L;UBE2C;BIRC5;CENPM;CENPA;AURKB
CID156019130 BF-02-AC35 BAID36 10UM	43/794	8.898165992892877E-5	0.006124123717564694	0	0	1.9642094853920262	18.320339552434678	TOP2A;SPARC;NNMT;TROAP;HJURP;CDCA8;TYMS;AURKA;C6ORF15;CDC45;MDK;NUF2;PDPN;PBK;PCLAF;OIP5;CHST14;BUB1;DLGAP5;S100A10;HOXC6;CDKN2C;RRM2;ANXA2;CKAP2L;UBE2C;ANXA5;F2R;GPX8;ESCO2;CDC25C;TPX2;WEE1;CCDC80;DEPDC1;CENPM;BIRC5;ID3;S100A4;TAGLN2;PRR11;APOBEC3B;TMEM45A
CID135923992 DD-38-BM78 BAID43 1UM	8/50	9.5021755518972E-5	0.006292537724385329	0	0	6.372563533185295	59.01888977520347	TOP2A;SPARC;RRM2;MDK;UBE2C;PCLAF;CENPM;AURKB
CID57930109 CA-06-FY97 BAID43 1UM	8/50	9.5021755518972E-5	0.006292537724385329	0	0	6.372563533185295	59.01888977520347	TOP2A;CDC20;RRM2;UBE2C;PCLAF;BIRC5;CENPM;APOBEC3B
CID9576789 SARDOMOZIDE CB-30-KN11 BAID8 10UM	18/221	9.77611678489532E-5	0.006292537724385329	0	0	2.9935848043841498	27.639717956781354	TOP2A;CDKN2C;RRM2;UBE2C;TROAP;CDCA8;ESCO2;CENPA;AURKA;CCNA2;TPX2;CCNB2;RAD51;PCLAF;EIF4EBP1;CENPM;BIRC5;ASF1B
CID134823928 NVS-ZP7-4 GA-81-DL34 BAID36 10UM	35/600	9.784471098330488E-5	0.006292537724385329	0	0	2.115172502244453	19.527545224263513	TOP2A;SPARC;HJURP;CDCA8;TYMS;AURKB;AURKA;CDC20;TUBA1C;NUF2;PBK;PCLAF;BUB1;DLGAP5;S100A10;CDKN2C;RRM2;ANXA2;CMTM3;UBE2C;ESCO2;CDC25C;TPX2;NEIL3;CCDC80;TMSB15A;CDK1;CENPM;BIRC5;ID3;S100A4;TAGLN2;PRR11;SPC24;ASF1B
CID44818584 AA-42-XZ05 BAID31 1UM	8/51	1.0983772292701037E-4	0.006919538642460929	0	0	6.224043057396473	56.7415291604257	TOP2A;CCNB2;TPX2;RRM2;TROAP;BIRC5;CENPM;PIMREG
CB-45-VH79 BAID36 10UM	9/65	1.1228653565777813E-4	0.006919538642460929	0	0	5.382260257043994	48.94873231543184	TOP2A;CDC20;TPX2;RRM2;UBE2C;BIRC5;CDCA8;CENPM;AURKA
CID49787174 SE-15-AV21 BAID36 10UM	31/509	1.1288566737636999E-4	0.006919538642460929	0	0	2.208636856205412	20.074598650508815	TOP2A;SPARC;HJURP;CDCA8;CENPA;AURKA;CDC20;NUF2;PBK;PCLAF;DLGAP5;S100A10;EIF5AL1;CDKN2C;RRM2;ANXA2;UBE2C;F2R;ESCO2;CDC25C;PIMREG;TPX2;CCDC80;TMSB15A;CKS2;CENPM;BIRC5;S100A4;TAGLN2;PRR11;ASF1B
CID101476432 RC-52-AC88 BAID27 1UM	11/96	1.1697411262290812E-4	0.00705983759722567	0	0	4.342483660130719	39.314927278416334	TOP2A;CDC20;TPX2;CCDC80;RRM2;UBE2C;TROAP;PCLAF;BIRC5;ID3;DLGAP5
