Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 LNCAP 24H-PI-103-1.11	29/182	1.3513587450610634E-11	2.482986558175198E-7	0	0	5.286190666742888	132.29921425395287	CXCL9;CSTA;PCNA;LPL;HMMR;CENPA;RAD51AP1;CDC45;PTTG1;PBK;OIP5;GBP1;BUB1;DLGAP5;GINS2;RRM2;CCNA2;CXCL10;NEIL3;RAD51;CDK1;DEPDC1;CKS2;ID3;BIRC5;CENPM;EZH2;APOBEC3B;SPC25
LJP005 HEPG2 24H-GDC-0980-10	24/141	1.9370844408255545E-10	1.7795994757864368E-6	0	0	5.69015547886749	127.2584321948302	GINS2;POSTN;CSTA;RRM2;LPL;HMMR;CENPA;CCNA2;CSRP2;RAD51;PTTG1;PLAU;CDK1;PBK;CKS2;SPP1;ID3;BIRC5;OIP5;S100A4;DLGAP5;EZH2;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-10	26/168	2.992372135466522E-10	1.8327281872353959E-6	0	0	5.087164496412437	111.56042112611655	SPARC;PCNA;HMMR;CENPA;RAD51AP1;CSRP2;CDC45;PTTG1;PBK;OIP5;IGF2BP3;BUB1;DLGAP5;GINS2;CDKN2C;RRM2;CCNA2;NEIL3;RAD51;CDK1;BIRC5;CENPM;PLP2;EZH2;APOBEC3B;SPC25
LJP007 HCC515 24H-NVP-BGJ398-10	19/92	5.073824759559659E-10	2.119163712797605E-6	0	0	7.1844591402928675	153.76004155778784	GINS2;CXCL9;PCNA;CDKN2C;RRM2;HMMR;CCNA2;RAD51AP1;CXCL10;CSRP2;PTTG1;PBK;CDK1;BIRC5;GBP1;BUB1;DLGAP5;SPC25;EZH2
LJP006 HCC515 24H-PHA-793887-1.11	26/173	5.766745708059227E-10	2.119163712797605E-6	0	0	4.912848158131177	104.51466916617682	SPARC;PCNA;HMMR;CENPA;RAD51AP1;CDC45;PTTG1;EIF4EBP1;PBK;OIP5;BUB1;DLGAP5;GINS2;RRM2;CCNA2;NEIL3;RAD51;MTHFD2;CDK1;BIRC5;CENPM;CD44;EZH2;APOBEC3B;LTF;SPC25
LJP006 BT20 24H-palbociclib-3.33	25/163	7.98425869414352E-10	2.3939101112770403E-6	0	0	5.027042638101239	105.30839438125673	PCNA;HMMR;CENPA;RAD51AP1;CDC45;PTTG1;PBK;OIP5;BUB1;DLGAP5;GINS2;CDKN2C;RRM2;EMP3;CCNA2;NEIL3;RAD51;CDK1;DEPDC1;BIRC5;CENPM;PLP2;EZH2;APOBEC3B;SPC25
LJP009 HEPG2 24H-KIN001-127-10	22/128	9.120153901675891E-10	2.3939101112770403E-6	0	0	5.743935309973046	119.56210571019452	GINS2;POSTN;CXCL9;RRM2;HMMR;CENPA;CCNA2;NEIL3;PTTG1;CDK1;PBK;DEPDC1;CKS2;ID3;BIRC5;OIP5;S100A4;IGFBP7;BUB1;DLGAP5;APOBEC3B;SPC25
LJP006 LNCAP 24H-JW-7-24-1-3.33	26/179	1.2255486751310181E-9	2.8000682324226123E-6	0	0	4.718707608829695	96.82730065305235	LPL;HMMR;CENPA;RAD51AP1;CDC45;PTTG1;EIF4EBP1;PBK;SPP1;OIP5;IGF2BP3;BUB1;DLGAP5;GINS2;RRM2;CCNA2;NEIL3;RAD51;MTHFD2;CDK1;DEPDC1;CKS2;BIRC5;EZH2;APOBEC3B;SPC25
LJP006 HEPG2 24H-OSI-027-10	18/87	1.4047689794706314E-9	2.8000682324226123E-6	0	0	7.1920653733391555	146.59869480740585	GINS2;CXCL9;CSTA;RRM2;ANXA2;CENPA;CCNA2;CXCL10;PTTG1;MDK;PBK;CKS2;CDK1;BIRC5;ID3;OIP5;SPC25;EZH2
LJP006 PC3 24H-palbociclib-10	19/98	1.5713577147933557E-9	2.8000682324226123E-6	0	0	6.636730685290266	134.53533000027247	GINS2;CDKN2C;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;NEIL3;CDK1;PBK;DEPDC1;SPP1;BIRC5;OIP5;BUB1;DLGAP5;EZH2;APOBEC3B;SPC25
LJP006 LNCAP 24H-mitoxantrone-0.37	27/195	1.7382219211896403E-9	2.8000682324226123E-6	0	0	4.465661337209302	90.0741894161278	CXCL9;HMMR;CENPA;RAD51AP1;CDC45;PTTG1;PBK;EIF4EBP1;OIP5;BUB1;DLGAP5;GINS2;CDKN2C;RRM2;CCNA2;CXCL10;NEIL3;RAD51;MTHFD2;DEPDC1;CKS2;CDK1;CENPM;BIRC5;EZH2;APOBEC3B;SPC25
LJP006 MCF10A 24H-palbociclib-3.33	21/121	1.8287155104534314E-9	2.8000682324226123E-6	0	0	5.805259365994236	116.79979834939398	GINS2;POSTN;SPARC;ANXA1;CDKN2C;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;NEIL3;CDC45;PTTG1;CDK1;PBK;BIRC5;OIP5;BUB1;DLGAP5;EZH2;SPC25
LJP006 LNCAP 24H-MK-2206-1.11	21/123	2.49062600994805E-9	3.390417891964932E-6	0	0	5.690837430072894	112.73965375121385	GINS2;CXCL9;RRM2;HMMR;CENPA;CCNA2;CXCL10;CDC45;PTTG1;CDK1;PBK;DEPDC1;CKS2;BIRC5;OIP5;GBP1;BUB1;DLGAP5;EZH2;APOBEC3B;SPC25
LJP006 A549 24H-ZSTK-474-10	22/135	2.5833161253678594E-9	3.390417891964932E-6	0	0	5.386149740132041	106.50675879736936	GINS2;CXCL9;CSTA;RRM2;HMMR;CENPA;CCNA2;CSRP2;RAD51;MTHFD2;EIF4EBP1;CDK1;PBK;CKS2;BIRC5;OIP5;BUB1;DLGAP5;IDO1;EZH2;APOBEC3B;SPC25
LJP006 HME1 24H-palbociclib-1.11	21/124	2.8993692353068667E-9	3.5515340219685583E-6	0	0	5.635292800984863	110.78293987058875	GINS2;CDKN2C;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;NEIL3;PTTG1;CDK1;PBK;DEPDC1;CKS2;SPP1;BIRC5;OIP5;BUB1;DLGAP5;EZH2;LTF;SPC25
LJP006 MDAMB231 24H-palbociclib-0.37	20/113	3.118767094689745E-9	3.5815141623643362E-6	0	0	5.938578169722287	116.31197104320077	GINS2;PCNA;CDKN2C;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;CDC45;CDK1;PBK;DEPDC1;BIRC5;OIP5;BUB1;DLGAP5;EZH2;APOBEC3B;LTF;SPC25
LJP006 LNCAP 24H-GDC-0941-1.11	26/189	3.996890805083165E-9	4.319933626623416E-6	0	0	4.426901261720107	85.6063057869527	CSTA;HMMR;CENPA;RAD51AP1;CDC45;PTTG1;EIF4EBP1;PBK;OIP5;BUB1;DLGAP5;GINS2;RRM2;CCNA2;NEIL3;RAD51;CDK1;CKS2;ID3;BIRC5;CENPM;HOXB7;EZH2;APOBEC3B;LTF;SPC25
LJP006 HME1 24H-WYE-125132-3.33	24/165	5.157423089006147E-9	4.836606834533101E-6	0	0	4.715706499984605	89.98901973268347	GINS2;CXCL9;PCNA;CDKN2C;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;NEIL3;CDC45;PTTG1;CDK1;PBK;DEPDC1;CKS2;BIRC5;OIP5;GBP1;BUB1;DLGAP5;EZH2;APOBEC3B;SPC25
LJP006 MDAMB231 24H-palbociclib-0.12	18/94	5.2040576611160145E-9	4.836606834533101E-6	0	0	6.52725968436155	124.49982328426502	GINS2;PCNA;RRM2;HMMR;CENPA;CCNA2;RAD51AP1;NEIL3;RAD51;PTTG1;PBK;CDK1;BIRC5;OIP5;BUB1;DLGAP5;SPC25;EZH2
LJP006 LNCAP 24H-QL-X-138-1.11	19/105	5.264620479517906E-9	4.836606834533101E-6	0	0	6.09430967655707	116.17129593687089	GINS2;RRM2;HMMR;CENPA;CCNA2;CSRP2;MTHFD2;EIF4EBP1;CDK1;PBK;DEPDC1;CKS2;BIRC5;OIP5;HOXB7;BUB1;DLGAP5;EZH2;SPC25
LJP006 MDAMB231 24H-XMD-1150-10	25/179	5.804615402805684E-9	5.078762067197697E-6	0	0	4.50098814229249	85.35949588097003	HMMR;CENPA;RAD51AP1;CDC45;PTTG1;PLAU;PBK;IGF2BP3;BUB1;DLGAP5;GINS2;CDKN2C;RRM2;CCNA2;NEIL3;RAD51;CDK1;DEPDC1;BIRC5;HOXB7;IDO1;EZH2;APOBEC3B;LTF;SPC25
LJP006 MCF10A 24H-mitoxantrone-0.37	23/154	6.408048803547417E-9	5.2016000806929455E-6	0	0	4.859705246436923	91.68179477877054	GINS2;RRM2;HMMR;CENPA;CCNA2;NEIL3;CDC45;RAD51;PTTG1;EIF4EBP1;CDK1;PBK;DEPDC1;CKS2;SPP1;BIRC5;CENPM;OIP5;BUB1;DLGAP5;EZH2;APOBEC3B;SPC25
LJP006 LNCAP 24H-GDC-0941-0.37	20/118	6.794296393633977E-9	5.2016000806929455E-6	0	0	5.634121274409044	105.9619461468208	GINS2;RRM2;LPL;HMMR;CENPA;CCNA2;NEIL3;CDC45;PTTG1;MTHFD2;EIF4EBP1;CDK1;PBK;DEPDC1;BIRC5;OIP5;BUB1;DLGAP5;EZH2;SPC25
LJP006 MCF10A 24H-PHA-793887-3.33	20/118	6.794296393633977E-9	5.2016000806929455E-6	0	0	5.634121274409044	105.9619461468208	SPARC;PCNA;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;CDC45;PTTG1;CDK1;PBK;DEPDC1;CKS2;BIRC5;IGF2BP3;BUB1;DLGAP5;EZH2;APOBEC3B;SPC25
LJP006 MDAMB231 24H-XMD11-85H-10	19/107	7.2939053823919695E-9	5.360728699842802E-6	0	0	5.955182210031348	111.57764402594213	GINS2;POSTN;CDKN2C;RRM2;CENPA;RAD51AP1;CCNA2;CDC45;RAD51;PTTG1;CDK1;PBK;BIRC5;GBP1;BUB1;DLGAP5;CD44;EZH2;LTF
LJP006 HT29 24H-palbociclib-0.37	26/195	7.798170951948744E-9	5.510907425811778E-6	0	0	4.2683934353019986	79.6882446234405	PCNA;HMMR;CENPA;RAD51AP1;CSRP2;CDC45;PTTG1;MDK;PBK;OIP5;BUB1;DLGAP5;GINS2;CDKN2C;RRM2;CCNA2;NEIL3;RAD51;DEPDC1;CDK1;CENPM;BIRC5;PLP2;EZH2;APOBEC3B;SPC25
LJP006 LNCAP 24H-ZSTK-474-0.12	23/156	8.251452284268682E-9	5.615266084116768E-6	0	0	4.786127167630058	89.08359444741038	GINS2;CSTA;RRM2;HMMR;CENPA;CCNA2;NEIL3;CSRP2;CDC45;PTTG1;EIF4EBP1;CDK1;PBK;DEPDC1;CKS2;BIRC5;OIP5;BUB1;DLGAP5;EZH2;APOBEC3B;LTF;SPC25
LJP006 BT20 24H-palbociclib-0.12	20/120	9.16441583320375E-9	6.0138205899744885E-6	0	0	5.520863309352518	102.17979416073095	GINS2;CXCL9;RRM2;HMMR;CENPA;CCNA2;CSRP2;CDC45;PTTG1;CDK1;PBK;DEPDC1;BIRC5;OIP5;PLP2;BUB1;DLGAP5;EZH2;APOBEC3B;SPC25
LJP006 A549 24H-mitoxantrone-0.37	24/171	1.0595624431200816E-8	6.489466776629461E-6	0	0	4.521811039900765	83.0332234999673	GINS2;RRM2;LPL;HMMR;CENPA;RAD51AP1;CCNA2;SFRP4;NEIL3;RAD51;PTTG1;CDK1;PBK;DEPDC1;CKS2;BIRC5;OIP5;IGF2BP3;BUB1;DLGAP5;CD44;EZH2;APOBEC3B;SPC25
LJP006 LNCAP 24H-ZSTK-474-0.37	24/171	1.0595624431200816E-8	6.489466776629461E-6	0	0	4.521811039900765	83.0332234999673	GINS2;CXCL9;PCNA;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;NEIL3;CDC45;RAD51;PTTG1;CDK1;PBK;DEPDC1;BIRC5;CENPM;OIP5;BUB1;DLGAP5;EZH2;APOBEC3B;LTF;SPC25
LJP006 LNCAP 24H-GDC-0941-3.33	25/185	1.1478957855152163E-8	6.803689407437608E-6	0	0	4.330842391304348	79.17970972287054	PCNA;HMMR;CENPA;RAD51AP1;CDC45;PTTG1;EIF4EBP1;PBK;OIP5;BUB1;DLGAP5;GINS2;RRM2;CCNA2;NEIL3;RAD51;CDK1;DEPDC1;CKS2;BIRC5;CENPM;EZH2;APOBEC3B;LTF;SPC25
LJP006 HCC515 24H-PHA-793887-3.33	25/186	1.2822038477810694E-8	7.089999645648306E-6	0	0	4.30371770636421	78.20759021227099	SPARC;PCNA;HMMR;CENPA;RAD51AP1;CDC45;PTTG1;PBK;OIP5;BUB1;DLGAP5;GINS2;RRM2;CCNA2;NEIL3;RAD51;MTHFD2;CDK1;DEPDC1;CKS2;BIRC5;CENPM;EZH2;APOBEC3B;SPC25
LJP006 LNCAP 24H-JW-7-24-1-1.11	16/78	1.3119624902146642E-8	7.089999645648306E-6	0	0	7.096958789053486	128.8038167558089	GINS2;RRM2;LPL;HMMR;CENPA;CCNA2;CDC45;PTTG1;PBK;DEPDC1;CDK1;BIRC5;BUB1;DLGAP5;EZH2;APOBEC3B
LJP007 HCC515 24H-BS-181-10	16/78	1.3119624902146642E-8	7.089999645648306E-6	0	0	7.096958789053486	128.8038167558089	SPARC;CDKN2C;RRM2;HMMR;CENPA;CCNA2;PTTG1;PBK;CKS2;CDK1;BIRC5;HOXB7;BUB1;DLGAP5;EZH2;APOBEC3B
LJP006 MCF10A 24H-afatinib-1.11	24/174	1.4991482889458114E-8	7.870100188882953E-6	0	0	4.430680173661361	79.82217522933104	GINS2;PCNA;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;NEIL3;CDC45;RAD51;PTTG1;EIF4EBP1;CDK1;PBK;DEPDC1;CKS2;BIRC5;CENPM;IGF2BP3;BUB1;DLGAP5;EZH2;APOBEC3B;SPC25
LJP005 SKBR3 24H-GDC-0980-0.04	15/69	1.6203885458355005E-8	8.270283094772636E-6	0	0	7.631349206349206	136.89125485756153	ANXA1;CDKN2C;RRM2;ANXA2;HMMR;CENPA;CCNA2;PTTG1;PBK;CKS2;CDK1;BIRC5;BUB1;DLGAP5;EZH2
LJP007 HCC515 24H-DCC-2036-3.33	18/101	1.705946249058695E-8	8.471636859514719E-6	0	0	5.974589894729564	106.86486542135847	PCNA;RRM2;HMMR;CENPA;CCNA2;CSRP2;CDC45;PTTG1;CDK1;PBK;DEPDC1;BIRC5;OIP5;BUB1;CD99;DLGAP5;PPIC;SPC25
LJP006 HCC515 24H-palbociclib-3.33	22/150	1.9170039477832175E-8	8.877350723786249E-6	0	0	4.751240079365079	84.42914290521104	GINS2;PCNA;CDKN2C;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;NEIL3;RAD51;PTTG1;CDK1;PBK;DEPDC1;CKS2;BIRC5;OIP5;BUB1;DLGAP5;EZH2;APOBEC3B;SPC25
LJP006 LNCAP 24H-torin-1-0.04	22/150	1.9170039477832175E-8	8.877350723786249E-6	0	0	4.751240079365079	84.42914290521104	GINS2;PCNA;CDKN2C;RRM2;HMMR;EMP3;CENPA;CCNA2;CDC45;RAD51;PTTG1;MTHFD2;EIF4EBP1;CDK1;PBK;CKS2;BIRC5;DLGAP5;EZH2;APOBEC3B;LTF;SPC25
LJP006 LNCAP 24H-PI-103-0.37	23/163	1.9325896862493195E-8	8.877350723786249E-6	0	0	4.545158959537572	80.73029455668102	GINS2;PCNA;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;CDC45;RAD51;PTTG1;EIF4EBP1;CDK1;PBK;DEPDC1;CKS2;BIRC5;OIP5;TAGLN2;BUB1;DLGAP5;EZH2;APOBEC3B;SPC25
LJP006 MDAMB231 24H-palbociclib-1.11	22/151	2.169780647912338E-8	9.4922737201765E-6	0	0	4.714162667651039	83.18637213505565	GINS2;PCNA;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;NEIL3;CDC45;PTTG1;CDK1;PBK;DEPDC1;CKS2;BIRC5;CENPM;OIP5;BUB1;DLGAP5;EZH2;APOBEC3B;SPC25
LJP006 MDAMB231 24H-palbociclib-3.33	22/151	2.169780647912338E-8	9.4922737201765E-6	0	0	4.714162667651039	83.18637213505565	GINS2;PCNA;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;NEIL3;CDC45;RAD51;PTTG1;CDK1;PBK;DEPDC1;BIRC5;CENPM;OIP5;BUB1;DLGAP5;EZH2;LTF;SPC25
LJP006 BT20 24H-palbociclib-0.37	24/178	2.3511185912990262E-8	9.874479241544492E-6	0	0	4.314695434811209	75.79103190580723	GINS2;ANXA1;CDKN2C;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;NEIL3;CDC45;RAD51;PTTG1;CDK1;PBK;DEPDC1;BIRC5;OIP5;TAGLN2;PLP2;BUB1;DLGAP5;EZH2;APOBEC3B;SPC25
LJP006 HCC515 24H-palbociclib-1.11	21/139	2.3646298390549562E-8	9.874479241544492E-6	0	0	4.915095491623114	86.30936805483735	GINS2;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;NEIL3;CDC45;RAD51;PTTG1;CDK1;PBK;DEPDC1;BIRC5;OIP5;HOXB7;BUB1;DLGAP5;EZH2;APOBEC3B;SPC25
LJP005 MCF10A 24H-mitoxantrone-0.37	25/192	2.448309999423653E-8	9.941781580242118E-6	0	0	4.147791373774191	72.69121662820366	HMMR;CENPA;RAD51AP1;CDC45;PTTG1;EIF4EBP1;PBK;OIP5;IGF2BP3;BUB1;DLGAP5;GINS2;CDKN2C;RRM2;CCNA2;NEIL3;RAD51;CDK1;DEPDC1;CKS2;BIRC5;EZH2;APOBEC3B;LTF;SPC25
LJP005 HEPG2 24H-NVP-BEZ235-0.12	19/115	2.4889624071576E-8	9.941781580242118E-6	0	0	5.456642121647509	95.53933647025842	GINS2;POSTN;CSTA;PCNA;RRM2;HMMR;CENPA;CCNA2;CXCL10;NEIL3;PTTG1;CDK1;PBK;CKS2;BIRC5;OIP5;IGFBP7;BUB1;EZH2
LJP006 A549 24H-torin-1-0.37	21/140	2.6900901306528285E-8	1.040992685378379E-5	0	0	4.873537887777589	84.95115573657137	GINS2;CSTA;PCNA;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;NEIL3;CSRP2;RAD51;EIF4EBP1;CDK1;PBK;CKS2;BIRC5;OIP5;BUB1;DLGAP5;EZH2;SPC25
LJP006 MCF10A 24H-canertinib-3.33	25/193	2.719475829877119E-8	1.040992685378379E-5	0	0	4.1228864734299515	71.82167842279381	PCNA;HMMR;CENPA;RAD51AP1;CDC45;PTTG1;PLAU;PBK;SPP1;EIF4EBP1;BUB1;DLGAP5;GINS2;RRM2;CCNA2;NEIL3;RAD51;DEPDC1;CKS2;CDK1;BIRC5;EZH2;APOBEC3B;SPC25;LTF
LJP006 HME1 24H-AZD-8055-3.33	20/128	2.8462967551455004E-8	1.057792242846556E-5	0	0	5.109778843591793	88.7806801936413	GINS2;POSTN;PCNA;RRM2;HMMR;CENPA;CCNA2;NEIL3;CDC45;CDK1;PBK;CKS2;BIRC5;OIP5;GBP1;BUB1;DLGAP5;EZH2;APOBEC3B;SPC25
LJP006 HME1 24H-AZD-8055-1.11	19/116	2.8785028922568733E-8	1.057792242846556E-5	0	0	5.400106647707075	93.76426800372344	GINS2;CXCL9;PCNA;CDKN2C;RRM2;HMMR;CENPA;CCNA2;NEIL3;PTTG1;CDK1;PBK;DEPDC1;BIRC5;BUB1;DLGAP5;EZH2;APOBEC3B;SPC25
LJP006 A375 24H-palbociclib-10	22/154	3.1253880287873145E-8	1.1259976400183943E-5	0	0	4.606301106301106	79.60205276520797	GINS2;CDKN2C;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;NEIL3;CDC45;RAD51;PTTG1;CDK1;PBK;DEPDC1;BIRC5;CENPM;OIP5;BUB1;DLGAP5;EZH2;APOBEC3B;SPC25
LJP006 HCC515 24H-palbociclib-0.37	20/129	3.257507295963593E-8	1.1510276741545204E-5	0	0	5.062636129628407	87.27842161208078	GINS2;SPARC;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;NEIL3;PTTG1;CDK1;PBK;DEPDC1;CKS2;BIRC5;OIP5;BUB1;DLGAP5;EZH2;APOBEC3B;SPC25
LJP006 HME1 24H-torin-1-0.37	23/168	3.443445407824494E-8	1.180226074198187E-5	0	0	4.38728323699422	75.39198858461636	GINS2;CXCL9;PCNA;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;NEIL3;CSRP2;PTTG1;MTHFD2;CDK1;PBK;DEPDC1;CKS2;SPP1;BIRC5;BUB1;DLGAP5;EZH2;LTF;SPC25
LJP006 HS578T 24H-palbociclib-0.12	21/142	3.468608251153919E-8	1.180226074198187E-5	0	0	4.7924833877152455	82.32013878903456	GINS2;PCNA;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;NEIL3;CDC45;RAD51;PTTG1;CDK1;PBK;SPP1;BIRC5;OIP5;BUB1;DLGAP5;EZH2;APOBEC3B;SPC25
LJP006 MCF10A 24H-torin-1-0.37	20/130	3.72287952825515E-8	1.2437125173120024E-5	0	0	5.016350555918901	85.81061214857843	GINS2;PCNA;RRM2;CENPA;CCNA2;NEIL3;CSRP2;CDC45;CDK1;PBK;DEPDC1;SPP1;BIRC5;OIP5;S100A4;BUB1;DLGAP5;EZH2;LTF;SPC25
LJP006 LNCAP 24H-palbociclib-1.11	21/143	3.9314835253687203E-8	1.278056834779426E-5	0	0	4.752952709406151	81.04575214256342	GINS2;SPARC;PCNA;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;CSRP2;CDC45;PTTG1;CDK1;PBK;SPP1;ID3;BIRC5;OIP5;BUB1;DLGAP5;EZH2;SPC25
LJP006 HS578T 24H-palbociclib-1.11	22/156	3.964800238512424E-8	1.278056834779426E-5	0	0	4.537076522151149	77.32641724033978	GINS2;CXCL9;PCNA;CDKN2C;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;NEIL3;CDC45;RAD51;PTTG1;CDK1;PBK;BIRC5;OIP5;BUB1;DLGAP5;EZH2;APOBEC3B;SPC25
LJP006 A549 24H-PI-103-10	22/157	4.4585847505709706E-8	1.3553669442557167E-5	0	0	4.503233392122281	76.22104997744366	GINS2;CSTA;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;NEIL3;CSRP2;CDC45;RAD51;EIF4EBP1;CDK1;PBK;BIRC5;OIP5;GBP1;BUB1;DLGAP5;EZH2;APOBEC3B;SPC25
LJP006 MDAMB231 24H-palbociclib-10	22/157	4.4585847505709706E-8	1.3553669442557167E-5	0	0	4.503233392122281	76.22104997744366	GINS2;PCNA;CDKN2C;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;CDC45;PTTG1;CDK1;PBK;DEPDC1;CKS2;BIRC5;CENPM;OIP5;BUB1;DLGAP5;EZH2;LTF;SPC25
LJP005 A549 24H-GDC-0980-1.11	24/184	4.499694328921232E-8	1.3553669442557167E-5	0	0	4.151591895803183	70.23111537502565	GINS2;CSTA;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;NEIL3;CSRP2;CDC45;RAD51;EIF4EBP1;CDK1;PBK;DEPDC1;CKS2;BIRC5;OIP5;BUB1;DLGAP5;EZH2;APOBEC3B;LTF;SPC25
LJP005 A549 24H-mitoxantrone-0.37	24/184	4.499694328921232E-8	1.3553669442557167E-5	0	0	4.151591895803183	70.23111537502565	GINS2;ANXA1;RRM2;LPL;HMMR;CENPA;RAD51AP1;CCNA2;NEIL3;CSRP2;RAD51;PTTG1;CDK1;PBK;DEPDC1;CKS2;ID3;BIRC5;OIP5;IGFBP7;BUB1;DLGAP5;APOBEC3B;SPC25
LJP006 A549 24H-GDC-0941-10	23/171	4.814820344731648E-8	1.4123260385232952E-5	0	0	4.297678097172317	72.41150094824164	GINS2;CSTA;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;NEIL3;CSRP2;RAD51;MTHFD2;EIF4EBP1;CDK1;PBK;CKS2;BIRC5;OIP5;BUB1;DLGAP5;EZH2;APOBEC3B;LTF;SPC25
LJP006 HME1 24H-WYE-125132-1.11	20/132	4.842524242242712E-8	1.4123260385232952E-5	0	0	4.926258992805756	82.97418528480912	GINS2;CXCL9;CDKN2C;RRM2;LPL;HMMR;CENPA;CCNA2;PTTG1;CDK1;PBK;DEPDC1;CKS2;BIRC5;GBP1;BUB1;DLGAP5;EZH2;APOBEC3B;SPC25
LJP006 LNCAP 24H-JW-7-24-1-10	21/145	5.0328339952110486E-8	1.4243183489736062E-5	0	0	4.675804127544854	78.57547393250393	GINS2;PCNA;RRM2;RAD51AP1;CCNA2;CXCL10;NEIL3;CDC45;RAD51;MTHFD2;EIF4EBP1;CDK1;PBK;BIRC5;CENPM;GBP1;BUB1;DLGAP5;EZH2;APOBEC3B;LTF
LJP006 MDAMB231 24H-BI-2536-3.33	18/108	5.038679257825428E-8	1.4243183489736062E-5	0	0	5.507890961262554	92.55204817281633	GINS2;CDKN2C;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;PTTG1;CDK1;PBK;BIRC5;OIP5;BUB1;DLGAP5;IDO1;EZH2;APOBEC3B;SPC25
LJP006 HME1 24H-palbociclib-0.37	20/133	5.5117649627094174E-8	1.5220359196461437E-5	0	0	4.882409116954224	81.60358924753697	GINS2;CDKN2C;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;NEIL3;PTTG1;CDK1;PBK;DEPDC1;CKS2;BIRC5;OIP5;BUB1;DLGAP5;EZH2;APOBEC3B;SPC25
LJP005 HEPG2 24H-dovitinib-10	24/186	5.5500384574013076E-8	1.5220359196461437E-5	0	0	4.099908881385003	68.49666882913004	GINS2;POSTN;CDKN2C;RRM2;HMMR;CENPA;CCNA2;NEIL3;CDC45;PTTG1;CDK1;PBK;DEPDC1;BIRC5;OIP5;S100A4;HOXB7;GBP1;BUB1;DLGAP5;EZH2;APOBEC3B;LTF;SPC25
LJP005 SKBR3 24H-pelitinib-0.04	19/121	5.811539576983674E-8	1.570312179227912E-5	0	0	5.134057358575614	85.53768366515284	RRM2;HMMR;CENPA;RAD51AP1;CCNA2;CXCL10;CDC45;RAD51;PTTG1;CDK1;PBK;CKS2;BIRC5;OIP5;GBP1;BUB1;DLGAP5;LTF;SPC25
LJP006 HME1 24H-palbociclib-10	26/215	5.959754733895319E-8	1.5870222243564144E-5	0	0	3.8127183787561147	63.42705389542111	PCNA;HMMR;CENPA;RAD51AP1;CSRP2;CDC45;PTTG1;PBK;OIP5;BUB1;DLGAP5;GINS2;CDKN2C;RRM2;CCNA2;NEIL3;RAD51;DEPDC1;CKS2;CDK1;CENPM;BIRC5;EZH2;APOBEC3B;SPC25;LTF
LJP006 HT29 24H-palbociclib-10	22/160	6.301827620834542E-8	1.6541397243601982E-5	0	0	4.404646882907753	73.02834521796017	GINS2;PCNA;RRM2;HMMR;CENPA;CCNA2;NEIL3;CDC45;RAD51;PTTG1;CDK1;PBK;CKS2;BIRC5;CENPM;OIP5;BUB1;DLGAP5;IDO1;EZH2;APOBEC3B;SPC25
LJP006 MCF10A 24H-WYE-125132-0.12	21/147	6.412951927545815E-8	1.659599700235589E-5	0	0	4.601104707012488	76.20515743198423	GINS2;PCNA;CDKN2C;RRM2;CENPA;CCNA2;NEIL3;CDC45;EIF4EBP1;CDK1;PBK;DEPDC1;CKS2;SPP1;BIRC5;OIP5;GBP1;BUB1;DLGAP5;EZH2;SPC25
LJP006 A375 24H-NVP-TAE684-0.37	19/122	6.657054822177011E-8	1.6988434069816722E-5	0	0	5.083947104117844	84.01224407625071	GINS2;RRM2;HMMR;CENPA;RAD51AP1;CCNA2;NEIL3;CDC45;RAD51;CDK1;PBK;DEPDC1;BIRC5;OIP5;BUB1;DLGAP5;EZH2;APOBEC3B;SPC25
