Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 LNCAP 24H-palbociclib-1.11	40/143	3.2405087422379897E-23	6.577584644994671E-19	0	0	9.852628321664797	510.2058132924696	SPARC;PCNA;HJURP;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;LOXL2;KIF15;LMNB1;CDC20;CCNB2;CDC45;NUSAP1;PBK;SPP1;E2F2;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;IGFBP2;PLK1;KIF23;NDC80;CCNA2;ASPM;MELK;KIFC1;KIF4A;KIF20A;TGFBI;ASF1B;SPC25
LJP006 HCC515 24H-palbociclib-0.37	37/129	5.485052297492318E-22	5.566779576724954E-18	0	0	10.168722682309639	497.80824700638993	SPARC;HJURP;BUB1B;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;EXO1;NUSAP1;PBK;E2F2;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;KIFC1;KIF4A;KIF2C;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 MCF10A 24H-palbociclib-3.33	35/121	5.298703584487502E-21	3.185163064326541E-17	0	0	10.266229980978094	479.2976801595466	SPARC;HJURP;BUB1B;CDCA8;MCM10;MKI67;FOXM1;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;E2F2;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;COL3A1;KIF4A;KIF20A;ASF1B;SPC25
LJP006 BT20 24H-palbociclib-3.33	40/163	6.47847799685457E-21	3.185163064326541E-17	0	0	8.241937399453676	383.1330646664627	PCNA;HJURP;TNC;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;OSR2;RRM2;PLK1;KIF23;EMP3;CDC25C;NDC80;CCNA2;ASPM;RAD51;KIFC1;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 LNCAP 24H-palbociclib-0.37	32/100	8.349776396705838E-21	3.185163064326541E-17	0	0	11.83520136043905	547.1656470129491	PCNA;HJURP;BUB1B;CDCA8;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;NUSAP1;PBK;E2F2;MYBL2;TK1;BUB1;CEP55;DLGAP5;CA12;RRM2;IGFBP2;PLK1;NDC80;CCNA2;ASPM;KIFC1;KIF4A;KIF20A;ASF1B;SPC25
LJP006 HCC515 24H-palbociclib-1.11	37/139	9.415202673149692E-21	3.185163064326541E-17	0	0	9.166990870422243	422.7079279277912	HJURP;BUB1B;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;MELK;RAD51;KIF4A;KIF2C;KIF20A;ASF1B;APOBEC3B;SPC25
LJP005 MCF7 24H-mitoxantrone-0.12	37/144	3.5293074954899764E-20	1.0233983363350792E-16	0	0	8.736339811106166	391.3059035603929	HJURP;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;CA12;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;MELK;RAD51;KIFC1;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 MCF7 24H-palbociclib-1.11	35/130	7.074765841602687E-20	1.7950449631606418E-16	0	0	9.28926537980836	409.61171299993686	PCNA;HJURP;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;MELK;KIFC1;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 MDAMB231 24H-palbociclib-0.12	30/94	1.503155404816393E-19	3.102180872533765E-16	0	0	11.760525884665793	509.71942377358147	PCNA;HJURP;CDCA8;MCM10;MKI67;FOXM1;CENPA;KIF15;LMNB1;CCNB2;EXO1;PBK;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;MELK;RAD51;KIF4A;KIF20A;NES;ASF1B;SPC25
LJP006 HCC515 24H-palbociclib-3.33	37/150	1.5933969974624696E-19	3.102180872533765E-16	0	0	8.269864681369107	357.9466085057193	PCNA;HJURP;BUB1B;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;SKA1;KIF15;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;IGFBP2;PLK1;KIF23;NDC80;CCNA2;ASPM;RAD51;KIF4A;KIF2C;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 HT29 24H-palbociclib-0.12	33/117	1.6811503398301022E-19	3.102180872533765E-16	0	0	9.88500939849624	427.32538268520227	HJURP;CDCA8;MCM10;MKI67;NID1;FOXM1;TYMS;CENPA;NCAPH;KIF15;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;NDC80;CCNA2;ASPM;MELK;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 LNCAP 24H-palbociclib-10	40/180	3.091380046338926E-19	5.229069348382293E-16	0	0	7.234680326313793	308.3456867614294	PCNA;HJURP;BUB1B;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;CA12;RRM2;IGFBP2;F2R;PLK1;KIF23;NDC80;CCNA2;ASPM;MELK;RAD51;KIFC1;KIF4A;KIF20A;ASF1B;SPC25
LJP006 A375 24H-palbociclib-10	37/154	4.1659757573458247E-19	5.699403283866768E-16	0	0	7.985461041016596	337.96200970676557	HJURP;BUB1B;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;CDC25C;NDC80;CCNA2;ASPM;RAD51;KIFC1;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 MCF10A 24H-mitoxantrone-0.37	37/154	4.1659757573458247E-19	5.699403283866768E-16	0	0	7.985461041016596	337.96200970676557	HJURP;CDCA8;MCM10;MKI67;FOXM1;CENPA;NCAPH;SKA1;KIF15;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;SPP1;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;IGFBP2;PLK1;KIF23;NDC80;CCNA2;ASPM;MELK;RAD51;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 LNCAP 24H-PI-103-0.37	38/163	4.2117966921864967E-19	5.699403283866768E-16	0	0	7.683348344370861	325.0918993185681	PCNA;HJURP;BUB1B;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;MELK;RAD51;KIF4A;TAGLN2;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 HS578T 24H-palbociclib-1.11	37/156	6.6534288391727125E-19	8.440706161095483E-16	0	0	7.850429060513094	328.57173566902304	PCNA;HJURP;BUB1B;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;MELK;RAD51;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 BT20 24H-PHA-793887-3.33	40/184	7.1552093168415E-19	8.543319924308751E-16	0	0	7.032241404751365	293.81601973152823	PCNA;HJURP;BUB1B;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;RCC1;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;CDC25C;NDC80;CCNA2;ASPM;MELK;RAD51;KIFC1;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 HME1 24H-palbociclib-1.11	33/124	1.201080283478136E-18	1.2672017845137911E-15	0	0	9.121283979178717	376.3743710380826	HJURP;CDCA8;MKI67;FOXM1;TYMS;CENPA;KIF15;LMNB1;CDC20;CCNB2;NUSAP1;PBK;SPP1;RCC1;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;CDC25C;NDC80;CCNA2;ASPM;MELK;KIFC1;KIF4A;KIF20A;ASF1B;SPC25
LJP006 LNCAP 24H-PD-173074-10	31/108	1.2089622789420026E-18	1.2672017845137911E-15	0	0	10.107202508777313	416.9905222029272	PCNA;BUB1B;MCM10;MKI67;FOXM1;TYMS;CENPA;LMNB1;CDC20;CCNB2;NUSAP1;PBK;SPP1;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;MMP14;COL3A1;RAD51;KIF4A;KIF20A;ASF1B
LJP006 BT20 24H-palbociclib-10	38/168	1.280216017109535E-18	1.2672017845137911E-15	0	0	7.385899133978604	304.29537239677586	SPARC;PCNA;HJURP;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;MELK;RAD51;KIFC1;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 LNCAP 24H-geldanamycin-0.37	36/150	1.3110275630500351E-18	1.2672017845137911E-15	0	0	7.964819578669262	327.9571843652343	PCNA;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;SPP1;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;MELK;RAD51;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 HS578T 24H-palbociclib-0.12	35/142	1.5804982047205584E-18	1.458225116337177E-15	0	0	8.242300199738613	337.8419248382392	PCNA;HJURP;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;CDC45;NUSAP1;PBK;SPP1;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;NDC80;CCNA2;MELK;RAD51;KIFC1;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 LNCAP 24H-JW-7-24-1-3.33	39/179	1.8133694496714895E-18	1.6003379604100823E-15	0	0	7.044458128078817	287.7755892210781	HJURP;BUB1B;LPL;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;SPP1;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;CDC25C;NDC80;CCNA2;ASPM;MELK;RAD51;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 LNCAP 24H-GDC-0941-0.37	32/118	2.1776804060170144E-18	1.8101312124902866E-15	0	0	9.34926504293616	380.2184481334271	HJURP;LPL;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;MELK;KIF4A;KIF20A;ASF1B;SPC25
LJP005 A375 24H-dovitinib-10	39/180	2.2294452809270454E-18	1.8101312124902866E-15	0	0	6.99413059427733	284.2748914084774	SPARC;HJURP;BUB1B;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;MELK;RAD51;COL4A2;KIFC1;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 MCF7 24H-palbociclib-10	33/127	2.66792117769362E-18	2.0828255409548116E-15	0	0	8.828793393057111	357.2591737235577	PCNA;HJURP;MCM10;MKI67;NID1;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;E2F2;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;NDC80;CCNA2;ASPM;RAD51;KIFC1;KIF4A;ASF1B;SPC25
LJP006 HCC515 24H-PHA-793887-1.11	38/173	3.726642773137483E-18	2.73079800929264E-15	0	0	7.110483198430218	285.3509712219465	SPARC;PCNA;HJURP;BUB1B;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;MELK;RAD51;KIF4A;KIF20A;CD44;ASF1B;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-0.12	32/120	3.7669890757805655E-18	2.73079800929264E-15	0	0	9.135826066180863	366.53167730494505	HJURP;BUB1B;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CDC45;NUSAP1;PBK;OIP5;MYBL2;BUB1;CEP55;DLGAP5;RRM2;PLK1;NDC80;CCNA2;ASPM;MELK;KIFC1;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 HCC515 24H-palbociclib-10	35/146	4.123033269900657E-18	2.885838941808398E-15	0	0	7.943616439658656	317.98250972558515	PCNA;HJURP;TNC;BUB1B;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 MCF10A 24H-canertinib-3.33	40/193	4.337926212949093E-18	2.9350408756813564E-15	0	0	6.615455389769896	264.4801859075111	PCNA;HJURP;CDCA8;MCM10;MKI67;TYMS;FOXM1;CENPA;NCAPH;SKA1;KIF15;LMNB1;CDC20;CCNB2;CDC45;PLAU;EXO1;PBK;SPP1;NUSAP1;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;FN1;KIF23;NDC80;CCNA2;ASPM;RAD51;COL4A2;KIF4A;KIF20A;VIM;ASF1B;APOBEC3B;SPC25
LJP006 HT29 24H-palbociclib-0.37	40/195	6.376557149162343E-18	4.175205064957975E-15	0	0	6.529409244741465	258.5247985948934	PCNA;HJURP;CDCA8;BUB1B;MCM10;MKI67;TYMS;FOXM1;CENPA;NCAPH;SKA1;KIF15;LMNB1;CDC20;CCNB2;CDC45;MDK;EXO1;PBK;NUSAP1;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;MELK;RAD51;KIFC1;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 MCF10A 24H-palbociclib-1.11	30/106	6.785157111675653E-18	4.3039099703997625E-15	0	0	9.897392563978753	391.2616862046098	ENPEP;HJURP;CDCA8;MKI67;NID1;FOXM1;TYMS;CENPA;KIF15;LMNB1;CDC20;CCNB2;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;NDC80;CCNA2;ASPM;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 HCC515 24H-PHA-793887-3.33	39/186	7.461244330111192E-18	4.589343557957484E-15	0	0	6.706544686840253	264.48472503911677	SPARC;PCNA;HJURP;BUB1B;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;MELK;RAD51;KIFC1;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 LNCAP 24H-PHA-793887-3.33	36/158	8.104387099875414E-18	4.838319098625622E-15	0	0	7.439417892024168	292.7717901425537	PCNA;HJURP;MCM10;MKI67;FOXM1;TYMS;CENPA;KIF15;LMNB1;CDC20;CCNB2;CDC45;MDK;EXO1;NUSAP1;PBK;E2F2;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;MELK;RAD51;KIFC1;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-0.37	38/178	1.0418030942373309E-17	6.0418626305226695E-15	0	0	6.854739829706717	268.04084785853587	HJURP;TNC;BUB1B;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;RAD51;KIFC1;KIF4A;TAGLN2;KIF2C;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 LNCAP 24H-JW-7-24-1-1.11	26/78	1.1806588018345658E-17	6.656947877677227E-15	0	0	12.48696219035202	486.7152387931262	HJURP;LPL;CDCA8;MKI67;FOXM1;TYMS;CENPA;LMNB1;CDC20;CCNB2;CDC45;PBK;NUSAP1;BUB1;CEP55;DLGAP5;CA12;RRM2;PLK1;KIF23;CCNA2;ASPM;MELK;KIF4A;KIF20A;APOBEC3B
LJP006 HT29 24H-palbociclib-10	36/160	1.25371210551746E-17	6.780913013165194E-15	0	0	7.3186602463033195	284.82643198353423	PCNA;HJURP;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;NDC80;CCNA2;ASPM;MELK;RAD51;KIFC1;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 HT29 24H-palbociclib-1.11	35/151	1.30286534394247E-17	6.780913013165194E-15	0	0	7.5992289145664635	295.4533134730122	PCNA;HJURP;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;RAD51;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 MDAMB231 24H-palbociclib-1.11	35/151	1.30286534394247E-17	6.780913013165194E-15	0	0	7.5992289145664635	295.4533134730122	PCNA;HJURP;CDCA8;MCM10;MKI67;FOXM1;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;MELK;KIFC1;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 LNCAP 24H-ZSTK-474-0.37	37/171	1.7574485741464162E-17	8.918172789505989E-15	0	0	6.966171128484561	268.75546379427055	PCNA;HJURP;BUB1B;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;MELK;RAD51;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 MCF10A 24H-PHA-793887-3.33	31/118	2.0204058363561405E-17	9.974697088883832E-15	0	0	8.940778954354844	343.6893382446706	SPARC;PCNA;HJURP;CDCA8;MKI67;FOXM1;TYMS;CENPA;KIF15;LMNB1;CDC20;CCNB2;CDC45;NUSAP1;PBK;MYBL2;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;MELK;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-1.11	34/144	2.0639337754119665E-17	9.974697088883832E-15	0	0	7.776955323990897	298.7854349136255	HJURP;CDCA8;MCM10;MKI67;NID1;FOXM1;TYMS;CENPA;NCAPH;KIF15;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;IGFBP7;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;MELK;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 A375 24H-mitoxantrone-0.12	42/222	2.1339701335898547E-17	1.0073331574792295E-14	0	0	5.911628939192188	226.92356632223547	ARHGAP11A;SPARC;HJURP;CDCA8;BUB1B;MCM10;MKI67;TYMS;FOXM1;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;CDC45;EXO1;PBK;NUSAP1;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;CA12;RRM2;PLK1;KIF23;CDC25C;NDC80;CCNA2;ASPM;MELK;RAD51;KIFC1;CENPI;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 HME1 24H-palbociclib-3.33	38/183	2.8040575136486326E-17	1.2680764686467573E-14	0	0	6.616633934688285	252.17896920603158	HJURP;BUB1B;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;SPP1;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;CDC25C;NDC80;CCNA2;ASPM;MELK;KIFC1;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 BT20 24H-PHA-793887-1.11	30/111	2.811283923987786E-17	1.2680764686467573E-14	0	0	9.284015339061211	353.81665888360266	HJURP;CDCA8;MKI67;FOXM1;CENPA;NCAPH;KIF15;CDC20;CCNB2;NUSAP1;PBK;RCC1;MYBL2;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;CCNA2;SFRP4;ASPM;MELK;KIFC1;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 MCF10A 24H-palbociclib-10	33/137	3.215607489873674E-17	1.4189217571620834E-14	0	0	7.975695850202429	302.8844695912165	HJURP;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;IGFBP2;PLK1;KIF23;NDC80;CCNA2;ASPM;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 A375 24H-palbociclib-1.11	31/120	3.4163732272369554E-17	1.4754371014139513E-14	0	0	8.738948361791854	331.34043478914975	HJURP;BUB1B;CDCA8;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CCNB2;CDC45;NUSAP1;PBK;MYBL2;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;MELK;KIFC1;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 HCC515 24H-palbociclib-0.12	28/96	3.582279246511242E-17	1.5148563363684416E-14	0	0	10.30165321030373	390.10246109762517	HJURP;BUB1B;CDCA8;MKI67;FOXM1;CENPA;NCAPH;KIF15;CDC20;CCNB2;EXO1;PBK;NUSAP1;OIP5;TK1;BUB1;CEP55;DLGAP5;PLK1;KIF23;NDC80;CCNA2;ASPM;KIF4A;KIF20A;NES;ASF1B;SPC25
LJP005 A549 24H-dovitinib-10	41/215	3.8433215100196136E-17	1.5602348002075624E-14	0	0	5.9638129738322325	225.41787458155477	ARHGAP11A;HJURP;CDCA8;BUB1B;LPL;MCM10;MKI67;TYMS;FOXM1;CENPA;NCAPH;SKA1;KIF15;LMNB1;CDC20;CCNB2;EXO1;PBK;NUSAP1;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;COL3A1;RAD51;KIFC1;KIF4A;KIF2C;KIF20A;NES;ASF1B;APOBEC3B;SPC25
LJP006 HME1 24H-palbociclib-10	41/215	3.8433215100196136E-17	1.5602348002075624E-14	0	0	5.9638129738322325	225.41787458155477	PCNA;HJURP;CDCA8;BUB1B;MCM10;MKI67;TYMS;FOXM1;CENPA;NCAPH;SKA1;KIF15;LMNB1;CDC20;CCNB2;CDC45;EXO1;PBK;NUSAP1;RCC1;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;PLK1;KIF23;CDC25C;NDC80;CCNA2;ASPM;MELK;RAD51;KIFC1;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP005 A375 24H-dovitinib-1.11	37/175	3.9459773069974254E-17	1.5704989681849752E-14	0	0	6.762834521892493	255.44071292242594	HJURP;BUB1B;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;CA12;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;MELK;RAD51;KIFC1;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
LJP005 SKBR3 24H-pelitinib-0.04	31/121	4.423271474762429E-17	1.726607007590919E-14	0	0	8.641396908719743	325.40966241646015	HJURP;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;LMNB1;CDC20;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;BUB1;CEP55;DLGAP5;RRM2;PLK1;FN1;KIF23;NDC80;CCNA2;ASPM;MELK;RAD51;KIF4A;KIF20A;SPC25
LJP005 HEPG2 24H-dovitinib-10	38/186	4.992329865750463E-17	1.9119681436793002E-14	0	0	6.481492751029175	243.28959626606007	HJURP;TNC;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;KIF15;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;CA12;RRM2;PLK1;KIF23;NDC80;CCNA2;ASPM;COL3A1;MELK;KIFC1;KIF4A;KIF20A;ASF1B;APOBEC3B;SPC25
