Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP008 HEPG2 24H-I-BET151-10	8/129	8.623951065493258E-6	0.11433113994776055	0	0	8.692451790633609	101.36239537495084	COL4A2;COL4A1;CLEC5A;SPP1;NID1;LYZ;HOXA5;AQP1
LJP006 BT20 24H-XMD11-85H-10	6/74	2.6282727471722764E-5	0.11433113994776055	0	0	11.478715170278639	121.06140116857594	SFRP4;COL4A1;ANXA5;F2R;HOXA5;AQP1
LJP006 BT20 24H-BI-2536-0.12	6/77	3.298926334997037E-5	0.11433113994776055	0	0	10.992031134173462	113.43037908368628	ENPEP;MDK;SPP1;IGF2BP3;IQGAP2;CD44
LJP006 MCF10A 24H-dasatinib-1.11	5/49	4.159523713983865E-5	0.11433113994776055	0	0	14.704396910279263	148.3309698113906	COL4A2;COL4A1;SPP1;IGF2BP3;CEP55
LJP008 HCC515 24H-rucaparib-3.33	4/25	4.1672605524530206E-5	0.11433113994776055	0	0	24.515769944341372	247.25788177972598	SFRP4;NOX4;LYZ;CD44
LJP008 A375 24H-mocetinostat-10	6/87	6.584977464332832E-5	0.11433113994776055	0	0	9.630116959064328	92.72006183388612	HOXA10;COL4A2;MDK;COL4A1;NID1;NES
LJP005 MDAMB231 3H-radicicol-10	5/54	6.682766669831636E-5	0.11433113994776055	0	0	13.20061357876484	126.90269133572842	HOXA10;PLA2G2A;TNC;SPP1;HOXA5
LJP006 HCC515 24H-saracatinib-10	7/129	7.502321435674555E-5	0.11433113994776055	0	0	7.4932146346759305	71.16840180450389	COL4A2;COL4A1;TNC;LPL;NES;CEP55;EZH2
LJP008 HEPG2 24H-GSK-1070916-10	7/131	8.267505201094075E-5	0.11433113994776055	0	0	7.37160863063448	69.29749005921752	ANGPT2;PLA2G2A;SPP1;LYZ;CEP55;EGFR;AQP1
LJP006 MDAMB231 3H-geldanamycin-0.04	4/30	8.754694046338434E-5	0.11433113994776055	0	0	19.796203796203795	184.96257262544052	HOXA10;SFRP4;SPP1;IGF2BP3
LJP005 HEPG2 24H-TG-101348-10	8/179	9.052346789213029E-5	0.11433113994776055	0	0	6.135204678362573	57.11815079094011	MDK;SPP1;CHI3L2;NID1;NES;CEP55;E2F8;EZH2
CPC020 A549 6H-BRD-K06666320-10.0	7/137	1.0953405604420823E-4	0.12037897315383965	0	0	7.029240957717779	64.10158163666954	ABCC3;ANXA5;SOX11;FPR3;EGFR;AQP1;HOXA11
LJP008 PC3 24H-I-BET151-3.33	8/187	1.2263351606721287E-4	0.12037897315383965	0	0	5.858621973929236	52.76456680916606	MRC2;MMP14;COL4A2;MDK;COL4A1;IGF2BP3;NES;AQP1
LJP005 A375 24H-BX-912-3.33	4/33	1.2833478651858244E-4	0.12037897315383965	0	0	17.74563367666816	159.0162843049027	SOX11;NES;CD44;AQP1
LJP005 PC3 24H-SAR-245408-10	5/62	1.2997081964353233E-4	0.12037897315383965	0	0	11.343309253525971	101.50220663418759	HOXA10;PRRX1;SPP1;IGF2BP3;CD44
LJP006 MDAMB231 3H-AZD-8055-0.12	4/34	1.4455588284748155E-4	0.12551968002500383	0	0	17.153246753246755	151.66633862119406	HOXA10;SFRP4;MDK;IGF2BP3
LJP006 HME1 24H-XMD-1150-10	7/151	2.003507364830947E-4	0.13561138361196662	0	0	6.341335540838852	53.99926894398271	ENPEP;MMP14;COL4A2;COL4A1;PLA2G2A;TNC;CEP55
LJP007 HA1E 24H-BIX-02189-10	5/68	2.0155541175222326E-4	0.13561138361196662	0	0	10.259881730469965	87.30591178943051	SRPX2;PLA2G2A;TNC;SOX11;LYZ
LJP005 HT29 24H-PD-184352-0.04	4/37	2.0210969953911244E-4	0.13561138361196662	0	0	15.591499409681228	132.63220710758384	COL4A2;LPL;IGF2BP3;CD44
LJP006 HS578T 24H-GW-843682X-10	5/69	2.1592942566451046E-4	0.13561138361196662	0	0	10.09906045751634	85.241714997	SFRP4;SPP1;LYZ;SLC16A4;HOXA5
LJP005 MDAMB231 3H-geldanamycin-10	4/38	2.2450599748616081E-4	0.13561138361196662	0	0	15.132161955691368	127.134495006419	HOXA10;PLA2G2A;TNC;IGF2BP3
LJP006 LNCAP 3H-radicicol-10	4/38	2.2450599748616081E-4	0.13561138361196662	0	0	15.132161955691368	127.134495006419	HOXA10;SPP1;CD44;AQP1
LJP006 MDAMB231 3H-QL-XII-47-0.37	4/38	2.2450599748616081E-4	0.13561138361196662	0	0	15.132161955691368	127.134495006419	HOXA10;SPP1;LPL;HOXA5
LJP005 SKBR3 3H-PF-477736-0.37	4/39	2.4863440575195105E-4	0.13589951088269725	0	0	14.699072356215213	121.99534775464724	ANXA5;EGFR;HOXA5;AQP1
LJP005 MDAMB231 3H-AS-601245-1.11	4/40	2.745718679889281E-4	0.13589951088269725	0	0	14.29004329004329	117.18260651080388	HOXA10;SFRP4;SPP1;IGF2BP3
LJP006 MCF7 3H-XMD-1150-0.12	4/40	2.745718679889281E-4	0.13589951088269725	0	0	14.29004329004329	117.18260651080388	HOXA10;MDK;SPP1;EGFR
LJP007 HCC515 24H-XMD-885-1.11	4/40	2.745718679889281E-4	0.13589951088269725	0	0	14.29004329004329	117.18260651080388	SFRP4;TNC;IGF2BP3;SOX11
LJP006 MCF10A 24H-dasatinib-3.33	5/73	2.8137138810725883E-4	0.13589951088269725	0	0	9.50307574009996	77.69558015015285	COL4A2;COL4A1;IGF2BP3;NID1;CEP55
LJP005 SKBR3 3H-TWS-119-10	4/41	3.0239604127356234E-4	0.13589951088269725	0	0	13.903123903123904	112.66776016812418	SPP1;LPL;LYZ;CD44
LJP006 MDAMB231 3H-dasatinib-3.33	4/41	3.0239604127356234E-4	0.13589951088269725	0	0	13.903123903123904	112.66776016812418	HOXA10;PLA2G2A;SPP1;HOXA5
LJP006 BT20 3H-BI-2536-3.33	3/17	3.0323794985702256E-4	0.13589951088269725	0	0	27.411981566820277	222.06426386994713	ABCC3;MDK;CD44
LJP006 SKBR3 24H-HG-6-64-01-3.33	5/75	3.1924720464201697E-4	0.1369513923251182	0	0	9.23062558356676	74.30233434330312	SPP1;IGF2BP3;CEP55;HOXA5;EGFR
LJP006 LNCAP 24H-AZD-7762-0.37	4/42	3.321852433163086E-4	0.1369513923251182	0	0	13.536568694463432	108.42544864774445	MDK;SPP1;LPL;CEP55
LJP009 PC3 24H-saracatinib-1.11	4/43	3.640184005452328E-4	0.1369513923251182	0	0	13.188811188811188	104.43304462432606	SFRP4;PLA2G2A;IGF2BP3;AQP1
LJP006 MDAMB231 3H-selumetinib-0.37	4/43	3.640184005452328E-4	0.1369513923251182	0	0	13.188811188811188	104.43304462432606	HOXA10;TNC;IGF2BP3;CD44
LJP009 HEPG2 24H-sunitinib-1.11	5/78	3.831489243947557E-4	0.1369513923251182	0	0	8.8499418032053	69.62326040998119	PLA2G2A;IGF2BP3;SLC16A4;EGFR;AQP1
LJP008 A549 24H-I-BET151-10	7/168	3.837007402141107E-4	0.1369513923251182	0	0	5.666858623668299	44.573513111671204	ABCC3;COL4A2;MDK;COL4A1;SPP1;IGF2BP3;HOXA5
LJP005 HCC515 24H-NU-7441-10	7/168	3.837007402141107E-4	0.1369513923251182	0	0	5.666858623668299	44.573513111671204	COL4A2;COL4A1;TNC;IGF2BP3;CEP55;E2F8;EZH2
LJP006 HME1 24H-NVP-TAE684-3.33	6/121	4.021882648319503E-4	0.1369513923251182	0	0	6.771281464530892	52.941875296112876	LIMA1;SPP1;SOX11;CEP55;PDIA4;EZH2
LJP005 A375 24H-pelitinib-10	5/79	4.064579614167927E-4	0.1369513923251182	0	0	8.7299063769652	68.16337132741467	COL4A2;COL4A1;TNC;SOX11;NES
LJP006 A549 24H-mitoxantrone-0.37	7/171	4.2681795060914806E-4	0.1369513923251182	0	0	5.562348570505573	43.15911349122173	SFRP4;LPL;IGF2BP3;LYZ;CEP55;CD44;EZH2
CPC014 PC3 6H-s1169-10.0	3/19	4.2713130158700556E-4	0.1369513923251182	0	0	23.983064516129033	186.07066567796508	HOXA10;SOX11;AQP1
LJP006 HS578T 24H-JW-7-24-1-0.12	3/19	4.2713130158700556E-4	0.1369513923251182	0	0	23.983064516129033	186.07066567796508	TNC;CHI3L2;CD44
LJP006 SKBR3 24H-nintedanib-3.33	4/45	4.3413502743149554E-4	0.1369513923251182	0	0	12.544187519797276	97.11904348932094	HOXA10;SFRP4;IGF2BP3;AQP1
LJP005 A375 24H-NVP-AUY922-3.33	7/173	4.5765297671668606E-4	0.1369513923251182	0	0	5.494773797175457	42.25151008529271	COL4A2;COL4A1;ANXA5;TNC;IGF2BP3;NES;CEP55
LJP009 HCC515 24H-PF 573228-10	5/82	4.828358928191367E-4	0.1369513923251182	0	0	8.388506917918683	64.05324405530878	PLA2G2A;LYZ;NES;EGFR;EZH2
LJP006 HME1 24H-XMD11-85H-10	5/82	4.828358928191367E-4	0.1369513923251182	0	0	8.388506917918683	64.05324405530878	COL4A2;COL4A1;SPP1;LPL;LYZ
LJP006 MCF10A 3H-radicicol-10	5/82	4.828358928191367E-4	0.1369513923251182	0	0	8.388506917918683	64.05324405530878	HOXA10;MDK;PLA2G2A;LPL;HOXA5
LJP007 HCC515 24H-vorinostat-10	8/229	4.8302153774784363E-4	0.1369513923251182	0	0	4.7350829562594265	36.15448590866199	SFRP4;COL4A2;MDK;COL4A1;NID1;NES;HOXA5;CEP55
LJP008 HEPG2 24H-I-BET151-3.33	5/83	5.105490559782036E-4	0.14186116069410368	0	0	8.28054298642534	62.76671317067029	PLA2G2A;SPP1;LPL;NID1;HOXA5
LJP006 HS578T 24H-linifanib-0.37	3/21	5.795030525386989E-4	0.1482260273887538	0	0	21.316129032258065	158.8763492244344	LIMA1;SPP1;TIMP4
LJP006 MCF10A 24H-geldanamycin-3.33	6/130	5.888243446334032E-4	0.1482260273887538	0	0	6.27695246179966	46.684097304259055	COL4A2;TNC;SPP1;CEP55;CD44;EZH2
LJP009 A375 24H-XMD-892-10	5/86	6.008942753242793E-4	0.1482260273887538	0	0	7.972645848462842	59.13384418172619	COL4A2;COL4A1;SOX11;IGF2BP3;HOXA5
LJP007 A375 24H-TPCA-1-10	5/86	6.008942753242793E-4	0.1482260273887538	0	0	7.972645848462842	59.13384418172619	COL4A2;COL4A1;TNC;LPL;NID1
LJP007 HCC515 24H-sutent-1.11	5/86	6.008942753242793E-4	0.1482260273887538	0	0	7.972645848462842	59.13384418172619	PDPN;TNC;SOX11;IGF2BP3;EZH2
LJP008 HEPG2 24H-NPK76-II-72-1-10	4/49	6.024244817587122E-4	0.1482260273887538	0	0	11.426839826839826	84.72485514896441	LPL;NID1;LYZ;AQP1
LJP006 A375 24H-geldanamycin-3.33	6/131	6.131196194014791E-4	0.1482260273887538	0	0	6.226421052631579	46.056528339512816	COL4A2;COL4A1;TNC;IGF2BP3;NES;CEP55
LJP006 LNCAP 24H-XMD-1150-10	7/182	6.191532174901512E-4	0.1482260273887538	0	0	5.209801324503311	38.48562444747204	HOXA10;MDK;PLA2G2A;SPP1;SOX11;EGFR;EZH2
LJP005 SKBR3 24H-WH-4-025-10	5/87	6.335190974088233E-4	0.1482260273887538	0	0	7.875019926669855	57.993382495087914	PLA2G2A;SPP1;LYZ;AQP1;EZH2
LJP006 MDAMB231 3H-dasatinib-0.37	4/50	6.508160707344692E-4	0.1482260273887538	0	0	11.17786561264822	82.01516880317187	HOXA10;PDPN;IGF2BP3;CD44
LJP006 MDAMB231 3H-BI-2536-3.33	4/50	6.508160707344692E-4	0.1482260273887538	0	0	11.17786561264822	82.01516880317187	HOXA10;MMP14;CD44;EGFR
LJP007 HCC515 24H-NVP-TAE226-3.33	5/88	6.67453459874368E-4	0.14956340190378378	0	0	7.779746436727302	56.88582408372917	TNC;IGF2BP3;NES;EGFR;EZH2
LJP006 HT29 24H-GW-843682X-0.37	4/51	7.018991147809034E-4	0.15478546669287446	0	0	10.939486045869025	79.43949418548019	SFRP4;MDK;IGF2BP3;HOXA5
CPC010 HA1E 6H-dactinomycin-10.0	5/90	7.393840056985692E-4	0.16050409361203472	0	0	7.5959246443675505	54.76428582442322	ANXA5;HOXA2;SOX11;EGFR;AQP1
LJP006 MDAMB231 3H-AZD-8055-0.04	4/52	7.557558807527487E-4	0.1615340992507375	0	0	10.71103896103896	76.98872168739749	HOXA10;SHOX2;SPP1;HOXA5
LJP006 SKBR3 24H-geldanamycin-0.37	5/91	7.774474721217129E-4	0.16365269288162057	0	0	7.507219942240462	53.74789970782808	ABCC3;SFRP4;ANXA5;TNC;NID1
LJP006 A375 24H-KIN001-043-10	7/190	7.980075051396428E-4	0.16547340699858296	0	0	4.980023884485941	35.52446530441075	COL4A2;COL4A1;F2R;IGF2BP3;NID1;CEP55;E2F8
LJP005 MDAMB231 24H-CYT387-10	4/53	8.124687895098035E-4	0.16599454253911322	0	0	10.491916247018288	74.65452769960247	SFRP4;PLA2G2A;SPP1;EZH2
LJP006 MCF10A 3H-radicicol-3.33	5/93	8.579409642049479E-4	0.17027676879570489	0	0	7.335858585858586	51.79831603792183	HOXA10;TNC;SPP1;IGF2BP3;HOXA5
LJP007 HA1E 24H-tivantinib-10	5/93	8.579409642049479E-4	0.17027676879570489	0	0	7.335858585858586	51.79831603792183	HOXA10;SFRP4;SHOX2;PLA2G2A;AQP1
LJP005 HEPG2 24H-GDC-0980-10	6/141	9.012754455460023E-4	0.17635802485874097	0	0	5.762280701754386	40.403381499874676	PLA2G2A;TNC;SPP1;LPL;CEP55;EZH2
LJP008 A375 24H-tanespimycin-10	5/95	9.44486338107814E-4	0.1805314275927873	0	0	7.172113289760349	49.952831924802666	TNC;LPL;IGF2BP3;NID1;NES
LJP006 MDAMB231 24H-nintedanib-10	3/25	9.792091806705909E-4	0.1805314275927873	0	0	17.436950146627566	120.8165346005321	SPP1;HOXA5;EZH2
LJP006 A375 24H-AZD-7762-10	5/96	9.901155422334625E-4	0.1805314275927873	0	0	7.092939739998563	49.066750595134245	COL4A2;IGF2BP3;NES;CEP55;EZH2
LJP006 HCC515 24H-XMD-1150-10	5/96	9.901155422334625E-4	0.1805314275927873	0	0	7.092939739998563	49.066750595134245	COL4A2;COL4A1;LYZ;HOXA5;CD44
LJP005 MCF7 3H-brivanib-0.04	4/56	0.0010005700658349257	0.1805314275927873	0	0	9.885114885114884	68.27832097032464	SFRP4;PLA2G2A;TNC;SPP1
LJP006 PC3 24H-XMD-1150-10	4/56	0.0010005700658349257	0.1805314275927873	0	0	9.885114885114884	68.27832097032464	MDK;SOX11;NES;CD44
LJP009 HEPG2 24H-dasatinib-10	4/57	0.0010695334678532742	0.18876441746251071	0	0	9.69811320754717	66.34026088278621	ST14;PLA2G2A;TNC;SPP1
LJP005 A375 24H-neratinib-0.37	3/26	0.0011005483203385424	0.18876441746251071	0	0	16.67798036465638	113.6095141472418	COL4A2;TNC;NID1
LJP005 A549 24H-linsitinib-0.37	3/26	0.0011005483203385424	0.18876441746251071	0	0	16.67798036465638	113.6095141472418	TNC;NES;CD44
LJP005 MCF7 24H-SB590885-10	3/26	0.0011005483203385424	0.18876441746251071	0	0	16.67798036465638	113.6095141472418	HOXA10;SPP1;EGFR
LJP005 HCC515 24H-PIK-93-10	5/100	0.0011891665917527655	0.1965746224168162	0	0	6.792913656690747	45.746894412733724	PLA2G2A;TNC;LYZ;CEP55;EZH2
LJP009 HEPG2 24H-BI-2536-10	6/149	0.0011990320293181929	0.1965746224168162	0	0	5.437707029812293	36.575326283863205	PLA2G2A;TNC;SPP1;LYZ;AQP1;EZH2
CPC006 AGS 6H-calpeptin-10.0	4/59	0.0012173504331095023	0.1965746224168162	0	0	9.344510035419127	62.711740934675596	HOXA10;LAMB4;NOX4;EGFR
LJP007 HCC515 24H-everolimus-0.37	4/59	0.0012173504331095023	0.1965746224168162	0	0	9.344510035419127	62.711740934675596	PLA2G2A;LYZ;NES;EZH2
LJP006 MCF7 3H-celastrol-10	3/27	0.0012309790650156921	0.1965746224168162	0	0	15.98225806451613	107.08025701485373	HOXA10;MDK;SPP1
LJP007 HA1E 24H-BIX-02189-3.33	3/27	0.0012309790650156921	0.1965746224168162	0	0	15.98225806451613	107.08025701485373	PLA2G2A;MEOX2;LYZ
LJP008 PC3 24H-I-BET151-10	6/151	0.0012840391125908243	0.19749601989634463	0	0	5.362159709618875	35.69988991893209	MMP14;COL4A2;MDK;HOXA5;CEP55;AQP1
LJP006 HME1 24H-BI-2536-1.11	5/102	0.0012991134867294065	0.19749601989634463	0	0	6.652179772252544	44.21087357571324	COL4A2;COL4A1;MDK;TNC;SOX11
LJP006 HEPG2 24H-PI-103-10	5/103	0.0013568187834736235	0.19749601989634463	0	0	6.583966920101374	43.47138195093162	PLA2G2A;LPL;CEP55;AQP1;EZH2
LJP006 HS578T 24H-WZ-4-145-0.37	5/103	0.0013568187834736235	0.19749601989634463	0	0	6.583966920101374	43.47138195093162	TNC;IGF2BP3;CEP55;CD44;EZH2
LJP005 MCF7 24H-TG-101348-0.37	3/28	0.0013707511680246687	0.19749601989634463	0	0	15.342193548387097	101.14182138722023	HOXA10;SFRP4;SPP1
LJP006 A375 24H-PHA-793887-10	6/153	0.001373580896836202	0.19749601989634463	0	0	5.288668098818475	34.85409001058701	SOX11;IGF2BP3;NES;CEP55;EZH2;E2F8
CPC006 RMUGS 6H-akt inhibitor iv-10.0	4/61	0.001378904047358053	0.19749601989634463	0	0	9.01572112098428	59.381743008211515	ABCC3;EN2;SOX11;EDA2R
LJP005 MCF10A 3H-geldanamycin-0.04	4/61	0.001378904047358053	0.19749601989634463	0	0	9.01572112098428	59.381743008211515	PLA2G2A;TNC;SPP1;EGFR
LJP006 A549 24H-XMD11-85H-10	4/61	0.001378904047358053	0.19749601989634463	0	0	9.01572112098428	59.381743008211515	COL4A2;COL4A1;LYZ;SLC16A4
LJP006 MCF10A 3H-mitoxantrone-0.37	4/61	0.001378904047358053	0.19749601989634463	0	0	9.01572112098428	59.381743008211515	TNC;IGF2BP3;NID1;NES
LJP009 A375 24H-vorinostat-10	6/155	0.0014678147547316622	0.20598333724734327	0	0	5.217149417167079	34.036581301228246	HOXA10;COL4A2;COL4A1;LPL;NID1;NES
LJP009 A375 24H-tanespimycin-10	6/155	0.0014678147547316622	0.20598333724734327	0	0	5.217149417167079	34.036581301228246	COL4A2;COL4A1;TNC;LPL;NID1;NES
LJP005 A375 24H-pelitinib-0.12	4/63	0.001554852044714961	0.21342099722421579	0	0	8.709222980409422	56.31710075684168	SOX11;NID1;CD44;AQP1
LJP005 PC3 24H-foretinib-10	4/63	0.001554852044714961	0.21342099722421579	0	0	8.709222980409422	56.31710075684168	LYZ;NES;CEP55;CD44
LJP006 HME1 24H-QL-XII-47-0.37	6/157	0.0015669000012142813	0.21342099722421579	0	0	5.147525270128964	33.24609565609733	COL4A2;COL4A1;SPP1;CEP55;AQP1;PDIA4
CPC015 MCF7 6H-dactinomycin-10.0	4/64	0.0016484286363941136	0.22009670136861462	0	0	8.563636363636364	54.87520622547545	ABCC3;ANXA5;SOX11;AQP1
LJP006 MCF10A 3H-KIN001-043-10	4/64	0.0016484286363941136	0.22009670136861462	0	0	8.563636363636364	54.87520622547545	SFRP4;F2R;PDPN;SPP1
LJP005 BT20 3H-radicicol-0.37	3/30	0.001679280957681793	0.22009670136861462	0	0	14.204301075268818	90.75681326113056	HOXA10;SFRP4;TNC
LJP006 HS578T 3H-XMD-1150-1.11	3/30	0.001679280957681793	0.22009670136861462	0	0	14.204301075268818	90.75681326113056	HOXA10;COL4A2;TNC
LJP005 A549 24H-NU-7441-10	4/65	0.0017458489807711433	0.224584073054199	0	0	8.422823078560784	53.48925857277807	TNC;NES;SLC16A4;CEP55
LJP006 MCF7 24H-XMD11-85H-10	4/65	0.0017458489807711433	0.224584073054199	0	0	8.422823078560784	53.48925857277807	SFRP4;PLA2G2A;SPP1;IGF2BP3
LJP005 A375 24H-withaferin-a-0.04	6/162	0.0018369000611863286	0.22929664879039183	0	0	4.9812753036437245	31.380419869564296	SRPX2;COL4A2;COL4A1;TNC;IGF2BP3;CEP55
LJP005 BT20 24H-WH-4-025-0.04	4/66	0.001847194243570168	0.22929664879039183	0	0	8.2865521575199	52.15628365857209	COL4A2;COL4A1;F2R;NID1
LJP006 HME1 24H-afatinib-1.11	4/66	0.001847194243570168	0.22929664879039183	0	0	8.2865521575199	52.15628365857209	TNC;SPP1;LYZ;CD44
LJP006 MDAMB231 3H-PD-173074-10	3/31	0.0018485010195439346	0.22929664879039183	0	0	13.6963133640553	86.19610772232683	HOXA10;TNC;SPP1
LJP008 A375 24H-pracinostat-10	5/111	0.001888875579384407	0.23223140198573067	0	0	6.084597360956962	38.16121684253967	HOXA10;COL4A2;COL4A1;NID1;NES
CPC006 SW948 6H-tpl2-40.0	3/32	0.002027987435204574	0.24073460025721521	0	0	13.223359288097887	81.9942345376336	SOX11;EDA2R;AQP1
LJP005 HS578T 3H-geldanamycin-1.11	3/32	0.002027987435204574	0.24073460025721521	0	0	13.223359288097887	81.9942345376336	TNC;NID1;HOXA5
CPC013 A549 6H-st4049616-10.0	5/113	0.0020428122880427895	0.24073460025721521	0	0	5.971314451706609	36.982905213855666	NOX4;EDA2R;CD44;AQP1;EZH2
LJP007 A375 24H-vorinostat-10	6/167	0.002140799189825006	0.24073460025721521	0	0	4.825351422033345	29.659389563003227	HOXA10;COL4A2;COL4A1;LPL;NID1;NES
CPC008 HT29 6H-ncgc00182380-01-10.0	2/9	0.0021527378072179896	0.24073460025721521	0	0	36.327838827838825	223.0897976455384	ANGPT2;SOX11
LJP008 A375 24H-(+)-JQ1-0.04	4/69	0.0021755863054663213	0.24073460025721521	0	0	7.902897102897103	48.4483715367673	SOX11;IGF2BP3;NID1;IQGAP2
CPC004 VCAP 24H-erythrosine sodium-10.0	4/69	0.0021755863054663213	0.24073460025721521	0	0	7.902897102897103	48.4483715367673	ABCC3;SPP1;SOX11;AQP1
LJP005 HS578T 3H-buparlisib-10	4/69	0.0021755863054663213	0.24073460025721521	0	0	7.902897102897103	48.4483715367673	HOXA10;SPP1;LYZ;HOXA5
LJP006 A549 24H-BI-2536-3.33	6/168	0.0022058771242838204	0.24073460025721521	0	0	4.795321637426901	29.331208476721418	ABCC3;ENPEP;COL4A2;MDK;COL4A1;SLC16A4
LJP007 A375 24H-NVP-TAE226-10	6/168	0.0022058771242838204	0.24073460025721521	0	0	4.795321637426901	29.331208476721418	COL4A2;TNC;LPL;CEP55;AQP1;EZH2
LJP007 A375 24H-dasatinib-10	6/168	0.0022058771242838204	0.24073460025721521	0	0	4.795321637426901	29.331208476721418	COL4A2;COL4A1;LPL;HOXA5;CEP55;EZH2
CPC006 HT29 24H-uk 356618-10.0	3/33	0.0022179535617162273	0.24073460025721521	0	0	12.781935483870967	78.11258485425438	LAMB4;SOX11;EDA2R
CPC010 HT29 6H-BRD-A18725729-10.0	3/33	0.0022179535617162273	0.24073460025721521	0	0	12.781935483870967	78.11258485425438	LAMB4;SOX11;EGFR
LJP009 HCC515 24H-QL-XI-92-3.33	3/33	0.0022179535617162273	0.24073460025721521	0	0	12.781935483870967	78.11258485425438	SOX11;LYZ;NES
LJP008 PC3 24H-I-BET-0.04	3/33	0.0022179535617162273	0.24073460025721521	0	0	12.781935483870967	78.11258485425438	CHI3L2;LYZ;AQP1
CPC013 A549 6H-BRD-K42644990-10.0	5/116	0.0022906293705487915	0.2450977611797211	0	0	5.809044338456103	35.312766144571995	LAMB4;NOX4;EDA2R;CD44;AQP1
CPC006 CL34 6H-stat3 inhibitor vi, s31-201-160.0	4/70	0.0022934361875306805	0.2450977611797211	0	0	7.782762691853601	47.301328468640435	GPR65;SOX11;EDA2R;HOXA11
LJP005 HCC515 24H-dasatinib-1.11	4/71	0.002415611554415894	0.24707125679066866	0	0	7.666214382632293	46.19509603318342	MDK;IGF2BP3;CEP55;EZH2
LJP006 MDAMB231 3H-PD-0325901-1.11	4/71	0.002415611554415894	0.24707125679066866	0	0	7.666214382632293	46.19509603318342	SOX11;IGF2BP3;NES;CD44
CPC008 HEPG2 6H-vu0418934-2-10.0	3/34	0.0024186058391658344	0.24707125679066866	0	0	12.368990634755463	74.51777574817723	SOX11;EGFR;AQP1
LJP005 PC3 24H-AZD-6482-0.37	3/34	0.0024186058391658344	0.24707125679066866	0	0	12.368990634755463	74.51777574817723	MDK;TNC;SPP1
LJP006 MDAMB231 3H-radicicol-0.37	3/34	0.0024186058391658344	0.24707125679066866	0	0	12.368990634755463	74.51777574817723	HOXA10;TNC;SOX11
LJP007 HEPG2 24H-doramapimod-0.37	3/34	0.0024186058391658344	0.24707125679066866	0	0	12.368990634755463	74.51777574817723	SOX11;CD44;AQP1
LJP006 HS578T 24H-BI-2536-10	5/118	0.0024675569647104635	0.2502318898592881	0	0	5.705650991960206	34.25973372736088	HOXA10;COL4A2;TNC;NES;EGFR
LJP006 MCF10A 3H-PD-0325901-3.33	4/72	0.002542191287700779	0.25583604599031584	0	0	7.553093964858671	45.127688480388656	SFRP4;SRPX2;IGF2BP3;EGFR
LJP006 MCF7 24H-AZD-7762-10	5/119	0.0025596494920214425	0.25583604599031584	0	0	5.65531475748194	33.75026781197114	HOXA10;TNC;SPP1;NES;EZH2
LJP005 PC3 24H-LDN-193189-10	6/174	0.00262822153083074	0.25791329924155826	0	0	4.62265037593985	27.46523630178222	HOXA10;F2R;LYZ;NES;CEP55;PDIA4
LJP006 MCF7 3H-XMD-1150-3.33	3/35	0.002630143906609748	0.25791329924155826	0	0	11.981854838709678	71.1808053403584	HOXA10;MDK;EGFR
LJP005 SKBR3 24H-dasatinib-10	4/73	0.0026732538034106666	0.25791329924155826	0	0	7.443252399774139	44.09724289175492	ABCC3;SPP1;LYZ;EZH2
LJP006 MDAMB231 24H-AZD-7762-1.11	4/73	0.0026732538034106666	0.25791329924155826	0	0	7.443252399774139	44.09724289175492	PLA2G2A;SPP1;CEP55;EZH2
LJP007 A375 24H-tivantinib-1.11	4/73	0.0026732538034106666	0.25791329924155826	0	0	7.443252399774139	44.09724289175492	SRPX2;NID1;NES;HOXA5
LJP006 A375 24H-GW-843682X-1.11	4/74	0.002808877027406159	0.2685534031191702	0	0	7.336549165120593	43.102009989416736	TNC;SOX11;NID1;HOXA5
LJP008 HCC515 24H-decitabine-10	3/36	0.0028527607191383944	0.2685534031191702	0	0	11.618181818181819	68.07636551337548	ABCC3;IQGAP2;CD44
LJP006 SKBR3 24H-PI-103-0.04	3/36	0.0028527607191383944	0.2685534031191702	0	0	11.618181818181819	68.07636551337548	HOXA10;CEP55;HOXA11
LJP006 MDAMB231 24H-XMD-1150-3.33	6/177	0.002860858249595997	0.2685534031191702	0	0	4.5408587257617725	26.59414584016867	COL4A2;TNC;SOX11;IGF2BP3;CEP55;EZH2
CPC006 CL34 6H-ag14361-25.0	5/123	0.0029530989333849773	0.27038367057049634	0	0	5.462501384734685	31.8185252670248	HOXA10;ANXA5;SOX11;EDA2R;AQP1
LJP006 HCC515 24H-JW-7-24-1-10	5/123	0.0029530989333849773	0.27038367057049634	0	0	5.462501384734685	31.8185252670248	COL4A1;PLA2G2A;TNC;CEP55;EZH2
LJP008 HCC515 24H-IOX2-10	3/37	0.0030866426588625046	0.27038367057049634	0	0	11.275901328273244	65.1822791553496	PLA2G2A;LYZ;NES
LJP008 HCC515 24H-GSK-461364-1.11	3/37	0.0030866426588625046	0.27038367057049634	0	0	11.275901328273244	65.1822791553496	LYZ;NES;CD44
LJP005 MCF7 3H-LDN-193189-1.11	3/37	0.0030866426588625046	0.27038367057049634	0	0	11.275901328273244	65.1822791553496	SPP1;LPL;LYZ
