Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HME1 24H-palbociclib-1.11	38/124	1.90820819523012E-45	3.4290501268285254E-41	0	0	49.74338870431894	5122.084917704086	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;LMNB1;CDC20;RAD51AP1;PTTG1;SPP1;TK1;GTSE1;BUB1;HOXC6;PLK1;CDC25C;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18A;MELK;KIF18B;ESPL1;KIFC1;KIF4A;DEPDC1;KIF20A;EZH2;LTF;SPC25
LJP006 A375 24H-palbociclib-10	40/154	1.44952034188668E-44	1.3023940271851819E-40	0	0	39.90061859851942	4027.6686472984316	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;BRIP1;CDC45;PTTG1;TK1;GTSE1;BUB1;E2F8;PLK1;CDC25C;MMP9;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIFC1;KIF4A;DEPDC1;CENPM;KIF20A;EZH2;APOBEC3B;SPC25
LJP006 HME1 24H-palbociclib-3.33	41/183	8.98299099048964E-43	5.3808116033032946E-39	0	0	32.97760399606944	3192.753973659939	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;SPP1;TK1;GTSE1;BUB1;E2F8;PLK1;CDC25C;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18A;MELK;KIF18B;ESPL1;KIFC1;KIF4A;DEPDC1;CENPM;KIF20A;EZH2;APOBEC3B;SPC25
LJP005 A549 24H-dovitinib-10	43/215	1.3974407012642524E-42	6.278002350429654E-39	0	0	28.845588235294116	2779.9627421447503	TOP2A;ERCC6L;TROAP;KIF14;HJURP;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;SKA1;LMNB1;CDC20;RAD51AP1;BRIP1;PTTG1;TK1;GTSE1;BUB1;E2F8;POLQ;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18A;KIF18B;ESPL1;KIFC1;KIF4A;DEPDC1;CENPM;KIF2C;KIF20A;NES;APOBEC3B;SPC25;LTF
LJP006 BT20 24H-palbociclib-3.33	39/163	6.658677031713745E-42	2.39312852519792E-38	0	0	35.54213014460512	3369.8436552958533	TOP2A;TROAP;HJURP;TNC;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;TK1;GTSE1;BUB1;E2F8;PLK1;CDC25C;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIFC1;KIF4A;DEPDC1;CENPM;KIF20A;EZH2;APOBEC3B;SPC25
LJP006 HCC515 24H-palbociclib-1.11	37/139	1.1487496084945042E-41	3.44050507744104E-38	0	0	40.57180258467023	3824.5948845841754	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;TK1;GTSE1;BUB1;E2F8;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIF4A;DEPDC1;KIF2C;KIF20A;EZH2;APOBEC3B;SPC25
LJP006 HCC515 24H-palbociclib-0.37	36/129	2.219736608822624E-41	5.468114625193191E-38	0	0	43.07053034445052	4031.77205836963	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;PTTG1;TK1;GTSE1;BUB1;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18A;KIF18B;ESPL1;KIFC1;KIF4A;DEPDC1;KIF2C;KIF20A;EZH2;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-10	39/168	2.434330384059295E-41	5.468114625193191E-38	0	0	34.155840684309005	3194.1284279202687	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;TK1;GTSE1;BUB1;E2F8;PLK1;MMP9;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18A;MELK;KIF18B;ESPL1;KIFC1;KIF4A;CENPM;KIF20A;EZH2;APOBEC3B;SPC25
LJP006 HME1 24H-palbociclib-10	42/215	3.990395662125281E-41	7.967490005376811E-38	0	0	27.846668694858533	2590.355556095008	TOP2A;TROAP;KIF14;HJURP;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;SKA1;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;TK1;GTSE1;BUB1;E2F8;PLK1;CDC25C;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18A;MELK;KIF18B;ESPL1;KIFC1;KIF4A;DEPDC1;CENPM;KIF20A;EZH2;APOBEC3B;SPC25;LTF
LJP006 BT20 24H-palbociclib-0.37	39/178	2.8533528023589117E-40	4.7751873624960744E-37	0	0	31.682460927809476	2884.8435965206954	TOP2A;SLC43A3;TROAP;HJURP;TNC;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;GTSE1;BUB1;E2F8;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18A;KIF18B;ESPL1;KIFC1;KIF4A;DEPDC1;KIF2C;KIF20A;EZH2;APOBEC3B;SPC25
LJP006 MCF10A 24H-canertinib-3.33	40/193	2.923041791177341E-40	4.7751873624960744E-37	0	0	29.670935811704258	2700.968398710681	TOP2A;TROAP;KIF14;HJURP;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;SKA1;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;SPP1;TK1;GTSE1;BUB1;PLK1;FN1;MMP9;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;COL4A2;ESPL1;KIF4A;DEPDC1;KIF20A;EZH2;APOBEC3B;SPC25;LTF
LJP006 HT29 24H-palbociclib-0.37	40/195	4.5541747406750884E-40	6.819876674160945E-37	0	0	29.285101622226367	2652.8600251923294	TOP2A;TROAP;KIF14;HJURP;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;SKA1;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;TK1;GTSE1;BUB1;E2F8;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18A;MELK;KIF18B;ESPL1;KIFC1;KIF4A;DEPDC1;CENPM;KIF20A;EZH2;APOBEC3B;SPC25
LJP006 MCF10A 24H-mitoxantrone-0.37	37/154	7.853181082324961E-40	1.0855512619183042E-36	0	0	35.34333721833722	3182.401912626881	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;SKA1;LMNB1;CDC20;CDC45;PTTG1;SPP1;TK1;GTSE1;BUB1;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18A;MELK;KIF18B;KIF4A;DEPDC1;CENPM;KIF20A;EZH2;APOBEC3B;SPC25
LJP006 HCC515 24H-palbociclib-0.12	32/96	1.1121256395687082E-39	1.4274926959321206E-36	0	0	54.48342541436464	4886.866077214725	TOP2A;TROAP;KIF14;HJURP;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;CDC20;PTTG1;TK1;GTSE1;BUB1;E2F8;PLK1;NDC80;CCNA2;ASPM;TPX2;NEIL3;KIF18A;KIF18B;ESPL1;KIF4A;DEPDC1;KIF20A;NES;SPC25
LJP005 MCF10A 24H-mitoxantrone-0.37	39/192	6.905604246973669E-39	7.963652575658394E-36	0	0	28.762902862294343	2527.3527083510503	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;SKA1;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;GTSE1;BUB1;PLK1;CDC25C;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18A;MELK;KIF18B;ESPL1;KIFC1;KIF4A;DEPDC1;KIF20A;EZH2;APOBEC3B;LTF;SPC25
LJP005 A549 24H-NVP-BEZ235-3.33	38/177	7.090619989456556E-39	7.963652575658394E-36	0	0	30.693689619732787	2696.1964907111305	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;TK1;GTSE1;BUB1;E2F8;POLQ;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIFC1;KIF4A;DEPDC1;KIF20A;EZH2;LTF;SPC25
LJP006 HCC515 24H-palbociclib-3.33	36/150	9.663107718971954E-39	1.0214473277054471E-35	0	0	35.099018733273866	3072.3049738075456	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;SKA1;LMNB1;CDC20;RAD51AP1;PTTG1;TK1;GTSE1;BUB1;E2F8;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIF4A;DEPDC1;KIF2C;KIF20A;EZH2;APOBEC3B;SPC25
LJP005 A549 24H-TG-101348-10	39/194	1.0647813408891993E-38	1.0630067053210506E-35	0	0	28.388876529477198	2482.194593764053	TOP2A;NNMT;TROAP;KIF14;HJURP;TNC;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;SKA1;CDC20;RAD51AP1;CDC45;TK1;GTSE1;BUB1;IGFBP3;PLK1;CCNA2;TPX2;ASPM;NEIL3;KIF18A;MELK;KIF18B;COL4A2;ESPL1;COL4A1;KIF4A;KIF20A;NES;APOBEC3B;SPC25;LTF
LJP006 MDAMB231 24H-palbociclib-3.33	36/151	1.2578375637203713E-38	1.1896495273713196E-35	0	0	34.792041267501844	3036.2610654761465	TOP2A;TROAP;HJURP;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;GTSE1;BUB1;E2F8;PLK1;MMP9;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIF4A;DEPDC1;CENPM;KIF20A;EZH2;LTF;SPC25
LJP006 LNCAP 24H-palbociclib-10	38/180	1.4137559054499192E-38	1.2702596810467526E-35	0	0	30.040643863179074	2618.101701542997	TOP2A;NNMT;TROAP;HJURP;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;TK1;GTSE1;BUB1;HOXC6;E2F8;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18A;MELK;KIF18B;ESPL1;KIFC1;KIF4A;DEPDC1;KIF20A;EZH2;SPC25
LJP006 BT20 24H-PHA-793887-3.33	38/184	3.4754484161158707E-38	2.973990858933438E-35	0	0	29.211663405088064	2519.5792906204692	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;TK1;GTSE1;BUB1;E2F8;PLK1;CDC25C;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIFC1;KIF4A;DEPDC1;CENPM;KIF20A;APOBEC3B;SPC25
LJP006 MCF7 24H-palbociclib-1.11	34/130	5.131726094511354E-38	3.7439945910948983E-35	0	0	38.96031191806331	3345.2411374574676	TOP2A;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;TK1;GTSE1;BUB1;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIFC1;KIF4A;KIF20A;EZH2;APOBEC3B;SPC25
LJP006 LNCAP 24H-palbociclib-1.11	35/143	5.302150653481267E-38	3.7439945910948983E-35	0	0	35.82839159384103	3075.1551861592493	TOP2A;TROAP;HJURP;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;SPP1;TK1;GTSE1;BUB1;PLK1;SOX11;MMP9;NDC80;CCNA2;TPX2;ASPM;MELK;KIF18B;ESPL1;KIFC1;KIF4A;KIF20A;EZH2;SPC25
LJP005 HEPG2 24H-dovitinib-10	38/186	5.402982169032482E-38	3.7439945910948983E-35	0	0	28.813976833976835	2472.564305447057	TOP2A;TROAP;HJURP;TNC;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;CDC45;PTTG1;TK1;GTSE1;BUB1;E2F8;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIFC1;KIF4A;DEPDC1;KIF20A;EZH2;APOBEC3B;LTF;SPC25
LJP006 HCC515 24H-PHA-793887-3.33	38/186	5.402982169032482E-38	3.7439945910948983E-35	0	0	28.813976833976835	2472.564305447057	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;TK1;GTSE1;BUB1;E2F8;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIFC1;KIF4A;DEPDC1;CENPM;KIF20A;EZH2;APOBEC3B;SPC25
LJP006 MCF10A 24H-PHA-793887-3.33	33/118	5.417020554728289E-38	3.7439945910948983E-35	0	0	42.49450980392157	3646.398115741272	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;GTSE1;BUB1;HOXC6;PLK1;NDC80;CCNA2;TPX2;ASPM;MELK;KIF18B;ESPL1;KIF4A;DEPDC1;KIF20A;EZH2;APOBEC3B;SPC25
LJP006 A375 24H-palbociclib-1.11	33/120	1.0158579816532164E-37	6.519631403681536E-35	0	0	41.513409961685824	3536.10872704908	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;RAD51AP1;CDC45;PTTG1;GTSE1;BUB1;PLK1;NDC80;CCNA2;TPX2;ASPM;MELK;KIF18B;ESPL1;KIFC1;KIF4A;DEPDC1;KIF20A;EZH2;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-0.12	33/120	1.0158579816532164E-37	6.519631403681536E-35	0	0	41.513409961685824	3536.10872704908	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;CDC45;PTTG1;GTSE1;BUB1;PLK1;NDC80;CCNA2;TPX2;ASPM;MELK;KIF18B;ESPL1;KIFC1;KIF4A;DEPDC1;KIF20A;EZH2;APOBEC3B;SPC25
LJP005 A375 24H-foretinib-3.33	37/174	1.0879373132242082E-37	6.741459834013456E-35	0	0	30.153035832780358	2566.3660359239866	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;TK1;GTSE1;BUB1;IGFBP3;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIF4A;DEPDC1;KIF20A;EZH2;APOBEC3B;LTF;SPC25
LJP006 A375 24H-mitoxantrone-0.12	40/222	1.1314348069508762E-37	6.777294493635749E-35	0	0	24.906307565267102	2118.833428846891	TOP2A;ERCC6L;TROAP;KIF14;HJURP;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;TK1;GTSE1;BUB1;E2F8;PLK1;CDC25C;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;CENPI;KIFC1;KIF4A;DEPDC1;CENPM;KIF20A;APOBEC3B;SPC25
LJP006 MCF10A 24H-gefitinib-0.37	35/146	1.1831149391821416E-37	6.858250147452607E-35	0	0	34.85474238283227	2963.611527840244	TOP2A;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;SPP1;GTSE1;BUB1;PLK1;MMP9;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;COL4A2;ESPL1;KIF4A;DEPDC1;KIF20A;EZH2;SPC25
LJP006 HME1 24H-palbociclib-0.37	34/133	1.2215613275310897E-37	6.859830329916776E-35	0	0	37.773940522543874	3210.6156651701017	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;RAD51AP1;PTTG1;TK1;GTSE1;BUB1;E2F8;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIF4A;DEPDC1;KIF20A;EZH2;APOBEC3B;SPC25
LJP005 A375 24H-dovitinib-1.11	37/175	1.367743321331229E-37	7.447984086158237E-35	0	0	29.933012187088273	2540.7884959839766	TOP2A;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;PTTG1;TK1;GTSE1;BUB1;E2F8;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIFC1;KIF4A;DEPDC1;CENPM;KIF20A;EZH2;APOBEC3B;LTF;SPC25
LJP006 BT20 24H-PHA-793887-1.11	32/111	2.4565053707937015E-37	1.2983353386224356E-34	0	0	44.10490244073012	3717.906933465721	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;CDC20;PTTG1;GTSE1;BUB1;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18A;MELK;KIF18B;ESPL1;KIFC1;KIF4A;DEPDC1;KIF20A;APOBEC3B;SPC25
LJP006 A375 24H-AZD-5438-1.11	36/163	2.5565373884889226E-37	1.3125993391755983E-34	0	0	31.48538636060323	2652.8640310980554	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;RAD51AP1;PTTG1;GTSE1;BUB1;E2F8;PLK1;CDC25C;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18A;KIF18B;ESPL1;KIFC1;CENPI;KIF4A;DEPDC1;KIF20A;NES;APOBEC3B;SPC25
LJP005 A375 24H-dovitinib-10	37/180	4.200055871819217E-37	2.096527889349759E-34	0	0	28.8790527654164	2418.925360806364	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;TK1;GTSE1;BUB1;E2F8;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;COL4A2;KIFC1;KIF4A;DEPDC1;KIF20A;EZH2;APOBEC3B;SPC25
LJP006 MDAMB231 24H-palbociclib-1.11	35/151	4.320701012784095E-37	2.0984593837764916E-34	0	0	33.34390740023247	2791.959749550232	TOP2A;HJURP;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;TK1;GTSE1;BUB1;E2F8;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;KIFC1;KIF4A;DEPDC1;CENPM;KIF20A;EZH2;APOBEC3B;SPC25
LJP006 A549 24H-palbociclib-10	34/138	4.928044246855026E-37	2.3304461872627583E-34	0	0	35.94875376020627	3005.3412026546093	TOP2A;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;HOXC10;LMNB1;CDC20;RAD51AP1;PTTG1;GTSE1;BUB1;HOXC6;E2F8;MMP9;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIF4A;DEPDC1;KIF20A;EZH2;SPC25
LJP005 MCF7 24H-mitoxantrone-0.12	34/144	2.4325501996986287E-36	1.1208442843226758E-33	0	0	33.97755205688166	2786.2993640860377	TOP2A;TROAP;HJURP;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;TK1;GTSE1;BUB1;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIFC1;KIF4A;KIF20A;APOBEC3B;LTF;SPC25
LJP006 HCC515 24H-PHA-793887-1.11	36/173	2.59492465266213E-36	1.1657699002084618E-33	0	0	29.172337003587778	2390.3668790646093	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;TK1;GTSE1;BUB1;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIF4A;CENPM;KIF20A;EZH2;APOBEC3B;LTF;SPC25
LJP006 MCF10A 24H-afatinib-1.11	36/174	3.243529715386354E-36	1.42161534110958E-33	0	0	28.959469417833457	2366.463621273604	TOP2A;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;TK1;GTSE1;BUB1;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;COL4A2;ESPL1;KIF4A;DEPDC1;CENPM;KIF20A;EZH2;APOBEC3B;SPC25
LJP006 HCC515 24H-palbociclib-10	34/146	4.070299247771517E-36	1.741506606725099E-33	0	0	33.36741819632881	2719.0891140815816	TOP2A;TROAP;HJURP;TNC;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;PTTG1;TK1;GTSE1;BUB1;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIF4A;DEPDC1;KIF20A;EZH2;APOBEC3B;SPC25
LJP006 MCF10A 24H-afatinib-0.04	36/177	6.27837764582859E-36	2.5162514690299694E-33	0	0	28.338983050847457	2297.0432424545525	TOP2A;HJURP;TNC;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;CDC20;RAD51AP1;CDC45;PTTG1;SPP1;GTSE1;BUB1;PLK1;FN1;MMP9;NDC80;CCNA2;TPX2;ASPM;MELK;KIF18B;ESPL1;KIF4A;DEPDC1;CENPM;KIF20A;EZH2;APOBEC3B;SPC25
LJP006 HS578T 24H-palbociclib-0.37	35/162	6.301130556836318E-36	2.5162514690299694E-33	0	0	30.438821551800405	2467.137539415146	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;PTTG1;TK1;GTSE1;BUB1;HOXC6;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIFC1;KIF4A;DEPDC1;KIF20A;EZH2;SPC25
LJP006 LNCAP 24H-mitoxantrone-0.04	35/162	6.301130556836318E-36	2.5162514690299694E-33	0	0	30.438821551800405	2467.137539415146	TOP2A;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;PTTG1;SPP1;TK1;GTSE1;BUB1;HOXC6;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18A;MELK;KIF18B;ESPL1;KIF4A;DEPDC1;KIF20A;EZH2;APOBEC3B;SPC25
LJP006 LNCAP 24H-JW-7-24-1-3.33	36/179	9.681440001188082E-36	3.782075583072823E-33	0	0	27.939789024534786	2252.5854949133313	TOP2A;HJURP;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;SPP1;TK1;GTSE1;BUB1;HOXC6;PLK1;CDC25C;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIF4A;DEPDC1;KIF20A;EZH2;APOBEC3B;SPC25
LJP006 MCF10A 24H-palbociclib-10	33/137	1.3414730503434954E-35	5.128993769079279E-33	0	0	34.697596153846156	2786.1028144423276	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;PTTG1;TK1;GTSE1;BUB1;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIF4A;DEPDC1;KIF20A;EZH2;APOBEC3B;SPC25
LJP006 MCF10A 24H-mitoxantrone-3.33	36/181	1.4845796803594369E-35	5.557895178345642E-33	0	0	27.551607247223846	2209.5106916450236	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;CDC45;PTTG1;TK1;GTSE1;BUB1;HOXC6;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIFC1;KIF4A;DEPDC1;KIF20A;EZH2;APOBEC3B;SPC25
LJP006 HME1 24H-gefitinib-10	34/153	2.3151511498946745E-35	8.490462482368837E-33	0	0	31.39345570630487	2503.659588936672	TOP2A;HJURP;TNC;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;CDC45;SPP1;GTSE1;BUB1;PLK1;MMP9;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIF4A;DEPDC1;KIF20A;EZH2;SPC25
LJP005 MCF10A 24H-dovitinib-10	35/168	2.4880811462649153E-35	8.942163639676105E-33	0	0	29.056771141336487	2315.213493363012	TOP2A;HJURP;TNC;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;CDC45;PTTG1;TK1;GTSE1;BUB1;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIF4A;DEPDC1;KIF20A;EZH2;APOBEC3B;LTF;SPC25
LJP005 A549 24H-GDC-0980-1.11	36/184	2.790452797354013E-35	9.832242503617964E-33	0	0	26.98900595510765	2147.3606750331833	HJURP;TNC;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;SKA1;LMNB1;CDC20;RAD51AP1;CDC45;TK1;GTSE1;BUB1;E2F8;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIF4A;DEPDC1;KIF20A;EZH2;APOBEC3B;LTF;SPC25
