Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP008 PC3 24H-I-BET-0.04	7/33	1.422370513780029E-4	0.9999951904008029	0	0	7.280952895419188	64.49479372122349	POSTN;LOX;IGFBP3;CHI3L2;S100A4;PI3;LYZ
LJP006 PC3 24H-BI-2536-3.33	13/120	3.8381123962013186E-4	0.9999951904008029	0	0	3.2996478780016414	25.952917409913244	ABCC3;CA12;FCGBP;ST14;CSTA;IGFBP3;TFPI;LOX;COL4A2;S100A4;TGFBI;HOXB7;CD99
LJP006 MDAMB231 3H-geldanamycin-0.04	6/30	5.996666910636581E-4	0.9999951904008029	0	0	6.752103786816269	50.094780142692045	CA12;SFRP4;POSTN;SPP1;CHI3L1;IGF2BP3
LJP007 PC3 24H-SB-525334-0.12	7/42	6.78562527848194E-4	0.9999951904008029	0	0	5.406179775280899	39.440967965656604	CXCL9;CSTA;LOX;MMP2;IGFBP3;FN1;IGFBP7
LJP006 PC3 24H-saracatinib-0.37	6/31	7.212193829569121E-4	0.9999951904008029	0	0	6.481683029453015	46.892171387446474	CD163;SPARC;IL1R2;IGFBP3;PI3;MMP9
LJP006 A549 24H-XMD-1150-10	6/32	8.609730287936622E-4	0.9999951904008029	0	0	6.232063868810012	43.982462819623485	CA12;IGFBP3;IGFBP2;FN1;IGFBP7;EMP3
LJP005 A549 24H-dasatinib-0.12	7/45	0.001039866357599888	0.9999951904008029	0	0	4.978599940863394	34.19632558594468	POSTN;SPARC;COL4A2;COL4A1;CHI3L1;TGFBI;MMP9
LJP005 PC3 24H-TG-101348-1.11	7/45	0.001039866357599888	0.9999951904008029	0	0	4.978599940863394	34.19632558594468	CA12;CSRP2;CLEC5A;IGFBP2;SPP1;TGFBI;MMP9
LJP005 PC3 24H-NU-7441-0.37	6/35	0.0014074285848067155	0.9999951904008029	0	0	5.586497074043623	36.68088916486341	CA12;SRPX;SPP1;LPL;TGFBI;CPVL
LJP006 HME1 3H-celastrol-0.04	6/35	0.0014074285848067155	0.9999951904008029	0	0	5.586497074043623	36.68088916486341	SRPX;POSTN;SPP1;CYTL1;IGFBP7;TMEM45A
LJP006 HA1E 24H-AZD-7762-0.12	8/61	0.0014681257612367874	0.9999951904008029	0	0	4.082052915107608	26.6303689741802	CA12;SPARC;CSRP2;LOX;FN1;S100A4;PI3;CD99
LJP006 HME1 24H-QL-XII-47-0.37	14/157	0.0016261733785518087	0.9999951904008029	0	0	2.657660070426028	17.066232297043786	POSTN;CXCL9;CSTA;SPARC;NNMT;IGFBP2;MMP9;PDIA4;COL4A2;COL4A1;SPP1;IGFBP7;TK1;APOBEC3B
LJP008 HEPG2 24H-I-BET-10	12/124	0.00171645534729354	0.9999951904008029	0	0	2.9049808042028693	18.49744772239969	CA12;STEAP3;CSTA;IL1R2;CLEC5A;IGFBP2;SPP1;CHI3L1;PI3;TGFBI;EMP3;MMP9
LJP009 MCF7 24H-AZD-1480-10	5/25	0.001728982432497551	0.9999951904008029	0	0	6.744047619047619	42.89364160594044	PRDX4;CSRP2;VNN1;LYZ;MMP9
LJP005 BT20 3H-CP-724714-0.12	5/25	0.001728982432497551	0.9999951904008029	0	0	6.744047619047619	42.89364160594044	SPARC;GDF15;IGFBP7;HOXB7;HOXB6
LJP008 A549 24H-(+)-JQ1-3.33	9/77	0.0017349962376660393	0.9999951904008029	0	0	3.5815451532725766	22.766987275116854	CA12;POSTN;NNMT;COL4A2;COL4A1;GDF15;IGFBP3;IGFBP2;TFPI
LJP008 A549 24H-I-BET151-3.33	11/109	0.00188578506429416	0.9999951904008029	0	0	3.0412342903263	19.07891284835504	CA12;LOX;COL4A2;IGFBP3;SPP1;TGFBI;EMP3;TFPI;HOXB7;S100A11;APOBEC3B
LJP005 MDAMB231 3H-torin-2-0.37	6/37	0.0018968283961258645	0.9999951904008029	0	0	5.225534995249514	32.75141709706116	NNMT;SPARC;IGFBP2;SPP1;FN1;LYZ
LJP006 A375 24H-WYE-125132-10	12/127	0.002103070915615435	0.9999951904008029	0	0	2.828755919070168	17.437460393937513	CA12;POSTN;CSTA;SPARC;CSRP2;COL4A2;COL4A1;IGFBP3;MMP2;IGFBP2;S100A4;APOBEC3B
LJP008 PC3 24H-I-BET-0.37	8/65	0.0022196868923158295	0.9999951904008029	0	0	3.7948034643570954	23.18772584874157	CA12;SFRP4;CSTA;IGFBP3;S100A4;IGFBP7;S100A11;CD99
LJP007 A549 24H-vorinostat-10	8/65	0.0022196868923158295	0.9999951904008029	0	0	3.7948034643570954	23.18772584874157	CA12;COL4A2;COL4A1;IL1R2;IGFBP3;EMP3;TGFBI;HOXB7
LJP008 HEPG2 24H-I-BET151-10	12/129	0.0023983350930260015	0.9999951904008029	0	0	2.78011097813078	16.77235530109615	CA12;CSTA;COL4A2;COL4A1;IL1R2;CLEC5A;SERPINH1;SPP1;S100A4;CA9;LYZ;CD99
LJP007 HA1E 24H-AZ-628-10	8/66	0.0024479700233168904	0.9999951904008029	0	0	3.729181822590814	22.421691387464016	CA12;CD163;FOXD1;IGF2BP3;TGFBI;MMP9;HOXB7;HOXB6
LJP005 HCC515 24H-YM-201636-0.37	5/27	0.002475898194463705	0.9999951904008029	0	0	6.130315762668704	36.788956956889905	POSTN;NNMT;CSRP2;IGFBP7;APOBEC3B
LJP005 A375 24H-nilotinib-10	6/39	0.0025051473206782384	0.9999951904008029	0	0	4.908325895703175	29.39796508820027	SRPX;POSTN;SPARC;PRRX1;COL4A2;CPVL
LJP008 A549 24H-PFI-1-10	10/97	0.0025512257335713467	0.9999951904008029	0	0	3.1117163562083556	18.58062268970065	CA12;NNMT;COL4A2;COL4A1;GDF15;IGFBP3;IGF2BP3;EMP3;TFPI;HOXB7
LJP006 HCC515 24H-BI-2536-1.11	11/115	0.0028833552578966643	0.9999951904008029	0	0	2.8648821164710996	16.756124364478623	CA12;NNMT;LOX;COL4A2;TNFRSF12A;COL4A1;IGFBP3;FN1;LYZ;HOXB7;MMP9
LJP006 A375 24H-KIN001-043-0.37	9/83	0.002923501378245308	0.9999951904008029	0	0	3.290121811952798	19.197772857109847	SRPX;SPARC;COL4A2;LOX;COL4A1;SPP1;IGFBP7;MMP9;APOBEC3B
LJP008 A549 24H-I-BET151-10	14/168	0.0030502838436057104	0.9999951904008029	0	0	2.466408768536428	14.28672367182568	ABCC3;CA12;NNMT;GDF15;IGFBP3;EMP3;TFPI;COL4A2;COL4A1;SPP1;IGF2BP3;TGFBI;HOXB7;CD99
LJP008 PC3 24H-I-BET-0.12	9/84	0.0031724493934425463	0.9999951904008029	0	0	3.2460845070422537	18.67553994295469	ABCC3;CA12;POSTN;LOX;IGFBP3;APOC1;LPL;S100A4;LYZ
LJP006 HME1 24H-XMD-1150-10	13/151	0.0031948320577457655	0.9999951904008029	0	0	2.5542862421480477	14.67749262298004	CA12;POSTN;ENPEP;SPARC;NNMT;FN1;EMP3;MMP14;LOX;COL4A2;COL4A1;SERPINH1;IGFBP7
LJP005 BT20 3H-PF-477736-10	4/18	0.003388160721029459	0.9999951904008029	0	0	7.699100899100899	43.78839049282688	SRPX;CSTA;FN1;IGFBP7
LJP009 HEPG2 24H-SYK-inhibitor-1.11	7/55	0.0034129985572939375	0.9999951904008029	0	0	3.9393433988764044	22.376116683075445	CA12;VNN1;IL1R2;S100A4;LYZ;HOXB6;TMEM45A
LJP008 A375 24H-I-BET151-0.37	9/85	0.0034377934323521022	0.9999951904008029	0	0	3.2032060785767236	18.171549308756763	POSTN;CSTA;SPARC;COL4A2;COL4A1;CHI3L2;FN1;LPL;FCGR2B
LJP008 PC3 24H-CX-5461-3.33	6/42	0.003677778078760731	0.9999951904008029	0	0	4.498597475455821	25.2166474381506	FCGBP;CSTA;SPARC;MMP2;APOC1;LYZ
LJP006 HME1 24H-BI-2536-0.37	10/102	0.0036843649573131375	0.9999951904008029	0	0	2.941834794873367	16.485033435297762	POSTN;ENPEP;CXCL9;CSTA;SPARC;COL4A2;COL4A1;IGFBP2;IGFBP7;MMP9
LJP006 HME1 24H-BI-2536-1.11	10/102	0.0036843649573131375	0.9999951904008029	0	0	2.941834794873367	16.485033435297762	CA12;POSTN;CD163;NNMT;LOX;COL4A2;COL4A1;IGFBP2;SERPINH1;MMP9
LJP006 HME1 24H-BI-2536-10	11/119	0.003757608879296087	0.9999951904008029	0	0	2.758199937225361	15.401712489277433	POSTN;CSTA;SPARC;NNMT;SRPX2;LOX;COL4A2;COL4A1;IGFBP2;SERPINH1;IGFBP7
LJP006 MCF10A 3H-QL-X-138-1.11	7/56	0.00378218496730618	0.9999951904008029	0	0	3.8587479935794544	21.521987126831416	CA12;SPARC;IL1R2;FN1;CYTL1;PI3;TMEM45A
LJP009 HA1E 24H-BX-795-10	6/43	0.004146763622126884	0.9999951904008029	0	0	4.376786323490391	24.00854230571623	CA12;LOX;MTHFD2;IGFBP3;TGFBI;CD99
LJP005 PC3 24H-TGX-221-0.37	6/43	0.004146763622126884	0.9999951904008029	0	0	4.376786323490391	24.00854230571623	CA12;CSTA;POSTN;CSRP2;LPL;CHI3L1
LJP009 HEPG2 24H-dasatinib-10	7/57	0.004180912394283516	0.9999951904008029	0	0	3.781376404494382	20.71145232703358	CA12;MS4A6A;ST14;SPP1;S100A4;TGFBI;APOBEC3B
LJP008 HEPG2 24H-ABT-737-10	7/57	0.004180912394283516	0.9999951904008029	0	0	3.781376404494382	20.71145232703358	CA12;CSTA;IGFBP2;CHI3L1;S100A4;HOXB7;HOXB6
LJP007 HEPG2 24H-BIX-02189-3.33	5/31	0.004629844667652612	0.9999951904008029	0	0	5.186112906701142	27.876559847120244	ABCC3;IL1R2;IGFBP3;APOC1;CD99
LJP007 HEPG2 24H-dacomitinib-0.04	5/31	0.004629844667652612	0.9999951904008029	0	0	5.186112906701142	27.876559847120244	CA12;CSTA;CHI3L1;HOXB6;TMEM45A
LJP006 HS578T 24H-BI-2536-1.11	11/123	0.004831771927951013	0.9999951904008029	0	0	2.6591379136400324	14.179964660941694	POSTN;CXCL9;NNMT;LOX;IGFBP3;S100A4;IGFBP7;IGF2BP3;TFPI;HOXB7;S100A11
LJP006 BT20 3H-WYE-125132-0.12	4/20	0.005067433882122603	0.9999951904008029	0	0	6.736013986013986	35.599299933113805	SPP1;CHI3L1;MMP9;TMEM45A
LJP007 A375 24H-NVP-BGT226-0.12	12/142	0.005243816276841075	0.9999951904008029	0	0	2.5004025677293003	13.128878136244827	CA12;CSTA;SPARC;CSRP2;COL4A2;DYNLT1;COL4A1;APOC1;S100A4;CYTL1;IGFBP7;TK1
LJP006 HEPG2 24H-GDC-0941-0.37	5/32	0.00532778591263986	0.9999951904008029	0	0	4.993775287892935	26.14151239606974	CA12;CXCL9;POSTN;FOXD1;LYZ
LJP008 HEPG2 24H-PFI-1-10	12/143	0.005542770990426061	0.9999951904008029	0	0	2.481185959381107	12.890407964937108	CA12;STEAP3;CD163;IL1R2;IGFBP2;SERPINH1;SPP1;CHI3L1;TGFBI;EMP3;TFPI;APOBEC3B
LJP006 MCF10A 24H-XMD11-85H-10	7/60	0.005568987751635414	0.9999951904008029	0	0	3.5667797328810686	18.513519914676177	POSTN;CSRP2;COL4A2;IGFBP3;IGFBP7;HOXB7;APOBEC3B
LJP008 PC3 24H-PFI-1-3.33	9/92	0.005817039598096912	0.9999951904008029	0	0	2.931987103342949	15.090831502825624	CA12;POSTN;MMP14;CSTA;IGFBP3;LPL;S100A4;S100A11;APOBEC3B
LJP006 PC3 24H-BI-2536-10	10/109	0.005902651753987316	0.9999951904008029	0	0	2.732828995170321	14.025844674743357	CA12;FCGBP;POSTN;CSTA;SPARC;LOX;COL4A2;S100A4;HOXB7;CD99
LJP006 BT20 3H-radicicol-10	4/21	0.006084281283380643	0.9999951904008029	0	0	6.33944878650761	32.344163585775846	POSTN;IGFBP3;FN1;VIM
LJP008 A549 24H-(+)-JQ1-0.04	5/33	0.006096911836541277	0.9999951904008029	0	0	4.815176070428171	24.557267430828425	POSTN;NNMT;IGFBP3;FN1;TFPI
LJP008 HEPG2 24H-(+)-JQ1-0.04	7/61	0.006100582221359549	0.9999951904008029	0	0	3.5005461922596752	17.850583968821255	CA12;ST14;IL1R2;CLEC5A;SPP1;MMP9;APOBEC3B
LJP008 PC3 24H-(+)-JQ1-0.04	9/93	0.006240762854115695	0.9999951904008029	0	0	2.8969315895372234	14.706716015525139	POSTN;CSTA;COL4A2;LOX;IL1R2;IGFBP3;LPL;S100A4;APOBEC3B
LJP006 A375 24H-BI-2536-0.37	8/77	0.006361839215235253	0.9999951904008029	0	0	3.1328808169754785	15.844349737123768	CXCL9;POSTN;SPARC;COL4A2;COL4A1;IGFBP7;HOXB7;APOBEC3B
LJP006 PC3 24H-celastrol-1.11	6/47	0.006472501664319277	0.9999951904008029	0	0	3.94896178975815	19.903527947779345	CA12;ST14;SPARC;IGFBP3;NOX4;LYZ
LJP005 PC3 24H-SAR-245408-10	7/62	0.006669115526169508	0.9999951904008029	0	0	3.436721144024515	17.218894084933826	CXCL9;PRRX1;SPP1;IGF2BP3;MMP9;HOXB7;HOXB6
LJP008 PC3 24H-belinostat-1.11	9/94	0.006687831278490751	0.9999951904008029	0	0	2.862700911350456	14.334876425466582	CA12;STEAP3;CXCL9;SPARC;S100A4;HOXB7;HOXB6;PPIC;APOBEC3B
LJP009 PC3 24H-XMD-892-1.11	5/34	0.006940827810788258	0.9999951904008029	0	0	4.6488940403747705	23.10655718276518	CSTA;CSRP2;IGFBP3;PI3;HOXB7
LJP005 BT20 24H-dovitinib-10	5/34	0.006940827810788258	0.9999951904008029	0	0	4.6488940403747705	23.10655718276518	STEAP3;CSTA;SPARC;FN1;APOBEC3B
LJP008 PC3 24H-(+)-JQ1-3.33	8/79	0.0074119445667800475	0.9999951904008029	0	0	3.0443137021849807	14.931331099406508	CA12;MMP14;SPARC;COL4A2;LOX;COL4A1;S100A4;APOBEC3B
LJP006 HCC515 24H-canertinib-10	8/79	0.0074119445667800475	0.9999951904008029	0	0	3.0443137021849807	14.931331099406508	SPARC;COL4A2;COL4A1;IGFBP3;IGFBP2;IGFBP7;IGF2BP3;MMP9
LJP006 HCC515 24H-XMD-1150-10	9/96	0.007655262849577877	0.9999951904008029	0	0	2.796600291403594	13.626048747068976	POSTN;NNMT;COL4A2;COL4A1;IGFBP3;IGFBP2;LYZ;HOXB7;HOXB6
LJP006 HEPG2 24H-BI-2536-10	11/131	0.007701693719352528	0.9999951904008029	0	0	2.480826271186441	12.072482122559007	ABCC3;CA12;FCGBP;POSTN;SPARC;LOX;IL1R2;IGFBP2;SPP1;ANG;LYZ
LJP006 A549 24H-BI-2536-3.33	13/168	0.007792132386983831	0.9999951904008029	0	0	2.2721191629352098	11.030322215144686	ABCC3;CA12;ENPEP;NNMT;GDF15;IGFBP3;FN1;TFPI;LOX;COL4A2;COL4A1;ANG;HOXB7
LJP008 PC3 24H-I-BET151-3.33	14/187	0.007807919249192211	0.9999951904008029	0	0	2.193350551387693	10.643489672507013	CA12;POSTN;CSTA;SPARC;IGFBP3;TFPI;MRC2;MMP14;LOX;COL4A2;COL4A1;S100A4;IGFBP7;IGF2BP3
LJP006 PC3 24H-AZD-7762-1.11	5/35	0.007863063373475521	0.9999951904008029	0	0	4.493697478991597	21.77456616485735	CSTA;POSTN;IGFBP3;SPP1;EMP3
LJP006 HS578T 3H-canertinib-0.04	6/49	0.007936394987637476	0.9999951904008029	0	0	3.7648977461756745	18.20816043209251	CA12;IGFBP2;SPP1;CHI3L1;MMP9;TMEM45A
LJP006 MCF10A 24H-dasatinib-1.11	6/49	0.007936394987637476	0.9999951904008029	0	0	3.7648977461756745	18.20816043209251	COL4A2;COL4A1;IGFBP3;SPP1;IGF2BP3;TGFBI
LJP009 A549 24H-CH5424802-10	3/12	0.007982789913635907	0.9999951904008029	0	0	8.972067039106145	43.3392765838301	CXCL9;SPARC;IGFBP7
LJP008 PC3 24H-I-BET151-0.04	6/50	0.008751303138019154	0.9999951904008029	0	0	3.679140634961112	17.433801640992897	CA12;CSTA;IGFBP3;S100A4;LYZ;MMP9
LJP005 SKBR3 24H-dasatinib-3.33	7/66	0.009342566036952875	0.9999951904008029	0	0	3.203056560655113	14.968441690974913	TNFRSF12A;TGFBI;TFPI;LYZ;MMP9;S100A11;APOBEC3B
LJP009 HCC515 24H-JNK-IN-5A-0.37	6/51	0.00962439662997805	0.9999951904008029	0	0	3.597194950911641	16.703409602185886	MRC2;CA12;POSTN;LOX;IGFBP2;CHI3L1
LJP008 HEPG2 24H-dasatinib-3.33	4/24	0.009921299035277756	0.9999951904008029	0	0	5.387692307692308	24.85380937808719	CA12;IL1R2;PI3;LYZ
LJP005 HCC515 24H-crizotinib-10	5/37	0.0099561615957566	0.9999951904008029	0	0	4.212403711484594	19.417343084942615	COL4A2;COL4A1;IGFBP3;IGFBP7;CD99
LJP008 PC3 24H-(+)-JQ1-0.37	7/67	0.010118206828961293	0.9999951904008029	0	0	3.149508426966292	14.467011287331514	CA12;MMP14;COL4A2;COL4A1;S100A4;TGFBI;APOBEC3B
LJP006 A375 24H-BI-2536-1.11	7/67	0.010118206828961293	0.9999951904008029	0	0	3.149508426966292	14.467011287331514	POSTN;SPARC;NNMT;COL4A2;COL4A1;IGFBP7;HOXB7
LJP007 HA1E 24H-sutent-10	7/67	0.010118206828961293	0.9999951904008029	0	0	3.149508426966292	14.467011287331514	CA12;SRPX2;LOX;IGFBP3;CHI3L1;HAS2;TMEM45A
LJP008 HEPG2 24H-(+)-JQ1-3.33	6/52	0.010557794658583518	0.9999951904008029	0	0	3.518812122690408	16.013729933061608	IGFBP2;SPP1;EMP3;TGFBI;CD99;APOBEC3B
LJP006 HA1E 24H-HG-6-64-01-0.12	6/52	0.010557794658583518	0.9999951904008029	0	0	3.518812122690408	16.013729933061608	CA12;SRPX;FN1;EMP3;PI3;TFPI
LJP006 PC3 24H-BI-2536-0.12	6/52	0.010557794658583518	0.9999951904008029	0	0	3.518812122690408	16.013729933061608	CSTA;LOX;IGFBP3;S100A4;ANG;IGF2BP3
LJP006 HME1 3H-JW-7-24-1-10	7/68	0.010939709622729736	0.9999951904008029	0	0	3.0977159697918584	13.987290468101499	FCGBP;SPARC;COL4A2;COL4A1;IGFBP7;TGFBI;TMEM45A
LJP009 A375 24H-RAF 265-0.04	5/38	0.01113360106340218	0.9999951904008029	0	0	4.0845429080723195	18.371406526698735	CSTA;IL1R2;FN1;PI3;HOXB7
LJP005 PC3 24H-dasatinib-0.12	5/38	0.01113360106340218	0.9999951904008029	0	0	4.0845429080723195	18.371406526698735	MS4A6A;CSTA;CD163;CSRP2;IGFBP3
LJP006 A549 24H-celastrol-10	6/53	0.011553579096813649	0.9999951904008029	0	0	3.4437647339679507	15.361808014314564	CA12;CSTA;SPP1;FN1;EMP3;TFPI
LJP009 A549 24H-GSK-429286A-0.12	2/5	0.01200568666348691	0.9999951904008029	0	0	17.92468619246862	79.26968146226275	COL4A2;TGFBI
LJP009 A549 24H-serdemetan-3.33	2/5	0.01200568666348691	0.9999951904008029	0	0	17.92468619246862	79.26968146226275	CHI3L1;MMP9
LJP009 PC3 24H-dabrafenib-3.33	5/39	0.012402494026611708	0.9999951904008029	0	0	3.9642033283901794	17.402288487331102	CA12;CXCL9;SPARC;EMP3;MMP9
LJP005 MCF7 24H-linsitinib-0.37	5/39	0.012402494026611708	0.9999951904008029	0	0	3.9642033283901794	17.402288487331102	NNMT;CSRP2;SPP1;HAS2;PI3
LJP006 LNCAP 3H-withaferin-a-3.33	5/39	0.012402494026611708	0.9999951904008029	0	0	3.9642033283901794	17.402288487331102	POSTN;SPARC;IGFBP3;IGFBP2;APOBEC3B
LJP006 LNCAP 3H-mitoxantrone-3.33	6/54	0.01261378965236275	0.9999951904008029	0	0	3.371844319775596	14.744956004244871	CXCL9;CSTA;GDF15;IL1R2;IGFBP7;CD99
LJP006 A375 24H-KIN001-043-3.33	9/104	0.012623302842177955	0.9999951904008029	0	0	2.5600296515937733	11.192989140487134	SRPX;POSTN;SPARC;COL4A2;COL4A1;F2R;FN1;IGFBP7;TFPI
LJP005 PC3 24H-vemurafenib-10	4/26	0.013191505673542632	0.9999951904008029	0	0	4.897393515575334	21.19681127454118	SPP1;EMP3;TGFBI;TMEM45A
LJP005 SKBR3 3H-crizotinib-0.37	4/26	0.013191505673542632	0.9999951904008029	0	0	4.897393515575334	21.19681127454118	FCGBP;LOX;SPP1;TGFBI
LJP006 MCF7 3H-PHA-793887-1.11	4/26	0.013191505673542632	0.9999951904008029	0	0	4.897393515575334	21.19681127454118	CA12;FCGBP;SPP1;TFPI
LJP009 HEPG2 24H-GSK-429286A-0.04	7/71	0.013693837016563586	0.9999951904008029	0	0	2.952049683988764	12.666682533821266	SRPX;SFRP4;SPARC;VNN1;FN1;IGFBP7;MS4A4A
LJP005 A549 24H-ruxolitinib-10	6/55	0.013740419224467832	0.9999951904008029	0	0	3.3028594326931335	14.160724058934662	POSTN;COL4A2;COL4A1;FN1;IGFBP7;LYZ
LJP009 HEPG2 24H-GSK-2334470-0.04	6/55	0.013740419224467832	0.9999951904008029	0	0	3.3028594326931335	14.160724058934662	CSTA;SPARC;MMP2;IGFBP7;LYZ;TMEM45A
LJP005 MCF10A 3H-PD-184352-3.33	6/55	0.013740419224467832	0.9999951904008029	0	0	3.3028594326931335	14.160724058934662	CXCL9;TNFRSF12A;CHI3L1;IGF2BP3;LYZ;MMP9
LJP005 PC3 24H-dasatinib-0.37	6/55	0.013740419224467832	0.9999951904008029	0	0	3.3028594326931335	14.160724058934662	CA12;CXCL9;CSRP2;IGFBP3;EMP3;TGFBI
LJP006 PC3 24H-nintedanib-1.11	6/55	0.013740419224467832	0.9999951904008029	0	0	3.3028594326931335	14.160724058934662	SPARC;IGFBP3;CHI3L2;SPP1;FN1;VIM
LJP009 A375 24H-BI-2536-1.11	5/40	0.01376582861848547	0.9999951904008029	0	0	3.8507402961184476	16.502601474955302	POSTN;SPARC;COL4A2;COL4A1;CYTL1
LJP006 MCF7 24H-BI-2536-0.12	5/40	0.01376582861848547	0.9999951904008029	0	0	3.8507402961184476	16.502601474955302	CA12;SRPX2;GDF15;SPP1;MMP9
LJP008 A549 24H-(+)-JQ1-1.11	7/72	0.01471314046095493	0.9999951904008029	0	0	2.906482281763181	12.262490238501211	CA12;ENPEP;NNMT;GDF15;IGFBP3;EMP3;HOXB7
LJP006 PC3 24H-XMD-1150-10	6/56	0.01493540947292267	0.9999951904008029	0	0	3.2366339410939693	13.606875150284752	CA12;CXCL9;LOX;IGFBP3;FN1;S100A4
LJP006 PC3 24H-MK-2206-0.12	4/27	0.01505509371257633	0.9999951904008029	0	0	4.684220127698389	19.655169836322354	CA12;CSTA;SPP1;LPL
LJP006 SKBR3 3H-radicicol-1.11	4/27	0.01505509371257633	0.9999951904008029	0	0	4.684220127698389	19.655169836322354	CA12;CXCL9;POSTN;LYZ
LJP005 SKBR3 24H-AZD-8330-10	5/41	0.015226457999170762	0.9999951904008029	0	0	3.743580765639589	15.665839946348026	CA12;CSTA;NNMT;GDF15;FCGR2B
LJP006 MCF10A 3H-MK-2206-10	5/41	0.015226457999170762	0.9999951904008029	0	0	3.743580765639589	15.665839946348026	CA12;FCGBP;SPP1;MMP9;TMEM45A
LJP007 A375 24H-XMD-885-10	7/73	0.015785379041233377	0.9999951904008029	0	0	2.8622957099080693	11.874723618756356	SPARC;COL4A2;COL4A1;SERPINH1;IGFBP7;HOXB7;HOXB6
LJP008 HEPG2 24H-(+)-JQ1-10	6/57	0.016200646608028915	0.9999951904008029	0	0	3.173005527596733	13.081362972398656	CA12;CD163;SPARC;COL4A1;IGFBP2;SPP1
LJP005 MDAMB231 3H-torin-2-1.11	6/57	0.016200646608028915	0.9999951904008029	0	0	3.173005527596733	13.081362972398656	SPARC;CSRP2;IL1R2;FN1;CHI3L1;CD99
LJP008 HA1E 24H-I-BET151-0.37	9/109	0.016755032526703448	0.9999951904008029	0	0	2.4313943661971833	9.942109220374437	POSTN;CXCL9;PRDX4;SRPX2;IGFBP3;DPEP1;CHI3L1;PI3;EMP3
LJP008 PC3 24H-epigallocatechin-0.12	5/42	0.016787093334012668	0.9999951904008029	0	0	3.642213642213642	14.886255064579192	ABCC3;MS4A6A;APOC1;TFPI;LYZ
LJP008 HEPG2 24H-(+)-JQ1-0.12	5/42	0.016787093334012668	0.9999951904008029	0	0	3.642213642213642	14.886255064579192	CA12;CD163;IL1R2;IGFBP2;SPP1
LJP008 PC3 24H-I-BET-1.11	7/74	0.01691189682861556	0.9999951904008029	0	0	2.819428140197887	11.50252798186923	CA12;POSTN;ENPEP;LOX;IGFBP3;S100A4;CD99
LJP006 BT20 24H-XMD11-85H-10	7/74	0.01691189682861556	0.9999951904008029	0	0	2.819428140197887	11.50252798186923	SFRP4;POSTN;SPARC;COL4A1;F2R;IGFBP7;VIM
LJP009 PC3 24H-GSK-429286A-10	4/28	0.017076578540677293	0.9999951904008029	0	0	4.488811188811189	18.269674444216452	CA12;CXCL9;TMEM45A;APOBEC3B
LJP005 MCF7 24H-TG-101348-0.37	4/28	0.017076578540677293	0.9999951904008029	0	0	4.488811188811189	18.269674444216452	SFRP4;VNN1;SPP1;PI3
LJP006 HEPG2 24H-NVP-TAE684-0.37	4/28	0.017076578540677293	0.9999951904008029	0	0	4.488811188811189	18.269674444216452	POSTN;LPL;CHI3L1;TGFBI
LJP005 BT20 3H-NVP-AUY922-0.12	3/16	0.018262784430416013	0.9999951904008029	0	0	6.2101418134937685	24.858514113368617	SFRP4;IGFBP2;PI3
LJP005 SKBR3 3H-SB590885-0.37	3/16	0.018262784430416013	0.9999951904008029	0	0	6.2101418134937685	24.858514113368617	CXCL9;SPARC;TFPI
LJP006 MDAMB231 3H-geldanamycin-0.12	3/16	0.018262784430416013	0.9999951904008029	0	0	6.2101418134937685	24.858514113368617	GDF15;SPP1;CHI3L1
LJP009 A549 24H-SYK-inhibitor-10	5/43	0.018450297582297853	0.9999951904008029	0	0	3.546181630546956	14.15874995982463	CA12;PRDX4;TGFBI;TFPI;LYZ
LJP005 HCC515 24H-buparlisib-0.37	5/43	0.018450297582297853	0.9999951904008029	0	0	3.546181630546956	14.15874995982463	SPARC;LOX;IGFBP3;TGFBI;LYZ
LJP008 HCC515 24H-belinostat-0.37	5/43	0.018450297582297853	0.9999951904008029	0	0	3.546181630546956	14.15874995982463	CXCL9;CSTA;IL2RA;IGFBP2;HOXB6
LJP005 SKBR3 24H-AKT-inhibitor-1-2-0.12	4/29	0.019259588603211097	0.9999951904008029	0	0	4.309034965034965	17.019594621037395	CSRP2;VNN1;TFPI;CPVL
LJP006 BT20 24H-saracatinib-0.37	4/29	0.019259588603211097	0.9999951904008029	0	0	4.309034965034965	17.019594621037395	ANXA2;COL4A2;TGFBI;MMP9
LJP007 A375 24H-HG-14-10-04-0.37	4/29	0.019259588603211097	0.9999951904008029	0	0	4.309034965034965	17.019594621037395	CA12;SRPX;CSTA;CSRP2
LJP005 PC3 24H-TWS-119-3.33	5/44	0.02021848003331748	0.9999951904008029	0	0	3.4550743374272788	13.478791720104415	SRPX;MS4A6A;IGFBP3;SPP1;TGFBI
LJP005 SKBR3 24H-dasatinib-1.11	5/44	0.02021848003331748	0.9999951904008029	0	0	3.4550743374272788	13.478791720104415	TNFRSF12A;IGFBP3;SPP1;FN1;TGFBI
LJP005 SKBR3 24H-NU-7441-3.33	5/44	0.02021848003331748	0.9999951904008029	0	0	3.4550743374272788	13.478791720104415	NNMT;APOC1;SPP1;FN1;TFPI
LJP006 HME1 3H-geldanamycin-0.37	5/44	0.02021848003331748	0.9999951904008029	0	0	3.4550743374272788	13.478791720104415	CA12;SRPX;IGFBP2;SPP1;PI3
