Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 A375 24H-palbociclib-10	52/154	1.9517201659572E-42	4.464169535593903E-38	0	0	19.806598944798804	1902.2230449086712	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;CDC25C;MMP9;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;TMSB15A;BIRC5;KIF20A;DTL;NCAPG;CDCA8;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;BUB1;E2F8;CDKN2C;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;EZH2;APOBEC3B
LJP006 HCC515 24H-palbociclib-0.37	48/129	1.4240078131717423E-41	1.6285665355338631E-37	0	0	22.86439427475284	2150.453751492825	TOP2A;SPARC;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;HMMR;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;EXO1;NUSAP1;PBK;E2F2;OIP5;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;RRM2;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CDK1;BIRC5;KIF2C;KIF20A;DTL;EZH2;APOBEC3B
LJP006 MCF10A 24H-palbociclib-3.33	46/121	2.2172538267422467E-40	1.6905082259691802E-36	0	0	23.57804232804233	2152.8434774859443	TOP2A;SPARC;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;HMMR;MKI67;FOXM1;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;EFEMP1;EXO1;NUSAP1;PBK;E2F2;OIP5;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;CDKN2C;RRM2;UBE2C;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIF4A;CDK1;BIRC5;KIF20A;DTL;EZH2
LJP006 BT20 24H-palbociclib-10	52/168	3.1916946463663042E-40	1.8250907911584118E-36	0	0	17.403545215344135	1582.7280316936515	TOP2A;SPARC;HJURP;KIF14;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;MMP9;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;TMSB15A;BIRC5;KIF20A;DTL;NCAPG;CDCA8;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;IGF2BP3;BUB1;E2F8;CDKN2C;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;EZH2;APOBEC3B
LJP006 BT20 24H-palbociclib-3.33	51/163	9.952393331706679E-40	4.552821853522538E-36	0	0	17.64668622960206	1584.7710800704924	TOP2A;HJURP;KIF14;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;EMP3;CDC25C;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;TMSB15A;BIRC5;KIF20A;DTL;NCAPG;CDCA8;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;BUB1;E2F8;CDKN2C;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;EZH2;APOBEC3B
LJP006 HCC515 24H-palbociclib-1.11	47/139	1.8493765458256555E-38	7.050131622111703E-35	0	0	19.660860921427954	1708.2021479583275	TOP2A;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;HMMR;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;E2F8;RRM2;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;RAD51;ESPL1;KIF4A;CDK1;BIRC5;KIF2C;KIF20A;HOXB7;DTL;EZH2;APOBEC3B
LJP006 PC3 24H-palbociclib-10	41/98	3.8232745081714237E-38	1.2492822546486424E-34	0	0	27.405404473856546	2361.170893933179	TOP2A;HJURP;KIF14;BUB1B;NCAPG;MCM10;HMMR;MKI67;FOXM1;CENPA;NCAPH;SKA1;AURKB;LMNB1;AURKA;NUSAP1;PBK;SPP1;OIP5;MYBL2;GTSE1;BUB1;CEP55;DLGAP5;E2F8;CDKN2C;RRM2;UBE2C;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;KIF4A;CDK1;BIRC5;KIF20A;EZH2;APOBEC3B
LJP006 HCC515 24H-palbociclib-3.33	48/150	5.832455962735925E-38	1.6675720654457354E-34	0	0	18.137333020857746	1555.0005349051296	TOP2A;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;HMMR;MKI67;FOXM1;TYMS;CENPA;NCAPH;SKA1;AURKB;LMNB1;AURKA;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;E2F8;CDKN2C;RRM2;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;RAD51;ESPL1;KIF4A;CDK1;BIRC5;KIF2C;KIF20A;DTL;EZH2;APOBEC3B
LJP006 LNCAP 24H-palbociclib-1.11	47/143	8.411467994356678E-38	2.137727860388003E-34	0	0	18.83776507620941	1608.1543385077946	TOP2A;SPARC;HJURP;NCAPG;CDCA8;MCM10;HMMR;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;CDC20;EFEMP1;NUSAP1;PBK;SPP1;E2F2;OIP5;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;RRM2;UBE2C;SOX11;KIF23;MMP9;NDC80;CCNA2;TPX2;ASPM;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CDK1;ID3;BIRC5;KIF20A;DTL;EZH2
LJP006 BT20 24H-palbociclib-0.37	51/178	1.3960374776474684E-37	2.934490731949965E-34	0	0	15.55036056364698	1319.6348628359324	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;GTSE1;CEP55;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;TMSB15A;BIRC5;TAGLN2;KIF2C;KIF20A;DTL;NCAPG;CDCA8;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;BUB1;HLA-DQA1;E2F8;CDKN2C;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;EZH2;APOBEC3B
LJP005 A549 24H-dovitinib-10	55/215	1.4112446138000968E-37	2.934490731949965E-34	0	0	13.395833333333334	1136.6522174719296	TOP2A;ARHGAP11A;ERCC6L;KIF14;HJURP;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EFEMP1;EXO1;PBK;NUSAP1;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;BIRC5;KIF2C;KIF20A;HOXB7;DTL;LTF;NCAPG;CDCA8;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;BUB1;E2F8;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;ID3;CENPM;APOBEC3B
LJP006 A549 24H-palbociclib-10	46/138	2.467863579172953E-37	4.7039536372019125E-34	0	0	19.20436507936508	1618.7800183130341	TOP2A;HJURP;KIF14;NCAPG;CDCA8;MCM10;HMMR;MKI67;FOXM1;CENPA;NCAPH;HOXC10;AURKB;LMNB1;AURKA;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;GTSE1;BUB1;CEP55;DLGAP5;HOXC6;E2F8;RRM2;UBE2C;KIF23;MMP9;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;RAD51;ESPL1;TMSB15A;KIF4A;CDK1;BIRC5;KIF20A;DTL;EZH2
LJP006 HME1 24H-palbociclib-1.11	44/124	4.048415955631516E-37	7.123032165627667E-34	0	0	21.054347826086957	1764.2979802467673	TOP2A;HJURP;KIF14;NCAPG;CDCA8;HMMR;MKI67;FOXM1;TYMS;CENPA;LMNB1;AURKA;CDC20;NUSAP1;PBK;SPP1;OIP5;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;HOXC6;CDKN2C;RRM2;UBE2C;KIF23;CDC25C;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIFC1;KIF4A;CDK1;BIRC5;KIF20A;DTL;EZH2;LTF
LJP006 HCC515 24H-PHA-793887-1.11	50/173	4.58966771843573E-37	7.498533551698603E-34	0	0	15.7130081300813	1314.7363149350804	TOP2A;SPARC;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;ESPL1;TMSB15A;BIRC5;KIF20A;DTL;CD44;LTF;NCAPG;CDCA8;HMMR;TYMS;CENPA;NCAPH;AURKA;EIF4EBP1;BUB1;TFAP2B;RRM2;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;EZH2;APOBEC3B
LJP006 HME1 24H-palbociclib-3.33	51/183	6.448734108755266E-37	9.833459684637279E-34	0	0	14.957460375296046	1246.4315668799984	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;CDC25C;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;TMSB15A;BIRC5;KIF20A;DTL;NCAPG;CDCA8;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;SPP1;BUB1;E2F8;CDKN2C;RRM2;UBE2C;NDC80;TPX2;KIF18B;KIF4A;CDK1;CENPM;EZH2;APOBEC3B
LJP005 A375 24H-dovitinib-1.11	50/175	8.57717331927126E-37	1.1707955523575131E-33	0	0	15.46	1283.8995707274348	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;BIRC5;KIF20A;DTL;LTF;NCAPG;CDCA8;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;IGF2BP3;BUB1;E2F8;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;EZH2;APOBEC3B
LJP006 BT20 24H-PHA-793887-3.33	51/184	8.70175507807359E-37	1.1707955523575131E-33	0	0	14.844229813009477	1232.5479260999539	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EFEMP1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;CDC25C;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;TMSB15A;BIRC5;KIF20A;DTL;NCAPG;CDCA8;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;BUB1;E2F8;CDKN2C;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;APOBEC3B
LJP006 A375 24H-palbociclib-0.37	41/107	2.951328077910617E-36	3.750318173669419E-33	0	0	23.65731975948086	1935.424446597262	TOP2A;HJURP;BUB1B;NCAPG;CDCA8;MCM10;HMMR;MKI67;FOXM1;TYMS;CENPA;AURKB;LMNB1;AURKA;CDC20;NUSAP1;PBK;MYBL2;GTSE1;BUB1;CEP55;DLGAP5;CDKN2C;RRM2;UBE2C;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CDK1;BIRC5;KIF20A;DTL;EZH2;APOBEC3B
LJP006 MCF10A 24H-canertinib-3.33	51/193	1.1793506266862884E-35	1.419751941273446E-32	0	0	13.896920601766913	1117.6669863632592	TOP2A;KIF14;HJURP;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;PBK;NUSAP1;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;MMP9;CCNA2;ASPM;NEIL3;COL4A2;ESPL1;BIRC5;KIF20A;DTL;LTF;NCAPG;CDCA8;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;SPP1;EIF4EBP1;BUB1;RRM2;UBE2C;HMGA2;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;VIM;EZH2;APOBEC3B
LJP006 MCF7 24H-mitoxantrone-0.12	46/149	1.2950229714895108E-35	1.481053021343979E-32	0	0	17.143666204345816	1377.1841332788329	TOP2A;HJURP;KIF14;NCAPG;CDCA8;MCM10;HMMR;MKI67;FOXM1;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;EFEMP1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;CDKN2C;RRM2;UBE2C;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;RAD51;ESPL1;KIFC1;TMSB15A;KIF4A;CDK1;BIRC5;CENPM;KIF20A;DTL
LJP005 A375 24H-GDC-0980-10	46/150	1.8215191558791923E-35	1.9839813167821315E-32	0	0	16.977945665445667	1358.0795817865828	TOP2A;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;HMMR;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;EFEMP1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;E2F8;RRM2;UBE2C;CCNA2;TPX2;ASPM;NEIL3;KIF18B;RAD51;ESPL1;KIFC1;TMSB15A;KIF4A;CDK1;ID3;BIRC5;KIF20A;DTL
LJP006 HT29 24H-palbociclib-0.37	51/195	2.061114627766498E-35	2.1429034036774142E-32	0	0	13.70248830995324	1094.3798037419547	TOP2A;KIF14;HJURP;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;PBK;NUSAP1;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;ESPL1;TMSB15A;KIFC1;BIRC5;KIF20A;DTL;NCAPG;CDCA8;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;BUB1;E2F8;CDKN2C;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;EZH2;APOBEC3B
LJP005 A549 24H-mitoxantrone-0.12	43/127	2.731314259448684E-35	2.6030562940154065E-32	0	0	19.55334836104067	1556.1668256896162	TOP2A;HJURP;KIF14;NCAPG;CDCA8;MCM10;HMMR;MKI67;FOXM1;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;E2F8;VCAM1;RRM2;UBE2C;KIF23;EMP3;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIF4A;CDK1;BIRC5;DTL;LTF
LJP006 MCF7 24H-palbociclib-10	43/127	2.731314259448684E-35	2.6030562940154065E-32	0	0	19.55334836104067	1556.1668256896162	TOP2A;HJURP;KIF14;NCAPG;MCM10;HMMR;MKI67;NID1;FOXM1;TYMS;CENPA;NCAPH;LMNB1;AURKA;CDC20;EXO1;NUSAP1;PBK;E2F2;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;RRM2;UBE2C;MMP9;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;RAD51;ESPL1;KIFC1;TMSB15A;KIF4A;CDK1;BIRC5;CENPM;DTL
LJP006 BT20 24H-palbociclib-0.12	42/120	3.478954759579362E-35	3.1829652886343496E-32	0	0	20.533615990308903	1629.2140190413572	TOP2A;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;HMMR;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;NUSAP1;PBK;OIP5;MYBL2;GTSE1;BUB1;CEP55;DLGAP5;RRM2;UBE2C;NDC80;CCNA2;TPX2;ASPM;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CDK1;BIRC5;KIF20A;DTL;EZH2;APOBEC3B
LJP005 MCF7 24H-mitoxantrone-0.12	45/144	4.010421752145978E-35	3.475031951174417E-32	0	0	17.417641764176416	1379.5047797132345	TOP2A;HJURP;NCAPG;CDCA8;MCM10;HMMR;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;CDKN2C;RRM2;UBE2C;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;RAD51;ESPL1;KIFC1;KIF4A;CDK1;BIRC5;KIF20A;DTL;APOBEC3B;LTF
LJP006 MDAMB231 24H-palbociclib-0.37	41/113	4.1020357050543985E-35	3.475031951174417E-32	0	0	21.679163938004802	1716.5344106857333	TOP2A;HJURP;KIF14;NCAPG;CDCA8;MCM10;HMMR;MKI67;FOXM1;CENPA;NCAPH;AURKB;LMNB1;AURKA;EXO1;NUSAP1;PBK;OIP5;MYBL2;GTSE1;BUB1;CEP55;DLGAP5;E2F8;CDKN2C;RRM2;UBE2C;KIF23;NDC80;CCNA2;TPX2;ASPM;TMSB15A;KIF4A;CDK1;BIRC5;KIF20A;DTL;EZH2;APOBEC3B;LTF
LJP006 LNCAP 24H-mitoxantrone-0.04	47/162	5.650733855912288E-35	4.6160441245100623E-32	0	0	15.710000864378944	1238.870132555543	TOP2A;HJURP;KIF14;NCAPG;CDCA8;MCM10;HMMR;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;EXO1;NUSAP1;EIF4EBP1;PBK;SPP1;OIP5;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;HOXC6;CDKN2C;RRM2;UBE2C;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIF4A;CDK1;BIRC5;KIF20A;DTL;EZH2;APOBEC3B
LJP006 MCF10A 24H-palbociclib-10	44/137	6.011385622546433E-35	4.741324942913951E-32	0	0	18.099111734455352	1426.1525034347817	TOP2A;HJURP;KIF14;NCAPG;CDCA8;MCM10;HMMR;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;CDKN2C;RRM2;UBE2C;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIF4A;CDK1;BIRC5;KIF20A;DTL;EZH2;APOBEC3B
LJP006 LNCAP 24H-palbociclib-0.37	39/100	6.825715251249826E-35	5.111085562884117E-32	0	0	24.258798241955663	1908.4343479408683	TOP2A;HJURP;BUB1B;NCAPG;CDCA8;HMMR;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;CDC20;EFEMP1;NUSAP1;PBK;E2F2;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;RRM2;UBE2C;NDC80;CCNA2;TPX2;ASPM;ESPL1;KIFC1;KIF4A;CDK1;ID3;BIRC5;KIF20A;DTL;EZH2
LJP006 MCF10A 24H-mitoxantrone-0.37	46/154	6.927104116180983E-35	5.111085562884117E-32	0	0	16.345752498530278	1285.6757578451884	TOP2A;HJURP;KIF14;NCAPG;CDCA8;MCM10;HMMR;MKI67;FOXM1;CENPA;NCAPH;SKA1;AURKB;LMNB1;AURKA;CDC20;EXO1;NUSAP1;EIF4EBP1;PBK;SPP1;OIP5;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;RRM2;UBE2C;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;RAD51;KIF4A;CDK1;BIRC5;CENPM;KIF20A;DTL;EZH2;APOBEC3B
LJP006 A375 24H-NVP-TAE684-0.37	42/122	7.726369303830871E-35	5.377769270795011E-32	0	0	20.018208661417322	1572.3469984227079	TOP2A;KIF14;BUB1B;NCAPG;MCM10;HMMR;MKI67;FOXM1;CENPA;AURKB;LMNB1;AURKA;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;RRM2;UBE2C;KIF23;MMP9;CCNA2;TPX2;ASPM;NEIL3;KIF18B;RAD51;COL4A2;ESPL1;KIF4A;CDK1;BIRC5;KIF20A;DTL;EZH2;APOBEC3B
LJP006 HCC515 24H-palbociclib-10	45/146	7.993886031872967E-35	5.377769270795011E-32	0	0	17.070973433977063	1340.272873414843	TOP2A;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;HMMR;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;EFEMP1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;RRM2;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;TMSB15A;KIF4A;CDK1;BIRC5;KIF20A;DTL;EZH2;APOBEC3B
LJP006 MCF10A 24H-gefitinib-0.37	45/146	7.993886031872967E-35	5.377769270795011E-32	0	0	17.070973433977063	1340.272873414843	TOP2A;HJURP;KIF14;NCAPG;CDCA8;MCM10;HMMR;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;EXO1;NUSAP1;SPP1;MYBL2;IGF2BP3;GTSE1;BUB1;CEP55;DLGAP5;CDKN2C;RRM2;UBE2C;HMGA2;KIF23;MMP9;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;COL4A2;ESPL1;KIF4A;CDK1;BIRC5;KIF20A;DTL;EZH2
LJP005 MCF10A 24H-mitoxantrone-0.37	50/192	1.236841561303651E-34	8.082936294770974E-32	0	0	13.597183098591549	1061.604586857584	TOP2A;HJURP;KIF14;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;GTSE1;CEP55;DLGAP5;KIF23;CDC25C;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;TMSB15A;BIRC5;KIF20A;DTL;LTF;NCAPG;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;EIF4EBP1;IGF2BP3;BUB1;CDKN2C;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;EZH2;APOBEC3B
LJP006 HS578T 24H-palbociclib-1.11	46/156	1.328555209253374E-34	8.441123139236784E-32	0	0	16.046897546897547	1251.7190048228713	TOP2A;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;HMMR;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;CDKN2C;RRM2;UBE2C;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;RAD51;ESPL1;KIF4A;CDK1;BIRC5;KIF20A;DTL;EZH2;APOBEC3B
LJP006 A375 24H-mitoxantrone-0.12	53/222	1.4242641488347444E-34	8.773852080061037E-32	0	0	12.166406724369889	948.1796356587141	TOP2A;ARHGAP11A;ERCC6L;SPARC;KIF14;HJURP;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;PBK;NUSAP1;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;CDC25C;CCNA2;ASPM;NEIL3;ESPL1;TMSB15A;KIFC1;BIRC5;KIF20A;HOXB7;DTL;NCAPG;CDCA8;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;BUB1;E2F8;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;APOBEC3B
LJP005 A375 24H-dovitinib-3.33	48/174	1.4576416694019996E-34	8.773852080061037E-32	0	0	14.66439005881237	1142.5183691679024	TOP2A;SPARC;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;HMMR;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;EXO1;NUSAP1;PBK;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;RRM2;UBE2C;HMGA2;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;RAD51;COL4A2;ESPL1;TMSB15A;KIF4A;CDK1;BIRC5;KIF20A;DTL;EZH2;LTF
LJP005 MCF10A 24H-mitoxantrone-1.11	45/149	2.1993842828412304E-34	1.289910684651986E-31	0	0	16.575971058644328	1284.633044695945	TOP2A;HJURP;KIF14;NCAPG;CDCA8;MCM10;HMMR;MKI67;NID1;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;EXO1;NUSAP1;EIF4EBP1;PBK;OIP5;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;HOXC6;RRM2;UBE2C;NDC80;CCNA2;TPX2;ASPM;KIF18B;RAD51;ESPL1;KIF4A;CDK1;BIRC5;KIF20A;DTL;APOBEC3B;LTF
LJP006 A375 24H-palbociclib-3.33	42/125	2.4773012671916943E-34	1.4165827971118907E-31	0	0	19.291670619485817	1492.8034279924382	TOP2A;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;HMMR;MKI67;FOXM1;CENPA;NCAPH;AURKB;LMNB1;AURKA;EXO1;NUSAP1;PBK;MYBL2;GTSE1;BUB1;CEP55;DLGAP5;RRM2;UBE2C;KIF23;MMP9;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIFC1;KIF4A;CDK1;BIRC5;KIF20A;DTL;EZH2;APOBEC3B
LJP005 MCF10A 24H-mitoxantrone-10	43/133	2.5859489639944054E-34	1.4426441622791228E-31	0	0	18.244137628753013	1410.9614783642282	TOP2A;HJURP;KIF14;NCAPG;CDCA8;MCM10;HMMR;MKI67;FOXM1;TYMS;CENPA;NCAPH;LMNB1;AURKA;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;GTSE1;BUB1;CEP55;DLGAP5;HOXC6;CDKN2C;RRM2;UBE2C;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;TMSB15A;KIF4A;CDK1;BIRC5;KIF20A;DTL;LTF
LJP006 HME1 24H-palbociclib-10	52/215	3.0766296519841423E-34	1.6755178578531735E-31	0	0	12.355236898514303	953.3802219880154	TOP2A;KIF14;HJURP;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;PBK;NUSAP1;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;CDC25C;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;BIRC5;KIF20A;DTL;LTF;NCAPG;CDCA8;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;BUB1;E2F8;CDKN2C;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;EZH2;APOBEC3B
