Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 LNCAP 24H-palbociclib-1.11	35/143	8.83079872476633E-22	2.0358523380076297E-17	0	0	10.620039682539682	514.8449380297175	SPARC;TROAP;HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;CDC20;CCNB2;EFEMP1;CSRP2;CDC45;NUSAP1;PBK;SPP1;E2F2;OIP5;MYBL2;TK1;BUB1;RRM2;UBE2C;IGFBP2;SOX11;MMP9;CCNA2;CDK2;ID3;BIRC5;CHI3L1;ASF1B;EZH2
LJP006 BT20 24H-palbociclib-10	37/168	3.0294495493664997E-21	3.4920464955547643E-17	0	0	9.276268139540942	438.2656927067647	SPARC;TROAP;HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CCNB2;CSRP2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;IGF2BP3;TK1;BUB1;CDKN2C;RRM2;UBE2C;MMP9;CCNA2;NEIL3;KIF18A;RAD51;CDK2;BIRC5;CENPM;PLP2;ASF1B;EZH2
LJP006 MCF10A 24H-palbociclib-3.33	31/121	4.556444998460968E-20	3.5014760998173054E-16	0	0	11.22179054054054	499.7642276261151	SPARC;HJURP;FOXM1;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CCNB2;EFEMP1;CDC45;EXO1;NUSAP1;PBK;E2F2;OIP5;MYBL2;TK1;BUB1;POSTN;ANXA1;CDKN2C;RRM2;UBE2C;LUM;CCNA2;NEIL3;BIRC5;ASF1B;EZH2
LJP006 BT20 24H-palbociclib-3.33	35/163	8.810703096632532E-20	5.07804872974416E-16	0	0	8.951357886904763	392.7474031028073	TROAP;HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CDKN2C;RRM2;UBE2C;EMP3;CDC25C;CCNA2;NEIL3;WEE1;RAD51;CDK2;BIRC5;CENPM;PLP2;ASF1B;EZH2
LJP006 MCF10A 24H-mitoxantrone-0.37	34/154	1.1696540281407338E-19	5.393040792951296E-16	0	0	9.263412563667233	403.8144670272674	TROAP;HJURP;TTK;FOXM1;CENPA;NCAPH;SKA1;AURKB;LMNB1;AURKA;CDC20;CCNB2;CDC45;EXO1;NUSAP1;EIF4EBP1;PBK;SPP1;OIP5;MYBL2;TK1;BUB1;RRM2;UBE2C;IGFBP2;CCNA2;NEIL3;KIF18A;RAD51;CKS2;BIRC5;CENPM;ASF1B;EZH2
LJP006 HME1 24H-palbociclib-1.11	30/124	1.0747614424492816E-18	3.549609142452918E-15	0	0	10.377991460658032	429.383511854428	TROAP;HJURP;TTK;FOXM1;TYMS;CENPA;LMNB1;AURKA;CDC20;CCNB2;NUSAP1;PBK;SPP1;OIP5;MYBL2;TK1;BUB1;HOXC6;CDKN2C;RRM2;UBE2C;CDC25C;CCNA2;NEIL3;KIF18A;CDK2;CKS2;BIRC5;ASF1B;EZH2
LJP006 A375 24H-palbociclib-10	33/154	1.0777853733482443E-18	3.549609142452918E-15	0	0	8.901078582434515	368.2520702391399	TROAP;HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CDKN2C;RRM2;UBE2C;CDC25C;MMP9;CCNA2;NEIL3;RAD51;BIRC5;CENPM;S100A9;ASF1B;EZH2
LJP006 LNCAP 24H-palbociclib-10	35/180	2.5784559940238984E-18	7.0098346463301714E-15	0	0	7.894909688013136	319.73863887717755	TROAP;HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;HOXC6;CDKN2C;RRM2;UBE2C;IGFBP2;F2R;CCNA2;NEIL3;KIF18A;WEE1;RAD51;CDK2;BIRC5;HOXB7;ASF1B;EZH2
LJP006 HME1 24H-palbociclib-10	38/215	2.7365538221988176E-18	7.0098346463301714E-15	0	0	7.046211791974504	284.9476230360974	TROAP;HJURP;TTK;TYMS;FOXM1;CENPA;NCAPH;SKA1;AURKB;LMNB1;AURKA;CDC20;CCNB2;CSRP2;CDC45;EXO1;PBK;NUSAP1;OIP5;MYBL2;TK1;BUB1;CDKN2C;RRM2;UBE2C;LUM;CDC25C;CCNA2;NEIL3;KIF18A;WEE1;RAD51;CDK2;CKS2;CENPM;BIRC5;ASF1B;EZH2
LJP006 LNCAP 24H-mitoxantrone-0.04	33/162	5.527182731372593E-18	1.2742367068906376E-14	0	0	8.34560504532913	331.62808455440666	HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CCNB2;EXO1;NUSAP1;EIF4EBP1;PBK;SPP1;OIP5;MYBL2;TK1;BUB1;HOXC6;CDKN2C;RRM2;UBE2C;CCNA2;NEIL3;KIF18A;MTHFD2;CDK2;CKS2;BIRC5;ASF1B;EZH2
LJP006 BT20 24H-palbociclib-0.37	34/178	1.4131923990205076E-17	2.961794324274435E-14	0	0	7.709889643463497	299.12903331667076	TROAP;HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;BUB1;HLA-DQA1;ANXA1;CDKN2C;RRM2;UBE2C;CCNA2;NEIL3;KIF18A;RAD51;CDK2;BIRC5;TAGLN2;PLP2;ASF1B;EZH2
LJP006 LNCAP 24H-JW-7-24-1-3.33	34/179	1.6944249940946255E-17	3.255272817821458E-14	0	0	7.656319887594403	295.66106656727504	HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;EIF4EBP1;PBK;SPP1;OIP5;MYBL2;IGF2BP3;TK1;BUB1;HOXC6;RRM2;UBE2C;CDC25C;CCNA2;NEIL3;RAD51;MTHFD2;CDK2;CKS2;BIRC5;ASF1B;EZH2
LJP006 A549 24H-mitoxantrone-0.37	33/171	3.084985552985866E-17	4.697128376604632E-14	0	0	7.79767870302137	296.4474672561633	HJURP;TTK;FOXM1;CENPA;NCAPH;SKA1;AURKB;LMNB1;AURKA;CDC20;CCNB2;EXO1;NUSAP1;PBK;OIP5;MYBL2;IGF2BP3;TK1;BUB1;HOXC6;RRM2;UBE2C;LUM;CCNA2;SFRP4;NEIL3;KIF18A;RAD51;CDK2;CKS2;BIRC5;CD44;EZH2
LJP005 A549 24H-TG-101348-10	35/194	3.0981633658409584E-17	4.697128376604632E-14	0	0	7.194519317160826	273.48624922661884	TROAP;HJURP;TTK;TYMS;FOXM1;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC20;EFEMP1;CDC45;EXO1;PBK;OIP5;MYBL2;TK1;PITX1;GBP1;BUB1;RRM2;UBE2C;CCNA2;NEIL3;KIF18A;RAD51;COL4A2;COL4A1;CDK2;ID3;BIRC5;HOXB7;S100A9;ASF1B
LJP006 LNCAP 24H-palbociclib-0.37	26/100	3.258693774308458E-17	4.697128376604632E-14	0	0	11.36036036036036	431.2690451109186	HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;CDC20;EFEMP1;NUSAP1;PBK;E2F2;MYBL2;TK1;BUB1;RRM2;UBE2C;IGFBP2;CCNA2;CDK2;ID3;BIRC5;S100A9;ASF1B;EZH2
LJP006 HME1 24H-palbociclib-3.33	34/183	3.457158210243638E-17	4.697128376604632E-14	0	0	7.449231435375623	282.3519411468965	TROAP;HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;SPP1;OIP5;MYBL2;TK1;BUB1;CDKN2C;RRM2;UBE2C;CDC25C;CCNA2;NEIL3;KIF18A;CDK2;CKS2;BIRC5;CENPM;ASF1B;EZH2
LJP006 HCC515 24H-palbociclib-0.37	29/129	3.4974499203477057E-17	4.697128376604632E-14	0	0	9.411329966329966	356.61329133063646	SPARC;TROAP;HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CCNB2;EXO1;NUSAP1;PBK;E2F2;OIP5;MYBL2;TK1;BUB1;RRM2;CCNA2;NEIL3;KIF18A;CKS2;BIRC5;ASF1B;EZH2
LJP006 HT29 24H-palbociclib-0.37	35/195	3.667403087485181E-17	4.697128376604632E-14	0	0	7.1491815476190474	270.55693494982216	TROAP;HJURP;TTK;TYMS;FOXM1;CENPA;NCAPH;SKA1;AURKB;LMNB1;AURKA;CDC20;CCNB2;CSRP2;CDC45;MDK;EXO1;PBK;NUSAP1;OIP5;MYBL2;TK1;BUB1;CDKN2C;RRM2;UBE2C;CCNA2;NEIL3;KIF18A;RAD51;CENPM;BIRC5;PLP2;ASF1B;EZH2
LJP006 BT20 24H-PHA-793887-3.33	34/184	4.1188934622284664E-17	4.9977352567481616E-14	0	0	7.39918505942275	279.1591326543414	TROAP;HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CCNB2;EFEMP1;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CDKN2C;RRM2;UBE2C;CDC25C;CCNA2;NEIL3;WEE1;RAD51;CDK2;CKS2;BIRC5;CENPM;ASF1B
LJP006 A549 24H-JW-7-24-1-10	33/178	1.086207586338831E-16	1.2520714847727707E-13	0	0	7.41853886616014	272.69561566128715	HJURP;TTK;FOXM1;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CSRP2;EXO1;NUSAP1;EIF4EBP1;PBK;OIP5;MYBL2;PI3;TK1;PITX1;BUB1;HLA-DQA1;S100A10;RRM2;UBE2C;CCNA2;NEIL3;RAD51;CDK2;ID3;BIRC5;S100A9;ASF1B;EZH2
LJP006 A549 24H-PI-103-10	31/157	1.446241722805153E-16	1.5876979370261904E-13	0	0	8.000603281853282	291.8011488258264	HJURP;TTK;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CCNB2;CSRP2;CDC45;EXO1;NUSAP1;EIF4EBP1;PBK;E2F2;OIP5;MYBL2;TK1;GBP1;BUB1;RRM2;UBE2C;CCNA2;NEIL3;RAD51;CDK2;BIRC5;ASF1B;EZH2
LJP005 MCF10A 24H-mitoxantrone-0.37	34/192	1.6019090677056402E-16	1.678655074858447E-13	0	0	7.021619995271969	255.37748062225464	TROAP;HJURP;TTK;FOXM1;CENPA;NCAPH;SKA1;AURKB;LMNB1;AURKA;CDC20;CCNB2;CDC45;EXO1;NUSAP1;EIF4EBP1;PBK;OIP5;MYBL2;IGF2BP3;BUB1;CDKN2C;RRM2;UBE2C;CDC25C;CCNA2;NEIL3;KIF18A;RAD51;CKS2;BIRC5;CHI3L1;ASF1B;EZH2
LJP006 MCF10A 24H-canertinib-3.33	34/193	1.888558952421656E-16	1.892992960396907E-13	0	0	6.977095813178717	252.609573239008	TROAP;HJURP;TTK;TYMS;FOXM1;CENPA;NCAPH;SKA1;AURKB;LMNB1;AURKA;CDC20;CCNB2;CDC45;PLAU;EXO1;PBK;SPP1;NUSAP1;EIF4EBP1;MYBL2;TK1;BUB1;RRM2;UBE2C;MMP9;CCNA2;NEIL3;RAD51;COL4A2;CKS2;BIRC5;ASF1B;EZH2
LJP006 A549 24H-palbociclib-10	29/138	2.417167603328392E-16	2.319841140452956E-13	0	0	8.63021653847342	310.331928794877	HJURP;TTK;FOXM1;CENPA;NCAPH;HOXC10;AURKB;LMNB1;AURKA;CDC20;CCNB2;EXO1;NUSAP1;PBK;OIP5;MYBL2;BUB1;HOXC6;RRM2;UBE2C;MMP9;CCNA2;NEIL3;RAD51;CDK2;CKS2;BIRC5;ASF1B;EZH2
LJP006 HT29 24H-palbociclib-10	31/160	2.5396640511443637E-16	2.319841140452956E-13	0	0	7.813324952859837	280.5712616210169	TROAP;HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;RRM2;UBE2C;CCNA2;NEIL3;RAD51;CKS2;BIRC5;CENPM;IDO1;ASF1B;EZH2
LJP006 LNCAP 24H-mitoxantrone-0.37	34/195	2.616286529529663E-16	2.319841140452956E-13	0	0	6.889706735281401	247.19995988390377	TROAP;HJURP;TTK;TYMS;FOXM1;CENPA;NCAPH;AURKB;LMNB1;CDC20;CCNB2;EFEMP1;CDC45;EXO1;PBK;NUSAP1;EIF4EBP1;OIP5;MYBL2;TK1;BUB1;CDKN2C;RRM2;UBE2C;CCNA2;NEIL3;RAD51;MTHFD2;CDK2;CKS2;CENPM;BIRC5;ASF1B;EZH2
LJP005 A549 24H-mitoxantrone-0.37	33/184	3.0397705317318717E-16	2.595513697723947E-13	0	0	7.121540015714446	254.44962985706422	TROAP;HJURP;TTK;FOXM1;CENPA;NCAPH;SKA1;AURKB;LMNB1;AURKA;CDC20;CCNB2;CSRP2;EXO1;NUSAP1;PBK;OIP5;IGFBP7;MYBL2;TK1;BUB1;ANXA1;RRM2;UBE2C;CCNA2;NEIL3;KIF18A;WEE1;RAD51;CKS2;ID3;BIRC5;ASF1B
LJP006 LNCAP 24H-MK-2206-3.33	30/151	3.759899493609046E-16	3.0566212044267734E-13	0	0	8.050952573411564	285.9454350739083	HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CCNB2;EFEMP1;CDC45;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;RRM2;UBE2C;CCNA2;NEIL3;WEE1;CDK2;CKS2;BIRC5;CENPM;ASF1B;EZH2
LJP005 HCC515 24H-neratinib-3.33	32/174	4.057451543331695E-16	3.0566212044267734E-13	0	0	7.3344295893806155	259.93809920547744	SPARC;HJURP;TTK;FOXM1;TYMS;LMNB1;AURKA;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;IGFBP7;MYBL2;TK1;GBP1;BUB1;RRM2;LUM;IGFBP2;CCNA2;NEIL3;RAD51;COL4A2;COL4A1;CDK2;CKS2;BIRC5;CENPM;ASF1B;EZH2
LJP005 HEPG2 24H-dovitinib-10	33/186	4.242729181125043E-16	3.0566212044267734E-13	0	0	7.027716849451645	248.75415314895776	TROAP;HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CCNB2;EFEMP1;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GBP1;BUB1;POSTN;CDKN2C;RRM2;UBE2C;LUM;CCNA2;NEIL3;BIRC5;HOXB7;ASF1B;EZH2
LJP006 HCC515 24H-PHA-793887-3.33	33/186	4.242729181125043E-16	3.0566212044267734E-13	0	0	7.027716849451645	248.75415314895776	SPARC;TROAP;HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;RRM2;LUM;CCNA2;NEIL3;WEE1;RAD51;MTHFD2;CKS2;BIRC5;CENPM;ASF1B;EZH2
LJP006 PC3 24H-NVP-TAE684-10	33/186	4.242729181125043E-16	3.0566212044267734E-13	0	0	7.027716849451645	248.75415314895776	HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;SKA1;AURKB;LMNB1;AURKA;EFEMP1;CSRP2;CDC45;ORC1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CDKN2C;RRM2;UBE2C;CCNA2;NEIL3;KIF18A;RAD51;CDK2;BIRC5;HOXB7;ASF1B;EZH2
LJP005 A549 24H-NVP-BEZ235-3.33	32/177	6.787052063522391E-16	4.741475705225613E-13	0	0	7.181562518233269	250.82572870844493	TROAP;HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CSRP2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;RRM2;UBE2C;LUM;IGFBP2;PLA2G2A;CCNA2;NEIL3;RAD51;CDK2;BIRC5;ASF1B;EZH2
LJP005 MCF7 24H-mitoxantrone-0.12	29/144	8.034159480301556E-16	5.447632725260943E-13	0	0	8.177397160005855	284.22718282499494	TROAP;HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CDKN2C;RRM2;UBE2C;CCNA2;NEIL3;RAD51;BIRC5;CHI3L1;ASF1B
LJP005 A549 24H-dovitinib-10	35/215	8.597991702517346E-16	5.663374305995283E-13	0	0	6.348214285714286	220.21849237141998	TROAP;HJURP;TTK;TYMS;FOXM1;CENPA;NCAPH;SKA1;AURKB;LMNB1;AURKA;CDC20;CCNB2;EFEMP1;EXO1;PBK;NUSAP1;OIP5;MYBL2;TK1;BUB1;RRM2;UBE2C;LUM;CCNA2;NEIL3;KIF18A;RAD51;CDK2;CKS2;ID3;CENPM;BIRC5;HOXB7;ASF1B
LJP006 HS578T 24H-palbociclib-1.11	30/156	9.600888389210495E-16	6.148302247912744E-13	0	0	7.729462780052999	267.28100344470073	TROAP;HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CDKN2C;RRM2;UBE2C;CCNA2;NEIL3;RAD51;CDK2;BIRC5;ASF1B;EZH2
LJP005 A549 24H-torin-2-0.12	32/180	1.1226992427377418E-15	6.995326578939432E-13	0	0	7.034892760781085	242.16239891650415	HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;SKA1;AURKB;LMNB1;AURKA;CDC20;CCNB2;CSRP2;CDC45;EXO1;NUSAP1;EIF4EBP1;PBK;OIP5;MYBL2;TK1;BUB1;RRM2;UBE2C;CCNA2;NEIL3;RAD51;CDK2;BIRC5;S100A9;ASF1B;EZH2
LJP005 HT29 24H-YM-201636-10	29/146	1.1820875056125981E-15	7.17153825115601E-13	0	0	8.036778036778037	276.23607166164896	TTK;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;EFEMP1;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;HLA-DQA1;POSTN;RRM2;UBE2C;LUM;CCNA2;NEIL3;RAD51;CKS2;BIRC5;ASF1B
LJP006 MCF10A 24H-saracatinib-10	33/193	1.3151835507109687E-15	7.774420917459146E-13	0	0	6.717807203389831	230.1843213156069	TROAP;HJURP;TTK;TYMS;FOXM1;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CCNB2;CDC45;EXO1;PBK;NUSAP1;EIF4EBP1;MYBL2;IGF2BP3;TK1;BUB1;CDKN2C;RRM2;UBE2C;CCNA2;NEIL3;RAD51;CDK2;CKS2;CENPM;BIRC5;ASF1B;EZH2
LJP006 LNCAP 24H-PI-103-1.11	32/182	1.5609199951601482E-15	8.996362392105514E-13	0	0	6.940372250423012	236.62158830868623	HJURP;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;CDC20;CCNB2;EFEMP1;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GBP1;BUB1;RRM2;UBE2C;CCNA2;NEIL3;RAD51;CDK2;CKS2;ID3;BIRC5;CENPM;S100A9;ASF1B;EZH2
LJP006 MCF10A 24H-palbociclib-10	28/137	1.7034886724388042E-15	9.482620632064238E-13	0	0	8.318618456556935	282.88375517697	TROAP;HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CCNB2;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CDKN2C;RRM2;UBE2C;IGFBP2;CCNA2;NEIL3;BIRC5;ASF1B;EZH2
LJP006 LNCAP 24H-MK-2206-10	29/148	1.727552991006758E-15	9.482620632064238E-13	0	0	7.90088560676796	268.5674601132965	HJURP;TTK;FOXM1;TYMS;CENPA;LMNB1;CDC20;CCNB2;EFEMP1;NUSAP1;PBK;OIP5;MYBL2;TK1;GBP1;BUB1;RRM2;UBE2C;LUM;F2R;CCNA2;NEIL3;RAD51;CDK2;CKS2;BIRC5;CENPM;ASF1B;EZH2
LJP006 MCF7 24H-palbociclib-10	27/127	1.931965423320545E-15	1.0358030434705079E-12	0	0	8.732869127516778	295.8716893195787	HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;LMNB1;AURKA;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;E2F2;MYBL2;TK1;BUB1;RRM2;UBE2C;MMP9;CCNA2;NEIL3;RAD51;BIRC5;CENPM;ASF1B
LJP005 A549 24H-GDC-0980-1.11	32/184	2.1600959393211876E-15	1.1317920860252423E-12	0	0	6.848339121916466	231.2589871741523	HJURP;TTK;FOXM1;CENPA;NCAPH;SKA1;AURKB;LMNB1;AURKA;CDC20;CSRP2;CDC45;EXO1;NUSAP1;EIF4EBP1;PBK;OIP5;MYBL2;TK1;BUB1;RRM2;UBE2C;LUM;CCNA2;NEIL3;RAD51;CDK2;CKS2;BIRC5;S100A9;ASF1B;EZH2
LJP006 PC3 24H-palbociclib-10	24/98	2.3842881201773256E-15	1.1856707794160636E-12	0	0	10.451473176014078	351.89980373448515	ADAMDEC1;CDKN2C;RRM2;UBE2C;HJURP;TTK;FOXM1;CENPA;NCAPH;SKA1;AURKB;LMNB1;AURKA;CCNA2;NEIL3;NUSAP1;PBK;SPP1;BIRC5;OIP5;MYBL2;BUB1;ASF1B;EZH2
LJP006 HCC515 24H-palbociclib-3.33	29/150	2.5082653081450745E-15	1.1856707794160636E-12	0	0	7.7694854884937525	261.20376993800704	TROAP;HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;SKA1;AURKB;LMNB1;AURKA;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CDKN2C;RRM2;IGFBP2;CCNA2;NEIL3;RAD51;CKS2;BIRC5;ASF1B;EZH2
LJP006 HS578T 24H-palbociclib-3.33	29/150	2.5082653081450745E-15	1.1856707794160636E-12	0	0	7.7694854884937525	261.20376993800704	HJURP;TTK;FOXM1;TYMS;CENPA;AURKB;LMNB1;AURKA;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;CDKN2C;RRM2;UBE2C;CCNA2;RAD51;CDK2;BIRC5;CHI3L1;IDO1;ASF1B;EZH2
LJP006 HCC515 24H-PHA-793887-1.11	31/173	2.5116912184781538E-15	1.1856707794160636E-12	0	0	7.0932265892653215	238.45881523934662	SPARC;TROAP;HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;LMNB1;AURKA;CDC20;CDC45;EXO1;NUSAP1;EIF4EBP1;PBK;OIP5;MYBL2;TK1;BUB1;TFAP2B;RRM2;CCNA2;NEIL3;RAD51;MTHFD2;BIRC5;CENPM;CD44;ASF1B;EZH2
LJP006 HCC515 24H-palbociclib-1.11	28/139	2.524336406471185E-15	1.1856707794160636E-12	0	0	8.167885532591415	274.54548793200956	TROAP;HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;RRM2;CCNA2;NEIL3;RAD51;BIRC5;HOXB7;ASF1B;EZH2
LJP006 MCF10A 24H-PHA-793887-3.33	26/118	2.5715077197364095E-15	1.1856707794160636E-12	0	0	9.129160294224747	306.6876036663824	SPARC;TROAP;HJURP;TTK;FOXM1;TYMS;CENPA;AURKB;LMNB1;AURKA;CDC20;CCNB2;CDC45;NUSAP1;PBK;MYBL2;IGF2BP3;BUB1;HOXC6;RRM2;UBE2C;CCNA2;CKS2;BIRC5;ASF1B;EZH2
LJP006 HCC515 24H-PD-173074-10	30/162	2.8134396383588087E-15	1.2717850475043918E-12	0	0	7.3758240073585775	247.1223261941073	CFI;HJURP;TTK;FOXM1;TYMS;CENPA;AURKB;LMNB1;AURKA;CDC20;ORC1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GBP1;BUB1;HOXC6;VCAM1;RRM2;CCNA2;RAD51;CDK2;BIRC5;CHI3L1;S100A9;ASF1B;EZH2
LJP006 MDAMB231 24H-palbociclib-3.33	29/151	3.0151297190839197E-15	1.33674616430309E-12	0	0	7.705401004581333	257.6311115757896	TROAP;HJURP;TTK;FOXM1;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;BUB1;RRM2;UBE2C;MMP9;CCNA2;NEIL3;RAD51;CDK2;BIRC5;CENPM;ASF1B;EZH2
LJP005 A375 24H-TG-101348-10	33/199	3.3269737492040853E-15	1.4471708078141695E-12	0	0	6.472973248927915	215.78765332128205	SPARC;HJURP;TTK;TYMS;FOXM1;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CDC45;PBK;NUSAP1;OIP5;IGFBP7;MYBL2;TK1;BUB1;POSTN;ANXA1;RRM2;UBE2C;IGFBP2;PSMB9;CCNA2;RAD51;COL4A2;COL4A1;BIRC5;HOXB7;S100A9;ASF1B
LJP006 HS578T 24H-palbociclib-10	29/152	3.618759949091015E-15	1.5449424419693381E-12	0	0	7.6423585447975695	254.12863552492382	HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;SPP1;MYBL2;BUB1;CDKN2C;RRM2;UBE2C;CCNA2;NEIL3;KIF18A;RAD51;CDK2;BIRC5;ASF1B;EZH2
LJP006 HS578T 24H-palbociclib-0.12	28/142	4.4928856102824E-15	1.8832542701718265E-12	0	0	7.951702786377709	262.69468946590706	HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CCNB2;CDC45;NUSAP1;PBK;SPP1;OIP5;MYBL2;TK1;BUB1;RRM2;UBE2C;CCNA2;NEIL3;RAD51;CDK2;BIRC5;ASF1B;EZH2
LJP006 LNCAP 24H-GDC-0941-1.11	32/189	4.7715300927452064E-15	1.9643366921097857E-12	0	0	6.628514770388093	218.58262801099534	HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;EIF4EBP1;PBK;OIP5;MYBL2;TK1;BUB1;RRM2;UBE2C;CCNA2;NEIL3;RAD51;CDK2;CKS2;ID3;BIRC5;CENPM;HOXB7;ASF1B;EZH2
LJP005 A549 24H-torin-2-0.37	32/190	5.572819709266064E-15	2.2150997513348247E-12	0	0	6.586219452119343	216.1654869254456	HJURP;TTK;FOXM1;TYMS;CENPA;NCAPH;SKA1;AURKB;LMNB1;AURKA;CDC20;CSRP2;CDC45;EXO1;NUSAP1;EIF4EBP1;PBK;OIP5;MYBL2;TK1;BUB1;RRM2;UBE2C;IGFBP2;CCNA2;NEIL3;RAD51;CDK2;BIRC5;CENPM;S100A9;ASF1B
